symbol,name,currency,summary,category_group,category,family,exchange,mic,isin
A200.AX,BetaShares Australia 200 ETF,AUD,"The Index is designed to provide exposure to 200 of the largest companies listed on the ASX, based on their free float-adjusted market capitalisation. The Fund will seek to achieve the investment objective by adopting a âfull replicationâ strategy. See section 2.1.2 for further information.",Financials,Large Cap,BetaShares Capital,ASX,XASX,
AAA.AX,BetaShares Australian High Interest Cash ETF,AUD,"The fund will invest all of its assets into bank deposit accounts maintained with one or more of the following banks in Australia: Australia and New Zealand Banking Group, Commonwealth Bank of Australia, National Australia Bank Limited, etc.",Cash,Cash,BetaShares Capital,ASX,XASX,
ACDC.AX,ETFS Battery Tech and Lithium,AUD,"The Fund will attempt to (before fees and expenses) fully replicate the performance of the Index by investing its assets in a portfolio of securities that comprise the Index in proportion to the weight assigned to each security within the Index. The Solactive Battery Value-Chain Index aims to track the performance of a basket of stocks of companies that are providers of certain electro-chemical energy storage technology (i.e., battery technology) and mining companies that produce metals that are primarily used for manufacturing batteries.",Alternatives,,BetaShares Capital,ASX,XASX,
AGVT.AX,BetaShares Australian Government Bond ETF,AUD,"In seeking to achieve the investment objective, the Responsible Entity will employ a passive management approach designed to track the performance of the Index, before fees and expenses.",Fixed Income,Government Bonds,BetaShares Capital,ASX,XASX,
ASIA.AX,BetaShares Asia Technology Tigers ETF,AUD,"The Index seeks to track the price movements of a portfolio containing the top 50 technology and online retail stocks, by free float market capitalization, that have their main area of business in Asia excluding Japan.The Fund will seek to achieve the investment objective by adopting a âfull replicationâ strategy.",Information Technology,,BetaShares Capital,ASX,XASX,
ATEC.AX,BetaShares S&P/ASX Australian Technology ETF,AUD,"In seeking to achieve the investment objective, the Respinsible Entity will employ a passive management approach with the aim of tracking the performace of the index, before fees and expenses. The fund will generally seek to invest in the securities that comprise the index in proportion to the weightings of the securities in the index. This is known as a &#39;full replication&#39; strategy.",Information Technology,,BetaShares Capital,ASX,XASX,
AUMF.AX,iShares Edge MSCI Australia Multifactor ETF,AUD,"The Fund aims to provide investors with the performance of an index, before fees and expenses, composed of Australian equities that have favourable exposure to target style factors subject to constraints.
The Fund seeks to achieve its objective by employing an optimisation strategy to track the performance of the MSCI Australia IMI Diversified Multiple-Factor Index.",Real Estate,,BlackRock Asset Management,ASX,XASX,
BEAR.AX,BetaShares Australian Equities Bear Hedge Fund,AUD,"The fund does not have specific diversification guidelines or limits. However, the fund seeks to generate returns that are negatively correlated to the returns of the Australian share market and, to that extent, the fund will effectively have diversified short exposure.",Alternatives,Developed Markets,BetaShares Capital,ASX,XASX,
BHYB.AX,Betashares Australian Major Bank Hybrids Index ETF,AUD,Betashares Australian Major Bank Hybrids Index ETF is an exchange-traded fund that invests in a portfolio of hybrid securities issued by major Australian banks. Hybrids are complex securities that combine features of both debt and equity. The fund aims to provide investors with income and capital growth by tracking the performance of an index composed of these hybrid securities.,Fixed Income,,BetaShares Capital,ASX,XASX,
BILL.AX,iShares Core Cash ETF,AUD,The Fund offers the ability to achieve capital preservation and regular income with a diversified portfolio of high quality short-term money market instruments. The Fund is truly liquid and only holds investments in instruments that can be sold on a same day basis.,Cash,Cash,BlackRock Asset Management,ASX,XASX,
BNDS.AX,BetaShares Legg Mason Australian Bond ETF,AUD,"The Fund aims to achieve this objective by capturing returns from a variety of actively-managed sources, including interest rate management (duration and yield curve positioning), sector and security selection. Risk management is a core focus and is supported by credit research, diversification of holdings and investment guidelines.",Fixed Income,Investment Grade Bonds,BetaShares Capital,ASX,XASX,
BNKS.AX,BetaShares Global Banks ETF - Currency Hedged,AUD,"The investment objective of the fund is to provide an investment return that aims to track the performance of the Nasdaq Global ex-Australia Banks Hedged AUD Index (the âIndexâ), before taking into account fees and expenses. The Index is designed to track the performance of global companies that are in the Banks sector (excluding Australia).",Financials,,BetaShares Capital,ASX,XASX,
BOND.AX,SPDR S&P/ASX Australian Bond Fund,AUD,"The SPDR S&P/ASX Australian Bond Fund seeks to closely track, before fees and expenses, the returns of the S&P/ASX Australian Fixed Interest Index.
Our approach is designed to provide portfolios with low portfolio turnover, accurate tracking and lower costs.",Fixed Income,Government Bonds,State Street Global Advisors,ASX,XASX,
CETF.AX,VanEck Vectors FTSE China A50 ETF,AUD,The Fund employs a passive management strategy of physically replicating the FTSEÂ® China A50 Indexâ¢ by investing directly in the securities that comprise the Reference Index in proportion to their relative weightings in the Reference Index. The Fund may also hold other securities determined by us as necessary to achieve the Fundâs investment objective and as permitted under the AQUA Rules.,,Emerging Markets,VanEck Asset Management,ASX,XASX,
CLDD.AX,BetaShares Cloud Computing ETF,AUD,"The investment objective of the Fund is to provide an investment return that aims to track the total return performance of the Index Global Cloud Computing Index (the âIndex"")ï¼before taking into account fees and expenses.",Information Technology,,BetaShares Capital,ASX,XASX,
CLNE.AX,VanEck Vectors Global Clean Energy ETF,AUD,CLNE employs a passive management strategy of investing directly in the securities that comprise the Reference Index,Energy,,VanEck Asset Management,ASX,XASX,
CNEW.AX,VanEck Vectors China New Economy ETF,AUD,The Fund employs a passive management strategy of investing directly in the securities that comprise the Reference Index.,Alternatives,Emerging Markets,VanEck Asset Management,ASX,XASX,
CRED.AX,BetaShares Australian Investment Grade Corporate Bond ETF,AUD,"In seeking to achieve the investment objective, the Responsible Entity will employ a passive management approach designed to track the performance of the Index, before fees and expenses. The Fund will generally seek to invest in the securities that comprise the Index in proportion to the weightings of the securities in the Index.",Fixed Income,Corporate Bonds,BetaShares Capital,ASX,XASX,
CURE.AX,ETFS S&P Biotech ETF,AUD,The Fund will attempt to (before fees and expenses) fully replicate the performance of the Index by investing its assets in a portfolio of securities that comprise the Index in proportion to the weight assigned to each security within the Index. The S&P Biotechnology Select Industry Index measures the performance of stocks comprising specific Global Industry Classification Standard (GICSÂ®) Biotechnology sub-industry.,Health Care,,BetaShares Capital,ASX,XASX,
DBBF.AX,BetaShares Diversified Balanced ETF,AUD,The fund will have a long-term average target exposure of 50% in defensive asset and 50% in growth assets.,,,BetaShares Capital,ASX,XASX,
DGGF.AX,BetaShares Diversified Growth ETF,AUD,The fund will have a long-term average target exposure of 30% in defensive assets and 70% in growth assets.,Alternatives,Blend,BetaShares Capital,ASX,XASX,
DHHF.AX,BetaShares Diversified High Growth ETF,AUD,"The Fund will aim to provide investors with a broadly diversified portfolio consistent with a high growth risk-return profile; and passively blend the returns of the index-tracking Underlying ETFs in which the Fund invests, in proportion to the Fund&#39;s strategic asset allocation.",Alternatives,Blend,BetaShares Capital,ASX,XASX,
DJRE.AX,SPDR Dow Jones Global Real Estate Fund,AUD,"The SPDR Dow Jones Global Real Estate Fund seeks to provide investment return, before fees and other costs, that closely correspond to the performance of the Dow Jones Global Select Real Estate Securities Index.",Real Estate,REITs,State Street Global Advisors,ASX,XASX,
DRUG.AX,BetaShares Global Healthcare ETF - Currency Hedged,AUD,"The investment objective of the fund is to provide an investment return that aims to track the performance of the Nasdaq Global ex-Australia Healthcare Hedged AUD Index (the âIndexâ), before taking into account fees and expenses. The Index is designed to track the performance of global companies that are in the Healthcare sector (excluding companies listed in Australia). See âFurther Information About the Indexâ below.",Health Care,,BetaShares Capital,ASX,XASX,
DVDY.AX,VanEck Vectors Morningstar Australian Moat Income ETF,AUD,DVDY gives investors exposure to a diversified portfolio of dividend yielding quality ASX- listed companies selected by Morningstar. DVDY aims to provide investment returns before fees and other costs that track the performance of the Index.,Equities,,VanEck Asset Management,ASX,XASX,
DZZF.AX,BetaShares Ethical Diversified High Growth ETF,AUD,The Fund will have a long-term average target exposure of 10% in defensive assets and 90% in growth assets.,Alternatives,,BetaShares Capital,ASX,XASX,
E200.AX,SPDR S&P/ASX 200 ESG ETF,AUD,"The Investment Manager uses a passive investment strategy, investing in a portfolio of securities designed to reflect the characteristics of the Fundâs Index. Those securities can include:
Index constituents; and
derivative contracts, including exchange traded futures contracts and options over Index constituents, used only in limited circumstances.",Equities,,State Street Global Advisors,ASX,XASX,
EEU.AX,BetaShares Euro ETF,AUD,"The BetaShares Euro ETF seeks to provide a simple, cost effective and convenient investment alternative for investors interested in gaining exposure to the performance of the Euro relative to the Australian Dollar, without the need to invest directly in the foreign exchange market.",Currencies,,BetaShares Capital,ASX,XASX,
EMKT.AX,VanEck Vectors MSCI Multifactor Emerging Markets Equity ETF,AUD,The Fund employs a passive management strategy of investing directly in the securities that comprise the Reference Index.,,Emerging Markets,VanEck Asset Management,ASX,XASX,
ESGI.AX,VanEck Vectors MSCI International Sustainable Equity ETF,AUD,The Fund employs a passive management strategy of investing directly in the securities that comprise the Reference Index.,Equities,Developed Markets,VanEck Asset Management,ASX,XASX,
ESPO.AX,VanEck Vectors Video Gaming and eSports ETF,AUD,ESPO gives investors exposure to a diversified portfolio of 25 companies in the global Video Gaming & eSports sector. ESPO aims to provide investment returns before fees and other costs which track the performance of the Index.,Consumer Discretionary,,VanEck Asset Management,ASX,XASX,
ESTX.AX,ETFS EURO STOXX 50 ETF,AUD,The fund aims to provide investors with a return that (before fees and expenses) tracks the performance of the EURO STOXX 50 Index.,Alternatives,,ETF Management,ASX,XASX,
ETHI.AX,BetaShares Global Sustainability Leaders ETF,AUD,"Tthe Responsible Entity will employ a passive management approach with the aim of tracking the performance of the Index, before fees and expenses. As at the date of this PDS, the Responsible Entity intends to obtain the Fundâs investment exposure to global sharemarkets indirectly, by investing substantially all of its assets in units of the BetaShares Global Sustainability Leaders ETF (the âUnderlying Fundâ), an exchange traded fund admitted to trading on the ASX that is also operated by BetaShares as responsible entity.",Alternatives,,BetaShares Capital,ASX,XASX,
EX20.AX,BetaShares Australian Ex-20 Portfolio Diversifier ETF,AUD,"The Fund aims to track the performance of an index (before fees and expenses) which
provides exposure to approximately 180 stocks listed on the Australian Securities Exchange,
ranked from number 21 to number 200, based on their market capitalisation.",Alternatives,Small Cap,BetaShares Capital,ASX,XASX,
F100.AX,BetaShares FTSE 100 ETF,AUD,"The Index is designed to track the performance of the 100 largest U.K. companies by market capitalisation traded on the London Stock Exchange.
There is no assurance or guarantee that the returns of the Fund will meet its investment objective.",Alternatives,Large Cap,BetaShares Capital,ASX,XASX,
FAIR.AX,BetaShares Australian Sustainability Leaders ETF,AUD,"In seeking to achieve the investment objective, the Responsible Entity will employ a passive management approach designed to track the performance of the Index, before fees and expenses. The Fund will generally invest in the securities that comprise the Index in the proportion of the weightings of the securities in the Index. This is known as a âfull replicationâ strategy.",,Developed Markets,BetaShares Capital,ASX,XASX,
FANG.AX,ETFS FANG+ ETF,AUD,ETFS FANG+ ETF is an exchange-traded fund incorporated in Australia. The Fund aims to provide investors with a return that (before fees and expenses) tracks the performance of the NYSEÂ® FANG+â¢ Index (the Index).,,Developed Markets,BetaShares Capital,ASX,XASX,
FLOT.AX,VanEck Vectors Australian Floating Rate ETF,AUD,The Fund employs a management strategy of investing directly in a portfolio of securities designed to generally track the performance of the Reference Index.,Fixed Income,Corporate Bonds,VanEck Asset Management,ASX,XASX,
