symbol,name,currency,summary,category_group,category,family,exchange,mic,isin
003D.BE,WISDOMTREE EURO HGD EQ.FD,EUR,"The WisdomTree Euro Hedged Equity Fund aims to provide exposure to European equities while hedging against fluctuations between the euro and the U.S. dollar. By hedging the currency risk, the fund seeks to deliver returns more closely aligned with the underlying stock performance. WisdomTree is headquartered in New York, NY.",Financials,Developed Markets,WisdomTree Asset Management,BER,XBER,
003H.BE,WISDOMTREE EM.CURR.STRAT.,EUR,"The WisdomTree Emerging Markets Currency Strategy Fund seeks to provide exposure to emerging market currencies. The fund uses a rules-based methodology to select and weight currencies based on factors such as interest rate differentials and momentum. WisdomTree is headquartered in New York, NY.",Currencies,Emerging Markets,WisdomTree Asset Management,BER,XBER,
003I.BE,WISDOMTREE INTL H.Q.D.GR.,EUR,"The WisdomTree International Hedged Quality Dividend Growth Fund aims to provide exposure to dividend-paying companies outside the U.S., while hedging against currency fluctuations. The fund focuses on companies with high quality and dividend growth potential. WisdomTree is headquartered in New York, NY.",Financials,Developed Markets,WisdomTree Asset Management,BER,XBER,
003K.BE,WISDOMTREE U.S. L.CAP FD,EUR,"The WisdomTree U.S. LargeCap Fund seeks to track the performance of dividend-paying companies in the U.S. large-cap market. The fund uses a dividend-weighting methodology, focusing on companies with strong dividend yields. WisdomTree is headquartered in New York, NY.",Financials,Large Cap,WisdomTree Asset Management,BER,XBER,
003M.BE,WISDOMTR BLOOM.USD BULL.,EUR,,,,,BER,XBER,
003U.BE,WISDOMTREE BL.F.R.TREAS.,EUR,,,,,BER,XBER,
00LA.BE,RANGER EQ.BE NEWDLD,EUR,,,,,BER,XBER,
00LD.BE,ADV.SH.TR.-AS D.V.EQ.ETF,EUR,,,,,BER,XBER,
00LE.BE,ADVSH.TR.-NEWF.M.-SEC.IN.,EUR,,,,AdvisorShares,BER,XBER,
00LH.BE,ADVISORSHS TR-VICE ETF,EUR,"ADVISORSHS TR-VICE ETF invests in companies believed to benefit from activities considered vices, such as alcohol, tobacco, gaming, and defense. The ETF provides exposure to companies that operate in these specific sectors.",Consumer Staples,,AdvisorShares,BER,XBER,
