symbol,name,currency,summary,category_group,category,family,exchange,mic,isin
DAXEX.BD,iShares Core DAX UCITS ETF (DE),HUF,iShares Core DAX UCITS ETF (DE) is an exchange-traded fund (ETF) that aims to replicate the performance of the DAX index. The fund invests in a diversified portfolio of German stocks included in the DAX. iShares is a provider of ETFs managed by BlackRock.,Alternatives,,BlackRock Asset Management,BUD,XBUD,DE0005933931
DXS3.BD,Xtrackers - S&P 500 Inverse Daily Swap UCITS ETF,HUF,"Xtrackers - S&P 500 Inverse Daily Swap UCITS ETF is an exchange-traded fund (ETF) designed to provide the inverse (-1x) of the daily performance of the S&P 500 Index. The fund uses a swap-based replication strategy, and as a UCITS ETF, it adheres to specific regulatory standards. The ETF allows investors to take a short-term negative view on the S&P 500.",Alternatives,Large Cap,Xtrackers,BUD,XBUD,
ETFB.BD,OTP INVESTMENT FUN,HUF,,,,,BUD,XBUD,
NDXEX.BD,iShares NASDAQ-100 UCITS ETF (DE),HUF,The iShares NASDAQ-100 UCITS ETF (DE) is an exchange-traded fund seeking to track the investment results of an index composed of 100 of the largest domestic and international non-financial companies listed on The NASDAQ Stock Market. The ETF provides exposure to leading companies in sectors like technology and consumer discretionary. The fund is domiciled in Germany.,Information Technology,Large Cap,BlackRock Asset Management,BUD,XBUD,DE000A0F5UF5
SX5EX.BD,BLACKROCK AM (DE),HUF,BLACKROCK AM (DE) ,,,BlackRock Asset Management,BUD,XBUD,
SXR8.BD,iShares VII Public Limited Company - iShares Core S&P 500 UCITS ETF,HUF,"The iShares VII Public Limited Company - iShares Core S&P 500 UCITS ETF seeks to track the investment results of an index composed of 500 of the largest U.S. companies. The fund offers broad exposure to the U.S. equity market, providing investors with a convenient way to invest in the performance of the S&P 500 index. The fund is domiciled in Ireland.",,Developed Markets,BlackRock Asset Management,BUD,XBUD,
UBSE.BD,UBS (LUX) FUND,,,,,UBS Asset Management,BUD,XBUD,
UBSU.BD,UBSUSASRI,HUF,,,,,BUD,XBUD,
XSDX.BD,Xtrackers - ShortDAX Daily Swap UCITS ETF,HUF,"The Xtrackers - ShortDAX Daily Swap UCITS ETF provides inverse exposure to the DAX index, using a swap-based structure to deliver the daily inverse performance. Managed by DWS, a subsidiary of Deutsche Bank, the ETF allows investors to profit from a decline in the German stock market. DWS is headquartered in Frankfurt, Germany.",Derivatives,,DWS Investment,BUD,XBUD,LU0292106241
XSSX.BD,Xtrackers - Euro Stoxx 50 Short Daily Swap UCITS ETF,HUF,"The Xtrackers - Euro Stoxx 50 Short Daily Swap UCITS ETF provides inverse exposure to the Euro Stoxx 50 index on a daily basis, using a swap-based structure. Managed by DWS, a subsidiary of Deutsche Bank, the ETF enables investors to profit from a decline in the Eurozone's largest companies. DWS is headquartered in Frankfurt, Germany.",Derivatives,Developed Markets,DWS Investment,BUD,XBUD,
