symbol,name,currency,summary,category_group,category,family,exchange,mic,isin
09AA.DU,VALUE INVESTM.KLAS.FDS T,EUR,"VALUE INVESTM.KLAS.FDS T is a fund utilizing a value investment strategy, within a specific asset class (indicated by ""KLAS""). Further information is required to determine the exact nature and focus of this fund.",,,,DUS,XDUS,
0I70.DU,SISF-GL DIV.GWTH A1DQF,EUR,"SISF-GL DIV.GWTH A1DQF is a sub-fund of Schroder Investment Management, focusing on global dividend growth equities, aiming to provide long-term capital growth and income by investing in companies worldwide that demonstrate dividend growth potential. The fund is managed by Schroder Investment Management and seeks to outperform its benchmark. The fund is domiciled in Luxembourg.",,Growth,,DUS,XDUS,
0I73.DU,SISF-GL.M.-A.BAL.A DEOQF,EUR,"SISF-GL.M.-A.BAL.A DEOQF is a sub-fund of Schroder Investment Management, focusing on global multi-asset balanced strategy, aiming to provide long-term capital growth with a focus on risk management by investing in a diversified portfolio of asset classes. The fund is managed by Schroder Investment Management and seeks to outperform its benchmark. The fund is domiciled in Luxembourg.",,Blend,,DUS,XDUS,
0I74.DU,SISF-GL.M.-A.BAL.B DEOQF,EUR,"SISF-GL.M.-A.BAL.B DEOQF is a sub-fund of Schroder Investment Management, focusing on global multi-asset balanced strategy, aiming to provide long-term capital growth with a focus on risk management by investing in a diversified portfolio of asset classes. The fund is managed by Schroder Investment Management and seeks to outperform its benchmark. The fund is domiciled in Luxembourg.",,Blend,,DUS,XDUS,
0I77.DU,SISF EURO CORP.BD B ACC,EUR,"SISF EURO CORP.BD B ACC is a sub-fund of Schroder Investment Management, focusing on Euro-denominated corporate bonds, aiming to provide income and capital appreciation by investing in a diversified portfolio of investment-grade corporate debt securities. The fund is managed by Schroder Investment Management and seeks to outperform its benchmark. The fund is domiciled in Luxembourg.",Fixed Income,Corporate Bonds,,DUS,XDUS,
0I78.DU,SISF GL I.LKD BD B ACC.EO,EUR,"SISF GL I.LKD BD B ACC.EO is a sub-fund of Schroder Investment Management, focusing on global inflation-linked bonds, aiming to provide inflation protection and income by investing in a diversified portfolio of government and corporate inflation-linked debt securities. The fund is managed by Schroder Investment Management and seeks to outperform its benchmark. The fund is domiciled in Luxembourg.",Fixed Income,Inflation-Protected Securities,,DUS,XDUS,
0I7B.DU,SISF GL.DIVID.MAX.ADISQF,EUR,"SISF GL.DIVID.MAX.ADISQF is a sub-fund of Schroder Investment Management, focusing on global dividend maximization, aiming to provide a high level of income and capital appreciation by investing in a diversified portfolio of dividend-paying stocks worldwide. The fund is managed by Schroder Investment Management and seeks to outperform its benchmark. The fund is domiciled in Luxembourg.",,Growth,,DUS,XDUS,
0PMB.DU,DPAM INV.B EQ.EUROLAND BC,EUR,"DPAM INV.B EQ.EUROLAND BC is a sub-fund of DPAM INVEST B, focusing on equities in the Eurozone, aiming to provide long-term capital growth by investing in companies located in the Eurozone. The fund is managed by Degroof Petercam Asset Management and seeks to outperform its benchmark. The fund is domiciled in Luxembourg.",,Developed Markets,,DUS,XDUS,
10AA.DU,AM.FDS-AF EUR.EQ. AEOC,EUR,AM.FDS-AF EUR.EQ. AEOC is a sub-fund of Amundi Funds that invests in European equities. It aims to achieve long-term capital appreciation by investing in companies located in or doing business in Europe. The fund is managed by Amundi Asset Management and is domiciled in Luxembourg.,,Developed Markets,Amundi Asset Management,DUS,XDUS,
10AD.DU,F.EAGLE AMUNDI INTER.AHEO,EUR,"F.EAGLE AMUNDI INTER.AHEO is a fund managed by Amundi Asset Management, investing in international markets. It aims to achieve long-term capital appreciation by investing in a diversified portfolio of global equities. The fund is domiciled in Luxembourg.",,,Amundi Asset Management,DUS,XDUS,
10AF.DU,AIS-A.IN.MSCI E.M.UCETFDR,EUR,AIS-A.IN.MSCI E.M.UCETFDR is an exchange-traded fund (ETF) tracking the MSCI Emerging Markets Index. It provides investors with exposure to a broad range of companies in emerging market countries. The fund is domiciled in Belgium.,,Emerging Markets,Amundi Asset Management,DUS,XDUS,
10AH.DU,AIS-A.I.MSCI WRD UC.ETFDD,EUR,AIS-A.I.MSCI WRD UC.ETFDD is an exchange-traded fund (ETF) that tracks the MSCI World Index. It provides investors with exposure to a broad range of companies in developed markets worldwide. The fund is domiciled in Belgium.,,Developed Markets,Amundi Asset Management,DUS,XDUS,
10AI.DU,AIS-A.I.MSCI EUR.UC.ETFDD,EUR,AIS-A.I.MSCI EUR.UC.ETFDD is an exchange-traded fund (ETF) that tracks the MSCI Europe Index. It provides investors with exposure to a broad range of companies in European developed markets. The fund is domiciled in Belgium.,,Developed Markets,Amundi Asset Management,DUS,XDUS,
