symbol,name,currency,summary,category_group,category,family,exchange,mic,isin
100GBA-GBP.SW,UBSETF FTSE 100 GBP DIS,GBP,"The UBSETF FTSE 100 GBP DIS is an exchange-traded fund that tracks the performance of the FTSE 100 index, denominated in GBP and distributing dividends. It offers investors exposure to the largest 100 companies listed on the London Stock Exchange. The fund is managed by UBS and is domiciled in Switzerland.",,Large Cap,UBS Asset Management,EBS,XSWX,
AADA.SW,21Shares Cardano ETP,USD,Track the performance of the crypto asset Cardano (ADA),Currencies,,21Shares,EBS,XSWX,CH1102728750
AASI.SW,Amundi Index Solutions - Amundi MSCI EM Asia,EUR,"This is an Amundi Index Solutions fund, specifically the Amundi MSCI EM Asia UCITS ETF DR, which aims to replicate the performance of the MSCI Emerging Markets Asia Index. The fund invests in companies from emerging Asian countries, providing investors with exposure to the region's equity market. Amundi is a major European asset manager headquartered in Paris, France.",Financials,Emerging Markets,Amundi Asset Management,EBS,XSWX,
AASU.SW,Amundi Index Solutions - Amundi MSCI EM Asia,USD,"This is an Amundi Index Solutions fund, specifically the Amundi MSCI EM Asia UCITS ETF DR, which aims to replicate the performance of the MSCI Emerging Markets Asia Index. The fund invests in companies from emerging Asian countries, providing investors with exposure to the region's equity market. Amundi is a major European asset manager headquartered in Paris, France.",Financials,Emerging Markets,Amundi Asset Management,EBS,XSWX,
ABBA.SW,21Shares Bitcoin Suisse ETP,CHF,This product seeks to track the investment results of an index composed of Bitcoin and Ether based on market capitalizations. The results are denominated in Swiss Francs (CHF).,Currencies,,21Shares,EBS,XSWX,
ABCH.SW,21Shares Bitcoin Cash ETP,USD,The Amun Bitcoin Cash ETP (Ticker: ABCH) seeks to track the investment results of Bitcoin Cash.,Currencies,,21Shares,EBS,XSWX,CH0475552201
ABNB.SW,21Shares Binance BNB ETP,USD,This product seeks to track the performance of Binance Coin.,Alternatives,,21Shares,EBS,XSWX,CH0496454155
ABTC-EUR.SW,21Shares Bitcoin,EUR,"This appears to be a 21Shares Bitcoin ETP, offering exposure to Bitcoin. 21Shares is a company that provides access to crypto assets through exchange-traded products. The ETP is listed on the SIX Swiss Exchange.",Alternatives,,21Shares,EBS,XSWX,
ABTC-GBP.SW,21Shares Bitcoin,GBP,"This appears to be a 21Shares Bitcoin ETP, offering exposure to Bitcoin. 21Shares is a company that provides access to crypto assets through exchange-traded products. The ETP is listed on the SIX Swiss Exchange.",Alternatives,,21Shares,EBS,XSWX,
ABTC-USD.SW,21Shares Bitcoin,USD,"This appears to be a 21Shares Bitcoin ETP, offering exposure to Bitcoin. 21Shares is a company that provides access to crypto assets through exchange-traded products. The ETP is listed on the SIX Swiss Exchange.",Alternatives,,21Shares,EBS,XSWX,
ABTC.SW,Amun Underlying Tracker on Bitcoin ETP 2019,CHF,Amun Underlying Tracker on Bitcoin ETP is an exchange-traded product (ETP) that tracks the price of Bitcoin. It provides investors with exposure to Bitcoin without requiring them to directly hold the cryptocurrency. The ETP is listed on the SIX Swiss Exchange.,Alternatives,,21Shares,EBS,XSWX,
