symbol,name,currency,summary,category_group,category,family,exchange,mic,isin
0DPS.F,Dexus,EUR,,,,,FRA,XFRA,
0I7L.F,SISF-ASIAN DIV.MAX.AACCEO,EUR,"SISF-ASIAN DIV.MAX.AACCEO is a sub-fund of Schroder Investment Management, focusing on Asian dividend maximization, aiming to provide a high level of income and capital appreciation by investing in a diversified portfolio of dividend-paying stocks in Asian markets. The fund is managed by Schroder Investment Management and seeks to outperform its benchmark. The fund is domiciled in Luxembourg.",,Emerging Markets,,FRA,XFRA,
12P.F,PennantPark Investment Corporation,EUR,"PennantPark Investment Corporation is a business development company (BDC) that provides private credit to middle market companies in the United States. The company's investment portfolio consists primarily of first lien secured debt, second lien secured debt and subordinated debt, and also includes common equity. PennantPark Investment Corporation is headquartered in New York City.",Financials,,,FRA,XFRA,
19H.F,"Hercules Capital, Inc.",EUR,"Hercules Capital, Inc. is a specialty finance company that provides financing to venture capital-backed companies in technology, life sciences, and sustainable and renewable technology industries. The company offers various debt financing solutions, including venture debt, equipment financing, and senior secured loans. Hercules Capital is headquartered in Palo Alto, California.",Financials,,,FRA,XFRA,
1D6.F,Owl Rock Capital Corporation,EUR,"Owl Rock Capital Corporation is a specialty finance company focused on lending to middle-market companies. The company provides direct lending solutions, including first lien, second lien, and unitranche loans, as well as equity investments. Owl Rock Capital aims to support the growth and expansion of its portfolio companies.",Financials,,,FRA,XFRA,
1JQ.F,BLACKROCK ENH.GBL DIV.TR.,EUR,,,,BlackRock Asset Management,FRA,XFRA,
1T6.F,"Sixth Street Specialty Lending, Inc.",EUR,"Sixth Street Specialty Lending, Inc. is a specialty finance company focused on lending to middle-market companies. They provide customized, flexible financing solutions to businesses across various industries. The company is externally managed by a subsidiary of Sixth Street Partners and headquartered in San Francisco, California.",Financials,,,FRA,XFRA,
1V2.F,Waypoint REIT Limited,EUR,Waypoint REIT Limited is a real estate investment trust that owns and leases properties to Viva Energy Australia. The REIT focuses on service station and convenience retail properties across Australia. The company aims to provide stable income and long-term capital growth for its investors.,Real Estate,REITs,,FRA,XFRA,
230.F,T.ROW.PR.-US EQUITY FD A,EUR,,,,T. Rowe Price,FRA,XFRA,
230E.F,T. ROWE PR.-US BL.CH.EQ.A,EUR,,,,T. Rowe Price,FRA,XFRA,
2B70.F,ISIV-NASDAQ US BIOTE. DLA,EUR,"ISIV-NASDAQ US BIOTE. DLA is an exchange-traded fund (ETF) managed by iShares that tracks the NASDAQ US Biotechnology Index, providing investors with exposure to a portfolio of biotechnology companies in the United States. The fund aims to replicate the performance of the index by investing in its constituent stocks.",Health Care,Developed Markets,BlackRock Asset Management,FRA,XFRA,
2B77.F,iShares IV Public Limited Company - iShares Ageing Population UCITS ETF,EUR,"iShares IV Public Limited Company - iShares Ageing Population UCITS ETF is an exchange-traded fund that invests in global companies that are expected to benefit from the demographic shift of an aging population. The fund, managed by iShares, a subsidiary of BlackRock, offers exposure to sectors such as healthcare, retirement homes, and related industries poised to grow with the aging demographic.",Consumer Staples,Developed Markets,BlackRock Asset Management,FRA,XFRA,
2B79.F,iShares IV Public Limited Company - iShares Digitalisation UCITS ETF,EUR,"iShares IV Public Limited Company - iShares Digitalisation UCITS ETF is an exchange-traded fund that invests in global companies that are expected to benefit from the increasing adoption of digital technologies. Managed by iShares, a subsidiary of BlackRock, the fund offers exposure to companies involved in areas like e-commerce, cloud computing, and digital payments.",Information Technology,Developed Markets,BlackRock Asset Management,FRA,XFRA,
2B7S.F,IS DL T.BD1-3YR U.ETF EHA,EUR,"IS DL T.BD1-3YR U.ETF EHA is an exchange-traded fund that invests in short-term U.S. Treasury bonds with maturities between 1 and 3 years. Managed by iShares, the fund aims to provide investors with exposure to high-quality, short-duration fixed income securities issued by the U.S. government.",Fixed Income,Treasury Bonds,BlackRock Asset Management,FRA,XFRA,
2WP.F,"Postal Realty Trust, Inc.",EUR,"Postal Realty Trust, Inc. is a real estate investment trust (REIT) that owns and manages properties leased to the United States Postal Service (USPS). The company's business model focuses on acquiring, owning, and managing postal properties across the United States, generating revenue through rental income. Postal Realty Trust is headquartered in Cedarhurst, New York.",Real Estate,REITs,,FRA,XFRA,
36BD.F,Ishares III Plc - Ishares Development Bank Bonds Ucits Etf,EUR,The Ishares III Plc - Ishares Development Bank Bonds Ucits Etf is an exchange traded fund. The fund's goal is to mirror the index composed of bonds from development banks and is UCITS compliant.,Fixed Income,Corporate Bonds,BlackRock Asset Management,FRA,XFRA,
3BJ1.F,Keppler-Global Value- INVEST,EUR,KEPPLER-GLOBAL VALUE-INV. is a global value investment fund. Its objective is to achieve long-term capital appreciation by investing in a diversified portfolio of undervalued securities worldwide.,Alternatives,Value,,FRA,XFRA,
3BJ4.F,Weltzins-Invest,EUR,Weltzins-Invest is a global bond fund. It aims to generate returns by investing in a diversified portfolio of international fixed-income securities. The fund seeks to capitalize on global interest rate trends and credit opportunities.,Fixed Income,Government Bonds,,FRA,XFRA,
