symbol,name,currency,summary,category_group,category,family,exchange,mic,isin
10AK.DE,Amundi Index Solutions - Amundi Index J.P. Morgan GBI Global Govies,EUR,Amundi Index Solutions - Amundi Index J.P. Morgan GBI Global Govies is an exchange-traded fund (ETF) that tracks the J.P. Morgan GBI Global Government Bond Index. It invests in government bonds from various countries. The ETF provides investors with exposure to global government debt markets.,Fixed Income,Government Bonds,Amundi Asset Management,GER,XETR,
2B77.DE,iShares Ageing Population UCITS ETF USD (Acc),EUR,"The investment objective of the Fund is to seek to provide investors with a total return, taking into account both capital and income returns, which reflects the return of the STOXX Global Ageing Population Index.",Consumer Staples,Developed Markets,BlackRock Asset Management,GER,XETR,IE00BYZK4669
2B79.DE,iShares Digitalisation UCITS ETF USD (Acc),EUR,"The investment objective of the Fund is to seek to provide investors with a total return, taking into account both capital and income returns, which reflects the return of the STOXX Global Digitalisation Index.",Information Technology,Developed Markets,BlackRock Asset Management,GER,XETR,IE00BYZK4883
36B5.DE,ISHSIV-MSCI EM SRI DLDIS,EUR,"ISHSIV-MSCI EM SRI DLDIS is an exchange-traded fund (ETF) designed to track the performance of the MSCI Emerging Markets SRI Filtered Index. This index focuses on companies in emerging markets with high environmental, social, and governance (ESG) ratings while excluding those involved in controversial activities. The ETF aims to provide investors with exposure to sustainable and responsible investments in the emerging markets equity space.",Financials,Emerging Markets,BlackRock Asset Management,GER,XETR,
36BD.DE,ISH3-DL DBB ETF DLA,EUR,ISH3-DL DBB ETF DLA is an exchange-traded fund (ETF) that aims to track the performance of an index composed of bonds issued by development banks. The fund provides investors with exposure to debt from institutions that support economic and social development in emerging markets and developing countries. It is designed for investors seeking socially responsible investments with a fixed income component.,Fixed Income,Corporate Bonds,BlackRock Asset Management,GER,XETR,
540S.DE,AIS-AM.SMRT FCTY UETFEOUA,EUR,"This is an Exchange Traded Fund (ETF) that invests in companies exhibiting characteristics of high quality, value and momentum factors in the US equity market. It uses a smart beta strategy. The ETF is domiciled in Germany.",Alternatives,Developed Markets,Amundi Asset Management,GER,XETR,
8520.DE,Lyxor iBoxx &#226&#130&#172 Sovereigns Germany Capped 3m-2 UCITS ETF,EUR,"The fund is an exchange-traded fund linked to the performance of the Markit iBOXX â¬ Sovereigns Germany Capped 3m-2 performance index (Total Return index, TR). Coupons are included in the calculated performance of this index. All fund income is reinvested and hence increases the performance of the ETF. The price of the ETF is always transparent.",Fixed Income,Government Bonds,Lyxor International Asset Management,GER,XETR,
8522.DE,Lyxor iBoxx &#226&#130&#172 Sovereigns Germany Capped 5-10 UCITS ETF,EUR,"The fund is an exchange-traded fund linked to the performance of the Markit iBOXX â¬ Sovereigns Germany Capped 5-10 performance index (Total Return index, TR). Coupons are included in the calculated performance of this index. All fund income is reinvested and hence increases the performance of the ETF. The price of the ETF is always transparent.",Fixed Income,Government Bonds,Lyxor International Asset Management,GER,XETR,
ACM9.DE,AMUNDI ETF MSCI WLD X EMU,EUR,"This is an Amundi ETF, specifically the Amundi ETF MSCI World ex EMU UCITS ETF, which aims to replicate the performance of the MSCI World ex EMU Index. The fund invests in companies from developed countries excluding those in the Eurozone, providing investors with diversified exposure to global equity markets. Amundi is a major European asset manager headquartered in Paris, France.",Alternatives,Developed Markets,Amundi Asset Management,GER,XETR,
ACU2.DE,Amundi Index Solutions - Amundi MSCI USA UCITS ETF-C EUR,EUR,"To track the performance of MSCI USA Index, and to minimize the
tracking error between the net asset value of the sub-fund and the
performance of the Index.",Alternatives,Blend,Amundi Asset Management,GER,XETR,LU1681042864
