symbol,name,currency,summary,category_group,category,family,exchange,mic,isin
09AA.HM,VALUE INVESTM.KLAS.FDS T,EUR,"VALUE INVESTM.KLAS.FDS T is a fund utilizing a value investment strategy, within a specific asset class (indicated by ""KLAS""). Further information is required to determine the exact nature and focus of this fund.",,,,HAM,XHAM,
0DPS.HM,DEXUS,EUR,,,,,HAM,XHAM,
10AC.HM,AF-AM.FU.EQUITY ME. ADLC,EUR,AF-AM.FU.EQUITY ME. ADLC is a fund focusing on equity investments in the Middle East. The fund aims to achieve long-term capital appreciation by investing in companies located in or doing business in the Middle East. It is managed by Amundi Asset Management.,,,Amundi Asset Management,HAM,XHAM,
15CA.HM,C-QUADRAT ABS.RET.ESG RT,EUR,,,,,HAM,XHAM,
18M3.HM,AMUNDI ETF MSCI EUR.BKS,EUR,,,,Amundi Asset Management,HAM,XHAM,
18M6.HM,AMUNDI ETF MSCI EU.HEAL.,EUR,,,,Amundi Asset Management,HAM,XHAM,
18MF.HM,AMUNDI ETF LEV. USA,EUR,,,,Amundi Asset Management,HAM,XHAM,
18MM.HM,AM.I.MSCI P.EXJ.SRI UEDIE,EUR,,,,,HAM,XHAM,
18MS.HM,AMUNDI ETF SH.EOSTXX 50 D,EUR,,,,Amundi Asset Management,HAM,XHAM,
1GZA.HM,GREEN EFFECTS NAI-WERTE,EUR,,,,,HAM,XHAM,
1J7B.HM,CIF-C.G.EM GWTH(LU) B,EUR,,,,,HAM,XHAM,
1SL2.HM,ASII-SLI CH.EQ.AC,EUR,,,,,HAM,XHAM,
1Z7.HM,CBLRM PRIVATE-EQUITY 2011,EUR,,,,,HAM,XHAM,
2IM0.HM,CANSOUL-HANF IN.A.GL.EOR,EUR,,,,,HAM,XHAM,
2IM1.HM,CREATING ALPHA-GERM.CH.EO,EUR,,,,,HAM,XHAM,
2NLA.HM,WI GLOB.CHALL.INDEX-FDS P,EUR,,,,,HAM,XHAM,
3BJ1.HM,KEPPLER-GLOBAL VALUE-INV.,EUR,KEPPLER-GLOBAL VALUE-INV. is a global value investment fund. Its objective is to achieve long-term capital appreciation by investing in a diversified portfolio of undervalued securities worldwide.,Alternatives,Value,,HAM,XHAM,
3BJ4.HM,WELTZINS-INVEST (P),EUR,WELTZINS-INVEST (P) is a global bond fund. It aims to generate returns by investing in a diversified portfolio of international fixed-income securities. The fund seeks to capitalize on global interest rate trends and credit opportunities.,Fixed Income,Government Bonds,,HAM,XHAM,
3BJ5.HM,PrivatDepot 2,EUR,,,,,HAM,XHAM,
3HJ.HM,LIPPO MALLS IND.RET.TRUST,EUR,"Lippo Malls Indonesia Retail Trust is a real estate investment trust (REIT) focused on owning and operating retail malls in Indonesia. The trust aims to provide stable returns to investors through rental income and capital appreciation of its properties. The REIT's portfolio consists of a diversified range of shopping malls across various cities in Indonesia, catering to the country's growing middle class.",Real Estate,REITs,,HAM,XHAM,
3ISP.HM,ISHSTR.-US MEDIC.DEV.ETF,EUR,"ISHSTR.-US MEDIC.DEV.ETF is an exchange-traded fund (ETF) that seeks to track the investment results of an index composed of U.S. companies in the medical device industry. The fund provides investors with exposure to companies involved in the research, development, manufacturing, and distribution of medical devices. It aims to offer a targeted investment in the growing healthcare sector, focusing specifically on the medical devices segment.",Health Care,,BlackRock Asset Management,HAM,XHAM,
3P51.HM,PARKWAY LIFE REAL ESTATE,EUR,"Parkway Life Real Estate Investment Trust (PLife REIT) is a Singapore-based real estate investment trust that invests in healthcare and healthcare-related assets, including hospitals, nursing homes, and senior living facilities, across Asia. The REIT generates income primarily through long-term leases with healthcare operators, aiming to provide stable and growing distributions to its unitholders. PLife REIT focuses on acquiring and managing high-quality healthcare assets in established markets like Singapore and Japan to ensure sustainable returns.",Real Estate,REITs,,HAM,XHAM,
3PT3.HM,SGKB L.-DANUBE TIGER EO B,EUR,SGKB L.-DANUBE TIGER EO B is an investment fund that focuses on investing in companies located in the Danube region of Europe. The fund aims to capitalize on the growth potential of economies in this region through investments in various sectors. It seeks to achieve long-term capital appreciation by identifying and investing in promising companies within the Danube area.,Financials,Emerging Markets,,HAM,XHAM,
3SP1.HM,PHAIDROS FDS-BALANCED D,EUR,PHAIDROS FDS-BALANCED D is a balanced investment fund. Its goal is to achieve a mix of capital appreciation and income by investing in a diversified portfolio of stocks and bonds. The fund seeks to provide moderate risk exposure.,Alternatives,Blend,3 Banken-Generali Investment-Gesellschaft,HAM,XHAM,
3SP2.HM,STARCAP.-WINBONDS PL.A EO,EUR,STARCAP.-WINBONDS PL.A EO is a bond fund that aims to generate returns through investments in global bond markets. The fund focuses on identifying and investing in undervalued bonds to achieve capital appreciation and income. The investment strategy involves active portfolio management and macroeconomic analysis.,Alternatives,Corporate Bonds,3 Banken-Generali Investment-Gesellschaft,HAM,XHAM,
3SP6.HM,PHAIDROS FDS-CONSERVATI.C,EUR,,,,,HAM,XHAM,
3SPE.HM,PHAIDROS-FALLEN ANGEL.BEO,EUR,,,,,HAM,XHAM,
3SPG.HM,BOERSE.DE-WELTFONDS TM,EUR,BOERSE.DE-WELTFONDS TM is a global equity fund that invests in a diversified portfolio of international stocks. The fund seeks to achieve long-term capital appreciation by investing in companies with strong growth potential. The investment strategy is based on fundamental analysis and a selection process that focuses on quality and value.,Alternatives,Developed Markets,3 Banken-Generali Investment-Gesellschaft,HAM,XHAM,
4N26.HM,LGT-LGT SU.BD FD GL.HED.B,EUR,"LGT-LGT SU.BD FD GL.HED.B is a fixed-income fund from LGT Capital Management that invests in sustainable global bonds with a currency hedge. The fund focuses on integrating environmental, social, and governance (ESG) factors into its investment process while mitigating currency risk.",Fixed Income,Corporate Bonds,Candriam Lux,HAM,XHAM,
4N2A.HM,LGT SEL.BD HGH YLD B,EUR,LGT SEL.BD HGH YLD B is a fund from LGT Capital Management that invests in high-yield bonds. The fund aims to generate income and capital appreciation by investing in a diversified portfolio of below-investment-grade bonds.,Fixed Income,High Yield Bonds,Candriam Lux,HAM,XHAM,
4N31.HM,DEKASTRUK.:ERTRAGPLUS INH,EUR,DEKASTRUK.:ERTRAGPLUS INH is a fund from Deka Investment that aims to generate additional income. The fund utilizes a structured investment approach to enhance returns.,Alternatives,,Deka Investment,HAM,XHAM,
4N32.HM,DEKASTRUKTUR: WACHSTUM,EUR,DEKASTRUKTUR: WACHSTUM is a fund from Deka Investment focused on growth. It employs a structured investment approach to achieve capital appreciation.,Alternatives,Growth,Deka Investment,HAM,XHAM,
4N37.HM,Deka-Global ConvergenceRenten,EUR,Deka-Global ConvergenceRenten is a fixed-income fund from Deka Investment that invests globally. It focuses on convergence strategies within the fixed-income market.,Fixed Income,Corporate Bonds,Deka Investment,HAM,XHAM,
5BW1.HM,Blackwall Ucits Platform Icav - Blackwall Europe Equity Fund,EUR,"Blackwall Ucits Platform Icav - Blackwall Europe Equity Fund is a sub-fund of Blackwall Ucits Platform Icav, an Irish collective asset-management vehicle. The fund primarily invests in European equities, aiming to achieve long-term capital appreciation. The fund is managed by Blackwall Capital Investment.",Alternatives,Developed Markets,,HAM,XHAM,
6PSA.HM,INVESCOM3 F RAFUS1000 A,EUR,,,,,HAM,XHAM,
6PSC.HM,INVESCOM3 FTSE RAFI E A,EUR,,,,,HAM,XHAM,
6PSK.HM,INVESCOM3 FT RAFI EM A,EUR,,,,,HAM,XHAM,
7IMA.HM,UNIIMMO:WOHNEN ZBI,EUR,,,,,HAM,XHAM,
7SW1.HM,SwiS Life Ref (DE) European Real Estate Living and Working Fund,EUR,,,,,HAM,XHAM,
9WGA.HM,WERTGRUND WOHNSELECT D,EUR,,,,,HAM,XHAM,
A2QCXY.HM,ETHIUS GL.IMPACT PRIV.EUR,EUR,,,,,HAM,XHAM,
A3V2.HM,Aviva Investors - European Corporate Bond Fund,EUR,,,,,HAM,XHAM,
A6C.HM,ARA LOGOS LOGISTICS TRUST,EUR,ARA LOGOS LOGISTICS TRUST is a Singapore-based real estate investment trust (REIT) focused on logistics properties. The REIT invests in a diversified portfolio of logistics assets located in Singapore and Australia. ALLT aims to provide unitholders with stable distributions and long-term growth by strategically managing its portfolio of logistics properties.,Real Estate,REITs,Lion Global Investors,HAM,XHAM,
AAL1.HM,ALKEN FD-EUROP.OPPORT.R,EUR,,,,,HAM,XHAM,
ABD1.HM,ASSCVI-EURO.EQU. AAEO,EUR,,,,,HAM,XHAM,
ABD2.HM,AS SCV I-APAC EQ. AADL,EUR,,,,,HAM,XHAM,
ABD3.HM,ASSCVI-SLT EU.HYB AMIEO,EUR,,,,,HAM,XHAM,
ABD4.HM,ASSCVI-EM MKT.EQ. AADL,EUR,,,,,HAM,XHAM,
ABD6.HM,SSCVI-SLT EM BD AADL,EUR,,,,,HAM,XHAM,
ABD7.HM,ASSCVI-WRLD EQ. AADL,EUR,,Alternatives,Blend,Aberdeen Standard Investments,HAM,XHAM,
ABD8.HM,ASSCVI-AUS.EQU. AAAD,EUR,,Alternatives,Blend,Aberdeen Standard Investments,HAM,XHAM,
ABD9.HM,ASSCVI-ASIA SM.CO.AADL,EUR,,Alternatives,Small Cap,Aberdeen Standard Investments,HAM,XHAM,
ABDE.HM,ASSCVI-EM L.C.BD AADL,EUR,,Fixed Income,Corporate Bonds,Aberdeen Standard Investments,HAM,XHAM,
ABDG.HM,ASSCVI-ASIA ST BD AAEO,EUR,,Fixed Income,Corporate Bonds,Aberdeen Standard Investments,HAM,XHAM,
AE50.HM,AMUNDI ETF STOXX EURO.50,EUR,"AMUNDI ETF STOXX EURO.50 is an exchange-traded fund (ETF) that tracks the STOXX Europe 50 Index. The fund offers investors exposure to the 50 largest companies in the Eurozone, representing a significant portion of the Eurozone economy. The ETF is managed by Amundi, a large European asset manager headquartered in Paris, France.",Financials,Developed Markets,Amundi Asset Management,HAM,XHAM,
AEF2.HM,ASSCVI-INDIAN EQ. AADL,EUR,"ASSCVI-INDIAN EQ. AADL is a sub-fund of Aberdeen Standard SICAV I, focusing on Indian equity investments. The fund aims to generate returns through investments in companies located in India, utilizing a specific investment approach designated as ""AADL."" Aberdeen Standard Investments is a global asset management company headquartered in Edinburgh, Scotland.",Financials,Emerging Markets,Aberdeen Standard Investments,HAM,XHAM,
AEF3.HM,ASSCVI-JAPAN.EQ. A-2,EUR,"ASSCVI-JAPAN.EQ. A-2 is a sub-fund of Aberdeen Standard SICAV I, focusing on Japanese equity investments. The fund aims to generate returns through investments in companies located in Japan, utilizing a specific investment approach designated as ""A-2."" Aberdeen Standard Investments is a global asset management company headquartered in Edinburgh, Scotland.",Financials,Developed Markets,Aberdeen Standard Investments,HAM,XHAM,
AEF5.HM,ASSCVI-EM SMALL.COM. AADL,EUR,"ASSCVI-EM SMALL.COM. AADL is a sub-fund of Aberdeen Standard SICAV I, focusing on Emerging Markets Small Cap equity investments. The fund aims to generate returns through investments in smaller companies located in emerging market countries, utilizing a specific investment approach designated as ""AADL."" Aberdeen Standard Investments is a global asset management company headquartered in Edinburgh, Scotland.",Financials,Small Cap,Aberdeen Standard Investments,HAM,XHAM,
AEF6.HM,ASSCVI-AL.CH.EQ.AADL,EUR,"ASSCVI-AL.CH.EQ.AADL is a sub-fund of Aberdeen Standard SICAV I, focusing on All China equity investments. The fund aims to generate returns through investments in companies located in China, utilizing a specific investment approach designated as ""AADL."" Aberdeen Standard Investments is a global asset management company headquartered in Edinburgh, Scotland.",Financials,Emerging Markets,Aberdeen Standard Investments,HAM,XHAM,
AEF8.HM,AS SCV I -APAC EQ. SADL,EUR,"AS SCV I -APAC EQ. SADL is a sub-fund of Aberdeen Standard SICAV I, focusing on Asia Pacific (APAC) equity investments. It would aim to generate returns through investments in companies located in the Asia Pacific region, excluding Japan, with a specific investment strategy denoted by ""SADL."" Aberdeen Standard Investments is a global asset management company headquartered in Edinburgh, Scotland.",Financials,Emerging Markets,Aberdeen Standard Investments,HAM,XHAM,
AEF9.HM,ASSCVI-EM SMALL.COM. AALS,EUR,"ASSCVI-EM SMALL.COM. AALS is a sub-fund of Aberdeen Standard SICAV I, focusing on Emerging Markets Small Cap equity investments. The fund aims to generate returns through investments in smaller companies located in emerging market countries, utilizing a specific investment approach designated as ""AALS."" Aberdeen Standard Investments is a global asset management company headquartered in Edinburgh, Scotland.",Financials,Emerging Markets,Aberdeen Standard Investments,HAM,XHAM,
AEFE.HM,ASSCVI-ASIA SM CO. AALS,EUR,"ASSCVI-ASIA SM CO. AALS is a sub-fund of Aberdeen Standard SICAV I, focusing on Asia Small Cap Companies equity investments. The fund aims to generate returns through investments in smaller companies located in Asia, utilizing a specific investment approach designated as ""AALS."" Aberdeen Standard Investments is a global asset management company headquartered in Edinburgh, Scotland.",Financials,Small Cap,Aberdeen Standard Investments,HAM,XHAM,
