symbol,name,currency,summary,category_group,category,family,exchange,mic,isin
DJIST.IS,Dow Jones Istanbul 20 A Type ETF,TRY,The Dow Jones Istanbul 20 A Type ETF is an exchange-traded fund (ETF) that aims to replicate the performance of the Dow Jones Istanbul 20 index. It provides investors with a simple and cost-effective way to gain exposure to the 20 largest and most liquid companies listed on the Borsa Istanbul. The ETF is managed by a financial institution and follows a passive investment strategy.,,,,IST,XIST,
GLDTR.IS,Istanbul Gold Type B Gold ETF,TRY,"Istanbul Gold Type B Gold ETF is an exchange-traded fund that invests in gold, providing investors with a way to gain exposure to the gold market without directly owning physical gold. The ETF is based in Istanbul, Turkey, and aims to track the price of gold. This allows investors to diversify their portfolios and hedge against inflation.",Commodities,,,IST,XIST,
GMSTR.IS,Finans Asset Management Silver Exchange Traded Fund,TRY,"The investment seeks to track the price and yield performance, before fees and expenses, of the Non-Financial Istanbul 20 Index.
 The index tracks the top 20 non-financial Turkish blue-chip stocks.",Financials,,Finance Portenetimi,IST,XIST,
USDTR.IS,USA Treasury Bond Dollar B Type Exchange Traded Fund,TRY,USA Treasury Bond Dollar B Type Exchange Traded Fund aims to track the performance of USA Treasury bonds. The fund invests in US government bonds with the goal of providing a return that mirrors the performance of these debt instruments. The ETF is traded on the Istanbul Stock Exchange.,Fixed Income,Treasury Bonds,,IST,XIST,
Z30EA.IS,Ziraat Portfoy Yonetimi A.S - Exchange Traded Fund (etf),TRY,,,,Ziraat Bank,IST,XIST,
Z30KE.IS,Ziraat Portfoy Yonetimi A.S - Exchange Traded Fund (etf),TRY,,,,Ziraat Bank,IST,XIST,
Z30KP.IS,Ziraat Portfoy Yonetimi A.S - Exchange Traded Fund (etf),TRY,,,,Ziraat Bank,IST,XIST,
ZGOLD.IS,Ziraat Portfoy Yonetimi A.S - Exchange Traded Fund (etf),TRY,"Ziraat Portfoy Yonetimi A.S - Exchange Traded Fund (ETF) aims to track a specific index or asset class, providing investors with diversified exposure. The ETF is managed by Ziraat Portfoy Yonetimi A.S., a Turkish asset management company. It offers a cost-effective way to invest in the Turkish market.",Equities,,Finance Portenetimi,IST,XIST,
ZPBDL.IS,ZIRAAT PORTFOY BIST BANKA DISI ,TRY,,,,,IST,XIST,
ZPLIB.IS,ZIRAAT PORTFOY BIST LIKIT BANKA,TRY,"ZIRAAT PORTFOY BIST LIKIT BANKA is an exchange-traded fund (ETF) that tracks the performance of the BIST Liquid Banks Index. The fund invests in a portfolio of stocks included in the index, aiming to replicate its returns. It is managed by Ziraat Portfoy, a Turkish asset management company.",Financials,,,IST,XIST,
ZPX30.IS,ZIRAAT PORTFOY BIST 30 HY BYF,TRY,"ZIRAAT PORTFOY BIST 30 HY BYF is an exchange traded fund (ETF) that tracks the performance of the BIST 30 Index. It provides investors with exposure to the 30 largest and most liquid companies listed on the Borsa Istanbul (BIST) stock exchange, employing a replication strategy. The fund is managed by Ziraat Portfoy, a Turkish asset management company.",Equities,,Ziraat Bank,IST,XIST,
ZRE20.IS,Ziraat Portfoy Yonetimi A.S - Exchange Traded Fund (etf),TRY,"Ziraat Portfoy Yonetimi A.S - Exchange Traded Fund (etf) is an ETF managed by Ziraat Portfoy, a Turkish asset management company. The fund invests in a portfolio of securities. It provides investors with a diversified investment option.",Equities,,Ziraat Bank,IST,XIST,
ZTM15.IS,Ziraat Portfoy Yonetimi A.S - Exchange Traded Fund (etf),TRY,"Ziraat Portfoy Yonetimi A.S - Exchange Traded Fund (etf) is an ETF managed by Ziraat Portfoy, a Turkish asset management company. The fund invests in a portfolio of securities. It provides investors with a diversified investment option.",,,Ziraat Bank,IST,XIST,
