symbol,name,currency,summary,category_group,category,family,exchange,mic,isin
1306.T,NEXT FUNDS TOPIX Exchange Traded Fund,JPY,"The investment seeks to track the price and yield performance, before fees and expenses of the TOPIX Index.The fund invests in the component stocks of the TOPIX and stocks which are scheduled to become such component stocks, and intends to construct and maintain the portfolio, which is similar in composition to the index.",,,Nomura Asset Management,JPX,XJPX,
1309.T,NEXT FUNDS ChinaAMC SSE50 Index Exchange Traded Fund,JPY,"NEXT FUNDS ChinaAMC SSE50 Index Exchange Traded Fund is an exchange-traded fund (ETF) listed on the Tokyo Stock Exchange that tracks the SSE 50 Index. It invests in a portfolio of stocks that mirrors the composition of the SSE 50 index, providing exposure to the 50 largest companies listed on the Shanghai Stock Exchange. The ETF is managed by Nomura Asset Management.",,,Nomura Asset Management,JPX,XJPX,
1321.T,Nikkei 225 Exchange Traded Fund,JPY,"Nikkei 225 Exchange Traded Fund is an exchange-traded fund (ETF) listed on the Tokyo Stock Exchange that tracks the Nikkei 225 index. It invests in a portfolio of stocks that mirrors the composition of the Nikkei 225 index, providing broad exposure to the Japanese stock market. The ETF is managed by Nomura Asset Management.",,Large Cap,Nomura Asset Management,JPX,XJPX,
1322.T,Listed Index Fund China A Share Panda E Fund CSI300,JPY,"The investment seeks to track the price and performance yield, before fees and expenses, of the CSI300 index.The fund targets all issues traded on the Shanghai and Shenzhen stock exchanges. The index is composed of the top 300 China A-shares based on market value and liquidity listed on the Shanghai and Shenzhen exchanges.",,,Nikko Asset Management ,JPX,XJPX,
1325.T,NEXT FUNDS Ibovespa Linked,JPY,"The investment seeks to replicate, net of expenses, the Ibovespa Index.",,,Nomura Asset Management ,JPX,XJPX,
1327.T,S&P GSCI Energy&Metals Capped Component 35/20 THEAM Easy UCITS ETF A Capitalisation,JPY,"The Fund&#39;s objective is to achieve a return comparable to the S&P GSCIÂ® Energy & Metals Capped Component 35/20 Total Return Index. In this respect, the Manager will use a method consisting in the synthetic replication of the Benchmark Index.",Commodities,,BNP Paribas Asset Management,JPX,XJPX,LU0203243844
1330.T,Nikko Nikkei225 Listed,JPY,"The investment seeks to track the price and yield performance, before fees and expenses, of the Nikkei 225 Index.The index is a price-weighted average of 225 top-rated Japanese companies listed in the First Section of the Tokyo Stock Exchange.",,Large Cap,Nikko Asset Management,JPX,XJPX,
1346.T,MAXIS Nikkei 225 ETF,JPY,"MAXIS Nikkei 225 ETF is an exchange-traded fund (ETF) listed on the Tokyo Stock Exchange that tracks the Nikkei 225 index. The fund offers investors exposure to a portfolio of the 225 largest publicly listed companies in Japan. MAXIS Nikkei 225 ETF is managed by Mitsubishi UFJ Kokusai Asset Management Co., Ltd.",,Large Cap,Mitsubishi Asset Management,JPX,XJPX,
1349.T,ABF Pan Asia Bond Index,JPY,"The Trust seeks investment results, before fees and expenses, that correspond closely to the total return of the Markit iBoxx ABF Pan-Asia Index (the âUnderlying Indexâ).
To achieve the Trustâs investment objective, the Manager will adopt a representative sampling strategy (i.e. a strategy investing in a representative sample of securities in the Underlying Index which have a similar investment profile as that of the Underlying Index), or a similar strategy, and invest the Trustâs assets primarily in debt obligations denominated in China Renminbi, Hong Kong Dollars, Indonesian Rupiah, Korean Won, Malaysian Ringgits, Philippine Pesos, Singapore Dollars or Thai Baht (each a âAsian Currencyâ), issued or guaranteed by government, quasi-government organizations or supranational financial institutions in each case as determined by Markit Indices Limited (the âIndex Providerâ) and which are for the time being constituent securities of the Underlying Index (âIndex Securitiesâ).",Fixed Income,,State Street Global Advisors,JPX,XJPX,
1360.T,Nikkei225 Bear -2x ETF,JPY,Nikkei225 Bear -2x ETF is an exchange-traded fund (ETF) listed on the Tokyo Stock Exchange that seeks to provide twice the inverse (opposite) of the daily performance of the Nikkei 225 index. This leveraged inverse ETF uses derivatives to achieve its investment objective. It is designed for short-term trading and is not suitable for long-term investment.,Derivatives,,Simplex Asset Management ,JPX,XJPX,
1365.T,Daiwa ETF Japan Nikkei225 Leveraged Index,JPY,Daiwa ETF Japan Nikkei225 Leveraged Index is an exchange-traded fund (ETF) listed on the Tokyo Stock Exchange that seeks to provide leveraged exposure to the Nikkei 225 index. The fund aims to deliver twice the daily return of the Nikkei 225. It uses derivatives to achieve its leveraged exposure.,Derivatives,,Daiwa Asset Management,JPX,XJPX,
1366.T,Daiwa ETF Japan Nikkei225 Double Inverse Index,JPY,Daiwa ETF Japan Nikkei225 Double Inverse Index is an exchange-traded fund (ETF) listed on the Tokyo Stock Exchange that seeks to provide twice the inverse (opposite) of the daily performance of the Nikkei 225 index. This leveraged inverse ETF uses derivatives to achieve its investment objective. It is designed for short-term trading and is not suitable for long-term investment.,Derivatives,,Daiwa Asset Management,JPX,XJPX,
1397.T,SMDS SMDAM NIKKEI225 ETF,JPY,"SMDS SMDAM NIKKEI225 ETF is an exchange-traded fund (ETF) listed on the Tokyo Stock Exchange that tracks the Nikkei 225 index. It invests in a portfolio of stocks that mirrors the composition of the Nikkei 225 index, providing broad exposure to the Japanese stock market. The ETF is managed by Sumitomo Mitsui DS Asset Management.",,Large Cap,Sumitomo Mitsui DS Asset Management,JPX,XJPX,
1398.T,SMDS SMDAM REIT Index ETF,JPY,"SMDS SMDAM REIT Index ETF is an exchange-traded fund (ETF) listed on the Tokyo Stock Exchange that tracks a REIT (Real Estate Investment Trust) index. It invests in a portfolio of REITs, providing exposure to the Japanese real estate market. The ETF is managed by Sumitomo Mitsui DS Asset Management.",Real Estate,REITs,Sumitomo Mitsui DS Asset Management,JPX,XJPX,
1456.T,Daiwa ETF Japan Nikkei225 Inverse Index,JPY,Daiwa ETF Japan Nikkei225 Inverse Index is an exchange-traded fund (ETF) listed on the Tokyo Stock Exchange that seeks to provide inverse (opposite) of the daily performance of the Nikkei 225 index. This inverse ETF uses derivatives to achieve its investment objective. It is designed for short-term trading and is not suitable for long-term investment.,Alternatives,,Daiwa Asset Management ,JPX,XJPX,
1458.T,Rakuten ETF-Nikkei 225 Leveraged Index,JPY,"This is a leveraged ETF that aims to generate twice the daily performance of the Nikkei 225 Index. The fund seeks to provide investors with amplified returns based on the movements of the underlying index, targeting short-term trading strategies. It is managed by Rakuten Asset Management and listed on the Tokyo Stock Exchange.",Alternatives,,Rakuten Investment Management,JPX,XJPX,
1459.T,Rakuten ETF-Nikkei 225 Double Inverse Index,JPY,"This is an inverse leveraged ETF that aims to deliver twice the inverse daily performance of the Nikkei 225 Index. The fund is designed for investors seeking to profit from a decline in the Nikkei 225, with a magnified inverse return. Rakuten Asset Management manages the fund, which trades on the Tokyo Stock Exchange.",Alternatives,,Rakuten Investment Management,JPX,XJPX,
1475.T,iShares Core TOPIX ETF,JPY,This is an ETF that tracks the performance of the TOPIX (Tokyo Stock Price Index). It provides investors with broad exposure to the Japanese stock market by investing in a diversified portfolio of companies listed on the Tokyo Stock Exchange. iShares manages this fund.,Alternatives,,BlackRock Asset Management,JPX,XJPX,
1481.T,Listed Index Fund Japanese Economy Contributor Stocks,JPY,This is an ETF focused on investing in Japanese companies that are considered contributors to the Japanese economy. The fund selects stocks based on their positive impact on the nation's economic growth. Listed Index Fund manages this ETF.,Alternatives,,Nikko Asset Management ,JPX,XJPX,
1484.T,AMOne One ETF JPX/S&P CAPEX & Human Capital Index,JPY,"This ETF tracks the JPX/S&P CAPEX & Human Capital Index, focusing on companies that invest in capital expenditure and human capital. The fund provides exposure to Japanese companies recognized for their investments in growth and their employees. AMOne manages this ETF.",Alternatives,,Asset Management One,JPX,XJPX,
1485.T,MAXIS JAPAN Proactive Investment in Physical and Human Capital 200 Idx ETF,JPY,This ETF tracks the MAXIS JAPAN Proactive Investment in Physical and Human Capital 200 Index. It invests in Japanese companies that actively invest in both physical assets and human resources. The fund aims to capture the performance of companies focused on long-term growth through strategic investments.,Alternatives,,Mitsubishi Asset Management,JPX,XJPX,
1488.T,Daiwa ETF Tokyo Stock Exchange REIT Index,JPY,"This is an ETF designed to track the performance of the Tokyo Stock Exchange REIT (Real Estate Investment Trust) Index. The fund provides investors with exposure to a portfolio of Japanese REITs, offering a way to invest in the Japanese real estate market through publicly traded securities. Daiwa Asset Management manages this ETF.",Real Estate,REITs,Daiwa Asset Management ,JPX,XJPX,
1492.T,MAXIS JPX-Nikkei Mid and Small Cap Index ETF,JPY,"This is an ETF that tracks the JPX-Nikkei Mid and Small Cap Index. The fund offers investors exposure to mid- and small-sized companies listed on the Tokyo Stock Exchange, providing a broader market view beyond large-cap stocks. MAXIS manages this ETF.",Alternatives,,Mitsubishi Asset Management,JPX,XJPX,
1551.T,Simplex JASDAQ-TOP20 ETF,JPY,"This is an ETF that tracks the JASDAQ-TOP20 Index. The fund invests in the 20 largest companies listed on the JASDAQ market in Japan, focusing on emerging and growth-oriented businesses. Simplex Asset Management manages this ETF.",Alternatives,,,JPX,XJPX,
1559.T,NEXT FUNDS Thai Stock SET50 Exchange Traded Fund,JPY,"The investment seeks to replicate, net of expense, the SET 50 JPY index.",,,Nomura Asset Management ,JPX,XJPX,
1560.T,NEXT FUNDS FTSE Bursa Malaysia KLCI Exchange Traded Fund,JPY,"The investment seeks to replicate, net of expense, the FTSE Bursa Malaysia KLCI JPY index.",,,Nomura Asset Management ,JPX,XJPX,
1563.T,TSE Mothers Core ETF,JPY,"The investment seeks to replicate, net of expenses, the Tokyo Stock Exchange Mother Core Index.
 The index represents companies listed on the Mothers market of Tokyo Stock Exchange, with respect to market capitalization, turnover, profits and dividends in consideration of the situation, which consists of shares of 15 companies chosen by the TSE.",,,Simplex Asset Management ,JPX,XJPX,
1577.T,NEXT FUNDS Nomura Japan Equity High Dividend 70 Exchange Traded Fund,JPY,"This is an Exchange Traded Fund that focuses on Japanese equities with high dividend yields. The fund tracks the Nomura Japan Equity High Dividend 70 Index, selecting companies with strong dividend payouts. NEXT FUNDS manages this fund.",Alternatives,,Nomura Asset Management ,JPX,XJPX,
1579.T,Nikkei225 Bull 2x ETF,JPY,"This is a leveraged ETF that aims to deliver twice the daily performance of the Nikkei 225 Index. The fund seeks to provide investors with amplified returns based on the movements of the underlying index, targeting short-term trading strategies. It's designed for those seeking to double their exposure to the Nikkei 225's daily gains.",Derivatives,,Simplex Asset Management ,JPX,XJPX,
1580.T,Nikkei225 Bear -1x ETF,JPY,"This is an inverse ETF designed to deliver the opposite of the daily performance of the Nikkei 225 Index. The fund aims to provide investors with a return that moves inversely to the Nikkei 225, allowing them to profit from a market decline. It offers a way to hedge against potential losses in the Japanese stock market.",Derivatives,,Simplex Asset Management ,JPX,XJPX,
1595.T,NZAM ETF J-REIT Index,JPY,"This is an ETF that tracks the J-REIT Index, providing exposure to Japanese Real Estate Investment Trusts. The fund allows investors to participate in the Japanese real estate market through a diversified portfolio of REITs. NZAM (Nikko Asset Management) manages this ETF.",Real Estate,REITs,"Norinchukin Zenkyoren Asset Mgmt Co.,Ltd",JPX,XJPX,
1596.T,NZAM ETF TOPIX Ex-Financials,JPY,"This is an ETF that tracks the TOPIX Ex-Financials Index. The fund provides exposure to the Japanese stock market, excluding companies in the financial sector. NZAM (Nikko Asset Management) manages this ETF.",Alternatives,,"Norinchukin Zenkyoren Asset Mgmt Co.,Ltd",JPX,XJPX,
1597.T,MAXIS J-REIT ETF,JPY,"This is an ETF focused on investing in Japanese Real Estate Investment Trusts (J-REITs). The fund aims to track the performance of an index representing the J-REIT market. MAXIS manages this ETF, offering investors exposure to Japanese real estate through publicly traded securities.",Real Estate,REITs,Mitsubishi Asset Management,JPX,XJPX,
1617.T,NEXT FUNDS TOPIX-17 Foods,JPY,"The investment seeks to track the price and performance yield, before fees and expenses, of the TOPIX-17 Foods index.The index invests in fishery, agriculture, forestry and foods sectors. It is a free-float adjusted market capitalization-weighted index and reflects market movements of the market capitalization to each base market value.",Alternatives,,Nomura Asset Management ,JPX,XJPX,
1620.T,NEXT FUNDS TOPIX-17 Raw Mat & Chemicals,JPY,"The investment seeks to track the price and performance yield, before fees and expenses, of the TOPIX-17 Raw Materials & Chemicals index.The index invests in textiles and apparels, pulp and paper, and chemical sectors. It is a free-float adjusted market capitalization-weighted index and reflects market movements of the market capitalization to each base market value.",Alternatives,,Nomura Asset Management ,JPX,XJPX,
1621.T,NEXT FUNDS TOPIX-17 Pharmaceutical,JPY,"The investment seeks to track the price and performance yield, before fees and expenses, of the TOPIX-17 Pharmaceutical index.The index invests in the pharmaceutical sector. It is a free-float adjusted market capitalization-weighted index and reflects market movements of the market capitalization to each base market value.",Alternatives,,Nomura Asset Management ,JPX,XJPX,
1623.T,NEXT FUNDS TOPIX-17 Steel and Nonferrous,JPY,"The investment seeks to track the price and performance yield, before fees and expenses, of the TOPIX-17 Steel & Nonferrous index.The index invests in iron and steel, and nonferrous metals sectors. It is a free-float adjusted market capitalization-weighted index and reflects market movements of the market capitalization to each base market value.",Alternatives,,Nomura Asset Management ,JPX,XJPX,
