symbol,name,currency,summary,category_group,category,family,exchange,mic,isin
069500.KS,KODEX 200,KRW,"KODEX 200 is an ETF listed on the Korea Exchange that tracks the KOSPI 200 Index, providing investors with exposure to the 200 largest companies in South Korea. The ETF aims to replicate the performance of the KOSPI 200, offering a broad market investment in the Korean stock market.",Information Technology,Large Cap,,KSC,XKRX,
069660.KS,KOSEF 200,KRW,"KOSEF 200 is an ETF listed on the Korea Exchange that tracks the KOSPI 200 Index, providing investors with exposure to the 200 largest companies in South Korea. The ETF aims to replicate the performance of the KOSPI 200, offering a broad market investment in the Korean stock market.",Information Technology,Large Cap,,KSC,XKRX,
091180.KS,Kodex Autos,KRW,"Kodex Autos is an ETF listed on the Korea Exchange focused on the automobile industry in South Korea. The ETF invests in companies involved in the production of automobiles, auto parts, and related services.",Consumer Discretionary,,,KSC,XKRX,
102960.KS,Kodex Shipbuilding,KRW,Kodex Shipbuilding is an exchange-traded fund (ETF) listed on the Korea Exchange. It invests in companies involved in the shipbuilding industry. The fund aims to provide investors with exposure to the performance of the Korean shipbuilding sector.,Industrials,,,KSC,XKRX,
104530.KS,KOSEF High Dividend,KRW,KOSEF High Dividend is an exchange-traded fund (ETF) listed on the Korea Exchange. It invests in companies that pay high dividends. The fund aims to provide investors with a portfolio of dividend-paying stocks listed on the Korean stock market.,Financials,,,KSC,XKRX,
105190.KS,KIMC KINDEX200 Securities Exchange Traded Investment Trust,KRW,"KIMC KINDEX200 Securities Exchange Traded Investment Trust is an exchange-traded fund (ETF) listed on the Korea Exchange that tracks the KOSPI 200 index. It invests in a portfolio of stocks that mirrors the composition of the KOSPI 200 index, providing broad exposure to the Korean stock market. The ETF is managed by Korea Investment Management Company (KIMC).",,Large Cap,,KSC,XKRX,
105780.KS,KB KBSTAR Top5 Group Securities ETF Investment Fund - Equity,KRW,KB KBSTAR Top5 Group Securities ETF Investment Fund - Equity is an exchange-traded fund (ETF) listed on the Korea Exchange. It invests in the top 5 group securities in the Korean stock market. The fund is managed by KB Asset Management and provides investors with exposure to leading Korean conglomerates.,,,,KSC,XKRX,
108450.KS,KINDEX Samsung Group SW ETF,KRW,"KINDEX Samsung Group SW ETF is an exchange-traded fund (ETF) listed on the Korea Exchange that invests in companies affiliated with the Samsung Group. The fund provides investors with exposure to the performance of Samsung-related stocks listed on the Korean stock market. It is managed by Korea Investment Management Co., Ltd.",Information Technology,,,KSC,XKRX,
108590.KS,Yurie Trex200 ETF,KRW,"Yurie Trex200 ETF is an exchange-traded fund (ETF) listed on the Korea Exchange that tracks the KOSPI 200 index. It invests in a portfolio of stocks that mirrors the composition of the KOSPI 200 index, providing broad exposure to the Korean stock market. The ETF is managed by Yurie Asset Management.",,Large Cap,,KSC,XKRX,
114100.KS,KB KStar KTB ETF (Bond),KRW,KB KStar KTB ETF (Bond) is an exchange-traded fund (ETF) listed on the Korea Exchange that invests in Korean Treasury Bonds (KTBs). The fund aims to provide investors with a portfolio of Korean government bonds. It is managed by KB Asset Management.,Fixed Income,Treasury Bonds,,KSC,XKRX,
114260.KS,Samsung Kodex Treasury Bond Securities ETF - Bonds,KRW,Samsung Kodex Treasury Bond Securities ETF - Bonds is an exchange-traded fund (ETF) listed on the Korea Exchange that invests in Korean Treasury Bonds. It provides investors with exposure to the performance of the Korean government bond market. The fund is managed by Samsung Asset Management.,Fixed Income,Treasury Bonds,,KSC,XKRX,
114460.KS,Kindex Treasury ETF,KRW,Kindex Treasury ETF is an exchange-traded fund (ETF) listed on the Korea Exchange that invests in Korean Treasury Bonds. It offers investors exposure to the Korean government bond market. The fund aims to replicate the performance of a benchmark treasury bond index.,Fixed Income,Treasury Bonds,,KSC,XKRX,
114800.KS,Samsung Kodex Inverse ETF - Equity-Derivatives,KRW,Samsung Kodex Inverse ETF - Equity-Derivatives is an exchange-traded fund (ETF) listed on the Korea Exchange that aims to provide inverse returns relative to the KOSPI 200 index. The fund uses equity derivatives to achieve its investment objective. It is managed by Samsung Asset Management.,Derivatives,,,KSC,XKRX,
114820.KS,Mirae Asset TIGER KTB 3 ETF,KRW,Mirae Asset TIGER KTB 3 ETF is an exchange-traded fund (ETF) listed on the Korea Exchange that invests in Korean Treasury Bonds with a maturity of 3 years. The fund aims to provide investors with exposure to a portfolio of 3-year Korean government bonds. It is managed by Mirae Asset Global Investments.,Fixed Income,Treasury Bonds,,KSC,XKRX,
122090.KS,Hanhwa Arirang KOSPI50 ETF,KRW,"Hanhwa Arirang KOSPI50 ETF is an exchange-traded fund (ETF) listed on the Korea Exchange that tracks the KOSPI 50 index. It invests in a portfolio of stocks that mirrors the composition of the KOSPI 50 index, providing exposure to the 50 largest companies listed on the Korean stock market. The ETF is managed by Hanwha Asset Management.",,Large Cap,Hanwha Asset Management,KSC,XKRX,
122260.KS,KOSEF MSB,KRW,KOSEF MSB is an exchange-traded fund (ETF) listed on the Korea Exchange that invests in Monetary Stabilization Bonds (MSB). These bonds are issued by the Bank of Korea. The fund aims to provide investors with a portfolio of Korean MSBs.,Fixed Income,,,KSC,XKRX,
122630.KS,Kodex Leverage,KRW,Kodex Leverage is an exchange-traded fund (ETF) listed on the Korea Exchange that seeks to provide leveraged exposure to the KOSPI 200 index. The fund aims to deliver twice the daily return of the KOSPI 200. It uses derivatives to achieve its leveraged exposure.,Derivatives,,,KSC,XKRX,
