symbol,name,currency,summary,category_group,category,family,exchange,mic,isin
FXCN.ME,FinEx MSCI China UCITS ETF USD Share Class,RUB,"The investment objective of the fund is to deliver the total net return of the reference index (the MSCI Daily TR Net China USD index), minus the fees and costs of the fund. The reference index is denominated in USD.",Equities,Emerging Markets,FinEx Capital Management,MCX,MISX,
FXDE.ME,FinEx MSCI Germany UCITS ETF (EUR),RUB,"The investment objective of the fund is to deliver the total net return of the reference index (the MSCI Daily TR Net Germany Local index), minus the fees and costs of the fund. The reference index is denominated in EUR.",Equities,Developed Markets,FinEx Capital Management,MCX,MISX,
FXDM.ME,Finex Funds Icav - Finex Developed Markets Ex-Usa Ucits ETF,RUB,"The Finex Developed Markets Ex-Usa Ucits ETF provides exposure to stocks from developed countries, excluding the USA. The fund invests in a diversified portfolio of companies in developed markets outside of the United States. The ETF is managed by Finex Funds Icav.",Equities,Developed Markets,FinEx Capital Management,MCX,MISX,
FXFA.ME,Finex Funds Icav - Finex Fallen Angels Ucits ETF,RUB,"The Finex Fallen Angels Ucits ETF invests in bonds that were initially investment-grade but have been downgraded to high-yield status. The fund seeks to generate returns from these ""fallen angel"" bonds, which may offer attractive yields. The ETF is managed by Finex Funds Icav.",Fixed Income,High Yield Bonds,FinEx Capital Management,MCX,MISX,
FXGD.ME,FinEx Physically Backed Funds Public Limited Company - FinEx Gold ETF,RUB,The FinEx Gold ETF provides investors with exposure to physical gold bullion. The ETF holds physical gold bars and aims to track the spot price of gold. FinEx Physically Backed Funds Public Limited Company manages the ETF.,Commodities,,FinEx Capital Management,MCX,MISX,
FXIM.ME,FinEx Funds Public Limited Company - FinEx USA Information Technology UCITS ETF,RUB,"The FinEx USA Information Technology UCITS ETF provides exposure to companies in the information technology sector in the United States. The fund invests in a diversified portfolio of IT companies, including software, hardware, and semiconductor firms. FinEx Funds Public Limited Company manages the ETF.",Information Technology,Developed Markets,FinEx Capital Management,MCX,MISX,
FXIT.ME,FinEx Funds Public Limited Company - FinEx USA Information Technology UCITS ETF,RUB,"The FinEx USA Information Technology UCITS ETF provides exposure to companies in the information technology sector in the United States. The fund invests in a diversified portfolio of IT companies, including software, hardware, and semiconductor firms. FinEx Funds Public Limited Company manages the ETF.",Information Technology,Developed Markets,FinEx Capital Management,MCX,MISX,
FXKZ.ME,Finex Physically Backed Funds Plc - Finex Ffin Kazakhstan Equity Fund,RUB,The FinEx FFIN Kazakhstan Equity Fund provides exposure to the Kazakhstan equity market. The fund invests in a diversified portfolio of companies listed on the Kazakhstan Stock Exchange. Finex Physically Backed Funds Plc manages the fund.,Information Technology,Frontier Markets,FinEx Capital Management,MCX,MISX,
FXMM.ME,FinEx Funds Public Limited Company - FinEx Cash Equivalents UCITS ETF,RUB,"The FinEx Cash Equivalents UCITS ETF seeks to provide returns consistent with money market instruments. The fund invests in short-term, high-quality debt securities. FinEx Funds Public Limited Company manages the ETF.",Cash,Cash,FinEx Capital Management,MCX,MISX,
FXRB.ME,FinEx Tradable Russian Corporate Bonds UCITS ETF (RUB),RUB,The investment objective of the Fund is to deliver the performance of the Reference Index (being Barclays EM Tradable Russian Corporate Bond (EMRUS) Index) less fees and expenses. Further information on the Reference Index is set out below under the heading âGeneral Description of the Reference Indexâ).,Fixed Income,Corporate Bonds,FinEx Capital Management,MCX,MISX,
FXRL.ME,FinEx Russian RTS Equity UCITS ETF (USD),RUB,The investment objective of the Fund is to track the equity market performance of the Reference Index (as defined below) less fees and expenses. Further information on the Reference Index is set out below under the heading âGeneral Description of the Reference Indexâ).,Information Technology,Emerging Markets,FinEx Capital Management,MCX,MISX,
FXRU.ME,FinEx Funds Public Limited Company - FinEx Tradable Russian Corporate Bonds UCITS ETF,RUB,The FinEx Tradable Russian Corporate Bonds UCITS ETF provides exposure to ruble-denominated corporate bonds issued by Russian companies. The fund invests in a diversified portfolio of these bonds. FinEx Funds Public Limited Company manages the ETF.,Fixed Income,Corporate Bonds,FinEx Capital Management,MCX,MISX,
FXRW.ME,FinEx Global Equity UCITS ETF RUB Hedged Share Class,RUB,The investment objective of the Fund is to track the performance of the Reference Index (as defined below) less fees and expenses. Further information on the Reference Index is set out below under the heading âGeneral Description of the Reference Indexâ).,Information Technology,Developed Markets,FinEx Capital Management,MCX,MISX,
FXTB.ME,FinEx Funds Public Limited Company - FinEx Cash Equivalents UCITS ETF,RUB,"The FinEx Cash Equivalents UCITS ETF seeks to provide returns consistent with money market instruments. The fund invests in short-term, high-quality debt securities. FinEx Funds Public Limited Company manages the ETF.",Cash,Money Market Instruments,FinEx Capital Management,MCX,MISX,
FXUS.ME,FinEx MSCI USA UCITS ETF USD Share Class,RUB,"The investment objective of the fund is to deliver the total net return of the reference index (the MSCI Daily TR Net USA USD index), minus the fees and costs of the fund. The reference index is denominated in USD.",Information Technology,Developed Markets,FinEx Capital Management,MCX,MISX,
FXWO.ME,FinEx Global Equity UCITS ETF USD Share Class,RUB,The investment objective of the Fund is to track the performance of the Reference Index (as defined below) less fees and expenses. Further information on the Reference Index is set out below under the heading âGeneral Description of the Reference Indexâ).,Information Technology,Developed Markets,FinEx Capital Management,MCX,MISX,
RUSB.ME,ITI Funds UCITS ETF SICAV - ITI Funds Russia-Focused USD Eurobond Ucits ETF,RUB,ITI Funds UCITS ETF SICAV - ITI Funds Russia-Focused USD Eurobond Ucits ETF is an exchange-traded fund domiciled in Ireland. The fund aims to track the performance of USD-denominated Eurobonds issued by Russian entities. This ETF provides exposure to the Russian corporate and sovereign debt market.,Fixed Income,Emerging Markets,,MCX,MISX,
RUSE.ME,ITI FUND UCITS ETF,RUB,ITI FUND UCITS ETF is an exchange-traded fund. More specific information regarding the fund's investment strategy and holdings would be required to provide a more detailed description.,,,,MCX,MISX,
