symbol,name,currency,summary,category_group,category,family,exchange,mic,isin
3BUL.MI,WisdomTree Bund 10Y 3x Daily Leveraged,EUR,"Boost Bund 10Y 3x Leverage Daily ETP is a fully collateralised, UCITS eligible Exchange-Traded Product. The ETP provides three times the daily performance of the Bund Rolling Future index, which tracks front-month Euro-Bund futures, plus the interest revenue earned on the collateralised amount. Euro-Bund futures are traded on EUREX and deliver German government bonds with 8.5-10.5 years to maturity. For example, if the index rises by 1% over a day, then the ETP will rise by 3%, and if the index falls by 1% over a day, then the ETP will fall by 3%, excluding fees and interest revenue",Derivatives,Government Bonds,WisdomTree Asset Management,MIL,XMIL,IE00BKT09255
3ITS.MI,WisdomTree FTSE MIB 3x Daily Short,EUR,"Boost FTSE MIB 3x Short Daily ETP is a fully collateralised, UCITS eligible Exchange-Traded Product. The ETP tracks the FTSE MIB Ultra Short Strategy RT GR index, providing three times the inverse daily performance of the FTSE MIB Total Return index, adjusted to reflect fees as well as the costs and revenues inherent to shorting stocks.",Derivatives,,WisdomTree Asset Management,MIL,XMIL,IE00B873CW36
3TYL.MI,WisdomTree US Treasuries 10Y 3x Daily Leveraged,EUR,"Boost US Treasuries 10Y 3x Leverage Daily ETP is a fully collateralised, UCITS eligible Exchange-Traded Product. The ETP provides three times the daily performance of the US Treasury Note 10Y Rolling Future index, which tracks front-month 10-Yr US Treasury Note futures, plus the interest revenue earned on the collateralised amount. 10-Yr US Treasury Note futures are traded on CBOT and deliver US government bonds with 6.5-10 years to maturity. For example, if the index rises by 1% over a day, then the ETP will rise by 3%, and if the index falls by 1% over a day, then the ETP will fall by 3%, excluding fees and interest revenue",Derivatives,Treasury Bonds,Leverage Shares,MIL,XMIL,IE00BKT09032
5BTS.MI,WisdomTree BTP 10Y 5x Daily Short,EUR,"Boost BTP 10Y 5x Short Daily ETP is a fully collateralised, UCITS eligible Exchange-Traded Product. The ETP provides five times the inverse daily performance of the Long Term BTP Rolling Future Index, which tracks front-month Long-Term Euro-BTP futures, plus the interest revenue earned on the collateralised amount. Long-Term Euro-BTP futures are traded on EUREX and deliver Italian government bonds with 8.5-11 years to maturity. For example, if the index rises by 1% over a day, then the ETP will fall by 5%, and if the index falls by 1% over a day, then the ETP will rise by 5%, excluding fees and interest revenue.",Derivatives,,WisdomTree Asset Management,MIL,XMIL,IE00BYNXNS22
A500.MI,Amundi Index Solutions - Amundi ETF S&P 500,EUR,Amundi Index Solutions - Amundi ETF S&P 500 is an exchange-traded fund (ETF) that aims to replicate the performance of the S&P 500 Index. The fund invests in a diversified portfolio of stocks included in the S&P 500 Index. The fund seeks to provide investors with exposure to the largest U.S. companies across various sectors.,Financials,Large Cap,Amundi Asset Management,MIL,XMIL,
AAA13.MI,Lyxor EuroMTS Highest Rated Macro-Weighted Govt Bond 1-3Y (DR) UCITS ETF Acc,EUR,The investment objective of Lyxor EuroMTS Highest Rated Macro-Weighted Govt Bond 1-3Y (DR) UCITS ETF is to reflect the performance of the FTSE MTS Highest Rated Macro-Weighted Government Bond 1-3Y index denominated in Euros and representative of the performance of Eurozone government bonds within the maturity range of 1 to 3 years,Fixed Income,Government Bonds,Lyxor International Asset Management,MIL,XMIL,LU1829219556
AAA35.MI,Lyxor EuroMTS Highest Rated Macro-Weighted Govt Bond 3-5Y (DR) UCITS ETF Acc,EUR,The objective of the Sub-Fund is to reflect the performance of the Benchmark Index.,Fixed Income,Government Bonds,Lyxor International Asset Management,MIL,XMIL,LU1829219713
AAA57.MI,Lyxor EuroMTS Highest Rated Macro-Weighted Govt Bond 5-7Y (DR) UCITS ETF P Acc,EUR,The objective of the Sub-Fund is to reflect the performance of the Benchmark Index.,Fixed Income,Government Bonds,Lyxor International Asset Management,MIL,XMIL,LU1829219986
AASI.MI,Amundi Index Solutions - Amundi MSCI EM Asia,EUR,"This is an Amundi Index Solutions fund, specifically the Amundi MSCI EM Asia UCITS ETF DR, which aims to replicate the performance of the MSCI Emerging Markets Asia Index. The fund invests in companies from emerging Asian countries, providing investors with exposure to the region's equity market. Amundi is a major European asset manager headquartered in Paris, France.",Financials,Emerging Markets,Amundi Asset Management,MIL,XMIL,
ACWE.MI,SSgA SPDR ETFs Europe I Public Limited Company - SPDR MSCI ACWI UCITS ETF,EUR,"SSgA SPDR ETFs Europe I Public Limited Company - SPDR MSCI ACWI UCITS ETF is an exchange-traded fund (ETF) that tracks the MSCI ACWI (All Country World Index). The ETF provides investors with exposure to a broad range of developed and emerging market equities globally, offering diversification across many countries and sectors. The ETF is managed by State Street Global Advisors (SSgA).",Alternatives,Blend,State Street Global Advisors,MIL,XMIL,
