symbol,name,currency,summary,category_group,category,family,exchange,mic,isin
00V0.MU,PrivatePortfolio Chance,EUR,"PrivatePortfolio Chance is a fund offered by a specific private portfolio management company, focusing on investments with a particular opportunity or strategy. It is not possible to ascertain specific details about its investment strategy or geographic focus without additional information.",Alternatives,,,MUN,XMUN,
018C.MU,ISHS-MSCI GL.GOLD MIN.NEW,EUR,"ISHS-MSCI GL.GOLD MIN.NEW is an iShares ETF that tracks the MSCI World Gold Miners Index, providing exposure to companies involved in the gold mining industry globally. The ETF invests in companies that are engaged in the extraction and production of gold.",Materials,,BlackRock Asset Management,MUN,XMUN,
025J.MU,VANG.TOTAL STK MKT I.ETFS,EUR,"VANG.TOTAL STK MKT I.ETFS is a Vanguard ETF that tracks a broad, market-cap-weighted index of the entire U.S. stock market. The ETF provides diversified exposure to virtually all publicly traded companies in the United States.",Information Technology,Large Cap,Vanguard Asset Management,MUN,XMUN,
025T.MU,Vanguard Scottsdale Funds - Vanguard Russell 1000 Value ETF,EUR,"Vanguard Scottsdale Funds - Vanguard Russell 1000 Value ETF seeks to track the investment results of the Russell 1000 Value Index, which measures the performance of the large- and mid-cap value segment of the U.S. equity market. The ETF provides exposure to companies exhibiting value characteristics within the Russell 1000 Index.",Information Technology,Value,Vanguard Asset Management,MUN,XMUN,
025U.MU,Vanguard Scottsdale Funds - Vanguard Russell 3000 ETF,EUR,"Vanguard Scottsdale Funds - Vanguard Russell 3000 ETF aims to track the performance of the Russell 3000 Index, which represents approximately 98% of the U.S. equity market. The ETF offers broad exposure to the entire U.S. stock market, including small-, mid-, and large-cap companies.",Information Technology,Large Cap,Vanguard Asset Management,MUN,XMUN,
025Y.MU,Vanguard Scottsdale Funds - Vanguard Long-Term Treasury ETF,EUR,"Vanguard Scottsdale Funds - Vanguard Long-Term Treasury ETF seeks to track the investment results of the Bloomberg U.S. Long Treasury Index, which measures the performance of public obligations of the U.S. Treasury with remaining maturities of 10 years or more. The ETF provides exposure to long-term U.S. Treasury bonds.",Fixed Income,Treasury Bonds,Vanguard Asset Management,MUN,XMUN,
025Z.MU,Vanguard Scottsdale Funds - Vanguard Short-Term Treasury ETF,EUR,"Vanguard Scottsdale Funds - Vanguard Short-Term Treasury ETF seeks to track the investment results of the Bloomberg U.S. Short Treasury Index, which measures the performance of public obligations of the U.S. Treasury with remaining maturities of less than one year. The ETF provides exposure to short-term U.S. Treasury bonds.",Fixed Income,Treasury Bonds,Vanguard Asset Management,MUN,XMUN,
02F0.MU,FTGF-FT FAC.FX UETF ADL,EUR,FTGF-FT FAC.FX UETF ADL is a First Trust Global Funds ETF employing a factor-based strategy focused on currency movements (FX) and utilizing an actively managed approach. Details about the specific factors or investment universe require further information.,Currencies,,First Trust Advisors,MUN,XMUN,
02F4.MU,FIRST TR.ETF VI-NASD.T.D.,EUR,"FIRST TR.ETF VI-NASD.T.D. is a First Trust ETF tracking an index related to the NASDAQ, focused on technology or dividends, as indicated by ""T"" and ""D"". Without detailed index information, its specific composition and strategy cannot be fully determined.",Information Technology,,First Trust Advisors,MUN,XMUN,
034B.MU,ETFMG ALTERN.HARVEST ETF,EUR,"ETFMG ALTERN.HARVEST ETF is an ETF focused on companies involved in the cannabis industry. The ETF invests in companies that are involved in the cultivation, production, distribution, and sale of cannabis and related products.",Alternatives,,,MUN,XMUN,
03O5.MU,PROSHS-PR.S.ONLINE RE.ETF,EUR,"PROSHS-PR.S.ONLINE RE.ETF is a ProShares ETF focused on online retail companies, providing leveraged or inverse exposure to the sector. Due to the ""ProShares"" brand and limited information, the specific degree and direction of leverage/inverse correlation is unknown.",Consumer Discretionary,,ProShares,MUN,XMUN,
09AA.MU,VALUE INVESTM.KLAS.FDS T,EUR,,,,,MUN,XMUN,
0BYF.MU,ISHSTR-MSCI USA VAL.F.ETF,EUR,"ISHSTR-MSCI USA VAL.F.ETF is an exchange-traded fund (ETF) that tracks the performance of the MSCI USA Value Weighted Index, providing exposure to U.S. equities with value characteristics. The fund employs a rules-based methodology to select and weight stocks, focusing on companies with relatively low valuations. BlackRock manages the fund.",,Value,BlackRock Asset Management,MUN,XMUN,
0DF8.MU,D.S.E.T.-D.S+P500 B.1XNEW,EUR,,,,,MUN,XMUN,
0I78.MU,SISF GL I.LKD BD B ACC.EO,EUR,"SISF GL I.LKD BD B ACC.EO is a sub-fund of Schroder Investment Management, focusing on global inflation-linked bonds, aiming to provide inflation protection and income by investing in a diversified portfolio of government and corporate inflation-linked debt securities. The fund is managed by Schroder Investment Management and seeks to outperform its benchmark. The fund is domiciled in Luxembourg.",Fixed Income,Inflation-Protected Securities,,MUN,XMUN,
0I79.MU,SISF GL EQU.YIELD A D MF,EUR,"SISF GL EQU.YIELD A D MF is a sub-fund of Schroder Investment Management, focusing on global equity income, aiming to provide income and capital appreciation by investing in a diversified portfolio of dividend-paying stocks worldwide. The fund is managed by Schroder Investment Management and seeks to outperform its benchmark. The fund is domiciled in Luxembourg.",,Growth,,MUN,XMUN,
0I7B.MU,SISF GL.DIVID.MAX.ADISQF,EUR,"SISF GL.DIVID.MAX.ADISQF is a sub-fund of Schroder Investment Management, focusing on global dividend maximization, aiming to provide a high level of income and capital appreciation by investing in a diversified portfolio of dividend-paying stocks worldwide. The fund is managed by Schroder Investment Management and seeks to outperform its benchmark. The fund is domiciled in Luxembourg.",,Growth,,MUN,XMUN,
0I7C.MU,SISF GL.DIVI.MAX.ADEOHQF,EUR,"SISF GL.DIVI.MAX.ADEOHQF is a sub-fund of Schroder Investment Management, focusing on global dividend maximization, aiming to provide a high level of income and capital appreciation by investing in a diversified portfolio of dividend-paying stocks worldwide. The fund is managed by Schroder Investment Management and seeks to outperform its benchmark. The fund is domiciled in Luxembourg.",,Growth,,MUN,XMUN,
0I7D.MU,SISF GL.DIVI.MAX.A1DEOHQF,EUR,"SISF GL.DIVI.MAX.A1DEOHQF is a sub-fund of Schroder Investment Management, focusing on global dividend maximization, aiming to provide a high level of income and capital appreciation by investing in a diversified portfolio of dividend-paying stocks worldwide. The fund is managed by Schroder Investment Management and seeks to outperform its benchmark. The fund is domiciled in Luxembourg.",,Growth,,MUN,XMUN,
0I7E.MU,SISF-EUR CR.ABS.RT.AACCEO,EUR,"SISF-EUR CR.ABS.RT.AACCEO is a sub-fund of Schroder Investment Management, focusing on Euro credit absolute return strategy, aiming to provide positive returns regardless of market conditions by investing in a diversified portfolio of Euro-denominated credit instruments. The fund is managed by Schroder Investment Management and seeks to outperform its benchmark. The fund is domiciled in Luxembourg.",Fixed Income,Corporate Bonds,,MUN,XMUN,
0I7J.MU,SISF GL.EM.MKT.OPP. BA EO,EUR,"SISF GL.EM.MKT.OPP. BA EO is a sub-fund of Schroder Investment Management, focusing on global emerging market opportunities, aiming to provide long-term capital growth by investing in companies located in emerging markets worldwide. The fund is managed by Schroder Investment Management and seeks to outperform its benchmark. The fund is domiciled in Luxembourg.",,Emerging Markets,,MUN,XMUN,
0I7L.MU,SISF-ASIAN DIV.MAX.AACCEO,EUR,"SISF-ASIAN DIV.MAX.AACCEO is a sub-fund of Schroder Investment Management, focusing on Asian dividend maximization, aiming to provide a high level of income and capital appreciation by investing in a diversified portfolio of dividend-paying stocks in Asian markets. The fund is managed by Schroder Investment Management and seeks to outperform its benchmark. The fund is domiciled in Luxembourg.",,Emerging Markets,,MUN,XMUN,
0I7M.MU,SISF-INDIAN OPPORT.AACCDL,EUR,"SISF-INDIAN OPPORT.AACCDL is a sub-fund of Schroder Investment Management, focusing on Indian equity opportunities, aiming to provide long-term capital growth by investing in companies located in India. The fund is managed by Schroder Investment Management and seeks to outperform its benchmark. The fund is domiciled in Luxembourg.",,Emerging Markets,,MUN,XMUN,
0I7P.MU,SISF GL.EM.MKT.OPP.ADDLAV,EUR,"SISF GL.EM.MKT.OPP.ADDLAV is a sub-fund of Schroder Investment Management, focusing on global emerging market opportunities, aiming to provide long-term capital growth by investing in companies located in emerging markets worldwide. The fund is managed by Schroder Investment Management and seeks to outperform its benchmark. The fund is domiciled in Luxembourg.",,Emerging Markets,,MUN,XMUN,
0PMB.MU,DPAM INV.B EQ.EUROLAND BC,EUR,"DPAM INV.B EQ.EUROLAND BC is a sub-fund of DPAM INVEST B, focusing on equities in the Eurozone, aiming to provide long-term capital growth by investing in companies located in the Eurozone. The fund is managed by Degroof Petercam Asset Management and seeks to outperform its benchmark. The fund is domiciled in Luxembourg.",,Developed Markets,,MUN,XMUN,
10A5.MU,Amundi Funds - Emerging Europe and Mediterranean Equity,EUR,"Amundi Funds - Emerging Europe and Mediterranean Equity is a sub-fund of Amundi Funds, an investment company based in Luxembourg. It aims to achieve long-term capital appreciation by investing primarily in equities of companies that are located in, or do a substantial portion of their business in, emerging European and Mediterranean countries. The fund is managed by Amundi Asset Management.",,Emerging Markets,Amundi Asset Management,MUN,XMUN,
10A6.MU,AMF-EM.E.M.EQ. A UNH.EOA,EUR,AMF-EM.E.M.EQ. A UNH.EOA is a sub-fund of Amundi Funds focusing on emerging market equities. It aims to achieve long-term capital appreciation by investing in companies located in or doing business in emerging markets. The fund is managed by Amundi Asset Management and is domiciled in Luxembourg.,,Emerging Markets,Amundi Asset Management,MUN,XMUN,
10AD.MU,F.EAGLE AMUNDI INTER.AHEO,EUR,"F.EAGLE AMUNDI INTER.AHEO is a fund managed by Amundi Asset Management, investing in international markets. It aims to achieve long-term capital appreciation by investing in a diversified portfolio of global equities. The fund is domiciled in Luxembourg.",,,Amundi Asset Management,MUN,XMUN,
10AH.MU,AIS-A.I.MSCI WRD UC.ETFDD,EUR,AIS-A.I.MSCI WRD UC.ETFDD is an exchange-traded fund (ETF) that tracks the MSCI World Index. It provides investors with exposure to a broad range of companies in developed markets worldwide. The fund is domiciled in Belgium.,,Developed Markets,Amundi Asset Management,MUN,XMUN,
10AS.MU,F.EAG.AMUN.IN.BU.FHEQDDEO,EUR,F.EAG.AMUN.IN.BU.FHEQDDEO is a fund managed by Amundi Asset Management focusing on infrastructure investments. It aims to generate long-term capital appreciation by investing in a diversified portfolio of infrastructure assets. The fund is domiciled in Luxembourg.,Industrials,,Amundi Asset Management,MUN,XMUN,
10AV.MU,Amundi Funds -Top European Players,EUR,"Amundi Funds -Top European Players is a sub-fund of Amundi Funds, an investment company based in Luxembourg. It seeks to achieve long-term capital appreciation by investing primarily in equities of leading companies located in Europe. The fund is managed by Amundi Asset Management.",,Developed Markets,Amundi Asset Management,MUN,XMUN,
10AZ.MU,F.EAGLE AMUNDI INTER.AE-C,EUR,"F.EAGLE AMUNDI INTER.AE-C is a fund managed by Amundi Asset Management, investing in international markets. It aims to achieve long-term capital appreciation through a diversified portfolio of global equities. The fund is domiciled in Luxembourg.",,,Amundi Asset Management,MUN,XMUN,
13M.MU,"MAIN STREET CAP.CP.DL-,01",EUR,"MAIN STREET CAP.CP.DL-,01 is a closed-end investment company that provides debt and equity financing to lower middle market companies. The company focuses on investing in smaller businesses with annual revenues between $10 million and $150 million. Main Street Capital Corporation is headquartered in Houston, Texas.",Financials,,,MUN,XMUN,
18M1.MU,AM.ETF GO.0-6M.EU.IG CEO,EUR,,,,,MUN,XMUN,
18MF.MU,AMUNDI ETF LEV. USA,EUR,,,,Amundi Asset Management,MUN,XMUN,
18MK.MU,AIS-AM.MSCI IND.EOC,EUR,,,,Amundi Asset Management,MUN,XMUN,
18MM.MU,AM.I.MSCI P.EXJ.SRI UEDIE,EUR,,,,,MUN,XMUN,
18MQ.MU,AIS-AM.JPXNIK400 LSCDH,EUR,,,,Amundi Asset Management,MUN,XMUN,
18MS.MU,AMUNDI ETF SH.EOSTXX 50 D,EUR,,,,Amundi Asset Management,MUN,XMUN,
1G3.MU,GLADSTONE INV.CORP.DL-001,EUR,"Gladstone Investment Corporation is a publicly traded business development company focused on providing debt and equity financing to lower middle market companies in the United States. They invest in various industries and aim to help companies grow and create jobs. The company is headquartered in McLean, Virginia.",Financials,,,MUN,XMUN,
1KH.MU,SPROTT PHYSIC.GOLD+SILV.,EUR,"Sprott Physical Gold and Silver Trust is a closed-end mutual fund trust. The Trust's objective is to provide a secure, convenient and exchange-traded investment alternative for investors who want to hold physical bullion without the inconvenience that is typical of a direct investment in physical bullion. It invests and holds substantially all of its assets in physical gold and silver bullion in London, England and Ottawa, Canada.",Commodities,,Sprott,MUN,XMUN,
1OBA.MU,AMP.ETF TR-AM.TR.DA.S.ETF,EUR,,,,,MUN,XMUN,
1SCA.MU,CLARTAN-PATRIMOINE DDISEO,EUR,,,,,MUN,XMUN,
1SCB.MU,CLARTAN-PATRIMOINE CCAPEO,EUR,,,,,MUN,XMUN,
1SL2.MU,ASII-CHINA EQ.AC,EUR,,,,,MUN,XMUN,
1SL3.MU,ASII-GL AB.RE.ST.AC,EUR,,,,,MUN,XMUN,
1SL4.MU,ASII-GL AB.RE.ST.AD,EUR,,,,,MUN,XMUN,
1SVB.MU,SEILERN GLOBAL TRUST A,EUR,,,,,MUN,XMUN,
1T6.MU,"SIXTH STR.SPEC.LEN.DL-,01",EUR,"SIXTH STR.SPEC.LEN.DL-,01: ",Financials,,,MUN,XMUN,
1TV1.MU,H2O ADAGIO PART R(C)4DEC.,EUR,,,,,MUN,XMUN,
230.MU,T.ROW.PR.-US EQUITY FD A,EUR,,,,T. Rowe Price,MUN,XMUN,
230E.MU,T. ROWE PR.-US BL.CH.EQ.A,EUR,,,,T. Rowe Price,MUN,XMUN,
2B70.MU,ISIV-NASDAQ US BIOTE. DLA,EUR,"ISIV-NASDAQ US BIOTE. DLA is an exchange-traded fund (ETF) managed by iShares that tracks the NASDAQ US Biotechnology Index, providing investors with exposure to a portfolio of biotechnology companies in the United States. The fund aims to replicate the performance of the index by investing in its constituent stocks.",Health Care,Developed Markets,BlackRock Asset Management,MUN,XMUN,
2B77.MU,ISHS IV-AGEING POPUL.ETF,EUR,"ISHS IV-AGEING POPUL.ETF is an exchange-traded fund (ETF) managed by iShares that invests in companies expected to benefit from the demographic trend of an aging global population. The fund aims to provide investors with exposure to sectors such as healthcare, consumer staples, and financials.",Consumer Staples,Developed Markets,BlackRock Asset Management,MUN,XMUN,
2B78.MU,ISHS IV-HEALTHC.INNOV.ETF,EUR,"ISHS IV-HEALTHC.INNOV.ETF is an exchange-traded fund (ETF) managed by iShares that focuses on investing in companies involved in healthcare innovation, including biotechnology, pharmaceuticals, and medical technology. The fund aims to provide investors with exposure to the growth potential of the healthcare sector.",Health Care,Developed Markets,BlackRock Asset Management,MUN,XMUN,
2B7N.MU,ISHSIII-MSCI T.UK RE LSD,EUR,ISHSIII-MSCI T.UK RE LSD is an exchange-traded fund (ETF) managed by iShares that tracks the MSCI UK IMI Liquid Real Estate Index. It aims to provide investors with exposure to UK real estate investment trusts (REITs) and other real estate companies.,Real Estate,REITs,BlackRock Asset Management,MUN,XMUN,
2B7S.MU,IS DL T.BD1-3YR U.ETF EHA,EUR,IS DL T.BD1-3YR U.ETF EHA is an exchange-traded fund (ETF) managed by iShares that focuses on investing in a portfolio of short-term U.S. Treasury bonds with maturities between 1 and 3 years. The fund aims to provide investors with exposure to the short end of the U.S. Treasury yield curve.,Fixed Income,Treasury Bonds,BlackRock Asset Management,MUN,XMUN,
