symbol,name,currency,summary,category_group,category,family,exchange,mic,isin
0A12.L,Invesco Ultra Short Duration ETF,,"The investment seeks maximum current income, consistent with preservation of capital and daily liquidity.
 The fund will invest at least 80% of its net assets in fixed income securities and in ETFs and closed-end funds that invest substantially all of their assets in fixed income securities. It uses a low duration strategy to seek to outperform the ICE BofA US Treasury Bill Index in addition to providing returns in excess of those available in U.S. Treasury bills, government repurchase agreements, and money market funds, while seeking to provide preservation of capital and daily liquidity.",Fixed Income,Corporate Bonds,Invesco Investment Management,,,
0IXR.L,Global X MSCI Nigeria ETF,,"The investment seeks to provide investment results that correspond generally to the price and yield performance, before fees and expenses, of the MSCI All Nigeria Select 25/50 Index.
 The fund will invest at least 80% of its total assets in the securities of the underlying index and in American Depositary Receipts (""ADRs"") and Global Depositary Receipts (""GDRs"") based on the securities in the underlying index. The underlying index is designed to represent the performance of the broad Nigeria equity universe, while including a minimum number of constituents. The fund is non-diversified.",Equities,Emerging Markets,Global X Funds,,,
0IY8.L,Global X Internet of Things ETF,,"The investment seeks to provide investment results that correspond generally to the price and yield performance, before fees and expenses, of the Indxx Global Internet of Things Thematic Index.
 The fund invests at least 80% of its total assets in the securities of the underlying index. The underlying index is designed to provide exposure to exchange-listed companies in developed markets that facilitate the Internet of Things industry, including companies involved in wearable technology, home automation, connected automotive technology, sensors, networking infrastructure/software, smart metering and energy control devices. The fund is non-diversified.",,,Global X Funds,,,
0LMF.L,VANGUARD WHITEHALL,,,,,Vanguard Asset Management,,,
0LN3.L,VANGUARD SCOTTSDAL,,,,,Vanguard Asset Management,,,
0VOO.L,VANGUARD SCOTTSDAL,,,,,Vanguard Asset Management,,,
139220.KS,,,,,,,,,
2070.T,Smart ESG 30 Empowering Women Net Return ETN,JPY,The investment seeks to track the performance of &#39,iSTOXX MUTB Japan Empowering Women 30 Net Return JPY Index&#39,. It is listed in JDR (Japanese Depositary Receipt) format.,Derivatives,,,
2CRM.AS,,,,,,,,,
3CRM.AS,,,,,,,,,
BBH.SN,VanEck Vectors Biotech ETF,,"The investment seeks to replicate as closely as possible, before fees and expenses, the price and yield performance of the MVISÂ® US Listed Biotech 25 Index.
 The fund normally invests at least 80% of its total assets in securities that comprise the fund&#39;s benchmark index. The Biotech Index includes common stocks and depositary receipts of U.S. exchange-listed companies in the biotechnology industry. Such companies may include medium-capitalization companies and foreign companies that are listed on a U.S. exchange. It is non-diversified.",Health Care,Health Care,VanEck Asset Management,,,
EMAG.SN,VanEck Vectors Emerging Markets Aggregate Bond ETF,,"The investment seeks to replicate as closely as possible, before fees and expenses, the price and yield performance of MVISÂ® EM Aggregate Bond Index (the ""EM Aggregate Bond Index"").
 The fund normally invests at least 80% of its total assets in securities that comprise the fund&#39;s benchmark index. The index is comprised of emerging market sovereign bonds and corporate bonds denominated in U.S. dollars, Euros or local emerging market currencies. The index includes both investment grade and below investment grade rated securities. The fund is non-diversified.",Fixed Income,Corporate Bonds,VanEck Asset Management,,,
EMLC.SN,VanEck Vectors J.P. Morgan EM Local Currency Bond ETF,,"The investment seeks to replicate as closely as possible, before fees and expenses, the price and yield performance of the J.P. Morgan GBI-EM Global Core Index.
 The fund normally invests at least 80% of its total assets in securities that comprise the fund&#39;s benchmark index. The index is comprised of bonds issued by emerging market governments and denominated in the local currency of the issuer. It may concentrate its investments in a particular industry or group of industries to the extent that the index concentrates in an industry or group of industries. The fund is non-diversified.",Fixed Income,Corporate Bonds,VanEck Asset Management,,,
FLXG.SW,,,,,,,,,
FRAK.SN,VanEck Vectors Unconventional Oil & Gas ETF,,"The investment seeks to replicate as closely as possible, before fees and expenses, the price and yield performance of the MVISÂ® Global Unconventional Oil & Gas Index.
 The fund normally invests at least 80% of its total assets in securities that comprise the fund&#39;s benchmark index. The index contains companies that generate at least 50% of their revenues from unconventional oil and gas or that have properties with the potential to generate at least 50% of their revenues from unconventional oil and gas. The fund is non-diversified.",Energy,Energy,VanEck Asset Management,,,
GDX.SN,VanEck Vectors Gold Miners ETF,,"The investment seeks to replicate as closely as possible, before fees and expenses, the price and yield performance of the NYSEÂ® Arca Gold Miners IndexÂ®.
 The fund normally invests at least 80% of its total assets in common stocks and depositary receipts of companies involved in the gold mining industry. The index is a modified market-capitalization weighted index primarily comprised of publicly traded companies involved in the mining for gold and silver. The fund is non-diversified.",Materials,Materials,VanEck Asset Management,,,
GDXJ.SN,VanEck Vectors Junior Gold Miners ETF,,"The investment seeks to replicate as closely as possible, before fees and expenses, the price and yield performance of the MVISÂ® Global Junior Gold Miners Index.
 The fund normally invests at least 80% of its total assets in securities that comprise the index. The index includes companies that generate at least 50% of their revenues from gold and/or silver mining/royalties/streaming or have mining projects with the potential to generate at least 50% of their revenues from gold and/or silver when developed. It is non-diversified.",Materials,Materials,VanEck Asset Management,,,
GOAT.AX,VanEck Vectors Morningstar World ex Australia Wide Moat ETF,AUD,GOAT gives investors exposure to a diversified portfolio of attractively priced international (ex-Australia) &#39,wide moat&#39, companies with sustainable competitive advantages for 10 to 20 years according to Morningstar. GOAT aims to provide investment returns before fees and other costs which track the performance of the Index.,Financials,,,
MOAT.SN,VanEck Vectors Morningstar Wide Moat ETF,,"The investment seeks to replicate as closely as possible, before fees and expenses, the price and yield performance of the MorningstarÂ® Wide Moat Focus IndexSM.
 The fund normally invests at least 80% of its total assets in securities that comprise the fund&#39;s benchmark index. The index is comprised of securities issued by companies that Morningstar, Inc. (""Morningstar"") determines to have sustainable competitive advantages based on a proprietary methodology that considers quantitative and qualitative factors (""wide moat companies"").",Financials,Factors,VanEck Asset Management,,,
MOO.SN,VanEck Vectors Agribusiness ETF,,"The investment seeks to replicate as closely as possible, before fees and expenses, the price and yield performance of the MVISÂ® Global Agribusiness Index.
 The fund normally invests at least 80% of its total assets in securities that comprise the fund&#39;s benchmark index. The index includes equity securities of companies that generate at least 50% of their revenues from agri-chemicals, animal health and fertilizers, seeds and traits, from farm/irrigation equipment and farm machinery, aquaculture and fishing, livestock, cultivation and plantations and trading of agricultural products. It is non-diversified.",Consumer Staples,Materials,VanEck Asset Management,,,
