symbol,name,currency,summary,category_group,category,family,exchange,mic,isin
AGLB.NE,AGF Global Opportunities Bond ETF,CAD,"AGF Global Opportunities Bond ETF is an actively managed fixed income ETF that invests in a diversified portfolio of global bonds. The fund seeks to generate income and capital appreciation by investing in both government and corporate bonds across various credit qualities and maturities. AGF Investments Inc., a Canadian asset management firm, manages the fund.",Fixed Income,Corporate Bonds,AGF Investments,NEO,NEOE,
AGSG.NE,AGF Global Sustainable Growth Equity ETF,CAD,"AGF Global Sustainable Growth Equity ETF invests primarily in equity securities of companies around the world that demonstrate leadership in environmental, social, and governance (ESG) factors. The fund seeks long-term capital appreciation by selecting companies with sustainable business practices and strong growth potential. AGF Investments Inc., a Canadian asset management firm, manages the fund.",Information Technology,Growth,AGF Investments,NEO,NEOE,
BHAV.NE,PURPOSE BEHAVIOURAL OPPORTUNITI,CAD,PURPOSE BEHAVIOURAL OPPORTUNITI is an actively managed fund offered by Purpose Investments Inc. The fund uses behavioral finance principles in its stock selection process. It aims to identify and capitalize on market inefficiencies caused by investor biases.,Alternatives,,Purpose Investments,NEO,NEOE,
CESG-B.NE,CI First Asset MSCI World ESG Impact ETF,CAD,"The CI First Asset MSCI World ESG Impact ETF is an exchange-traded fund focused on providing investors with exposure to global equities while incorporating environmental, social, and governance (ESG) factors into the investment process. The fund tracks an index that selects companies with strong ESG profiles relative to their peers within the MSCI World Index. By prioritizing ESG considerations, the ETF aims to offer socially responsible investment opportunities that align with sustainable and ethical principles.",,Developed Markets,CI Investments,NEO,NEOE,
CESG.NE,CI First Asset MSCI World ESG Impact ETF,CAD,"The CI First Asset MSCI World ESG Impact ETF is an exchange-traded fund focused on providing investors with exposure to global equities while incorporating environmental, social, and governance (ESG) factors into the investment process. The fund tracks an index that selects companies with strong ESG profiles relative to their peers within the MSCI World Index. By prioritizing ESG considerations, the ETF aims to offer socially responsible investment opportunities that align with sustainable and ethical principles.",,Developed Markets,CI Investments,NEO,NEOE,
CIE.NE,iSHARES INTERNATIONAL FUNDAMENT,CAD,"iSHARES INTERNATIONAL FUNDAMENT is an exchange-traded fund (ETF) from iShares that tracks a fundamental index of international stocks, excluding the United States. The fund aims to provide investors with exposure to international markets based on fundamental factors such as book value, cash flow, and dividends. iShares is a brand of BlackRock, headquartered in New York, USA.",Financials,,BlackRock Asset Management,NEO,NEOE,
CJP.NE,iSHARES JAPAN FUNDAMENTAL INDEX,CAD,"iSHARES JAPAN FUNDAMENTAL INDEX is an exchange-traded fund (ETF) from iShares that tracks a fundamental index of Japanese stocks. The fund aims to provide investors with exposure to the Japanese market based on fundamental factors such as book value, cash flow, and dividends. iShares is a brand of BlackRock, headquartered in New York, USA.",Financials,,BlackRock Asset Management,NEO,NEOE,
CLU.NE,iSHARES US FUNDAMENTAL INDEX ET,CAD,iSHARES US FUNDAMENTAL INDEX ET ,Financials,,BlackRock Asset Management,NEO,NEOE,
CRQ.NE,iSHARES CANADIAN FUNDAMENTAL IN,CAD,iSHARES CANADIAN FUNDAMENTAL IN refers to an iShares exchange-traded fund (ETF) listed on the NEO Exchange (NE) that invests in Canadian equities based on fundamental factors. The fund uses fundamental weighting methodologies rather than market capitalization weighting to select and weight its holdings. This strategy aims to outperform traditional market-cap weighted indexes.,Financials,Small Cap,BlackRock Asset Management,NEO,NEOE,
CWO.NE,iSHARES EMERGING MARKETS FUNDAM,CAD,"iShares MSCI Emerging Markets Fundamental Index ETF seeks to track the investment results of the Fundamental Emerging Markets index composed of emerging market equities that are selected and weighted based on fundamental factors. The fund invests in equities from countries such as China, Taiwan, and South Korea, providing exposure to a broad range of emerging market companies. The ETF is managed by BlackRock Asset Management Canada Limited and is domiciled in Canada.",Equities,Emerging Markets,BlackRock Asset Management,NEO,NEOE,
EAAI-U.NE,EMERGE ARK AI & BIG DATA ETF,USD,"EMERGE ARK AI & BIG DATA ETF seeks to invest in companies that are focused on artificial intelligence and big data, as well as related technologies. The fund aims to capitalize on the growth potential of companies that are developing or using AI and big data to create innovative products and services. The fund is managed by Emerge Canada Inc. and invests in companies globally.",Equities,Developed Markets,Evolve Funds Group,NEO,NEOE,
EAAI.NE,EMERGE ARK AI & BIG DATA ETF,CAD,"EMERGE ARK AI & BIG DATA ETF seeks to invest in companies that are focused on artificial intelligence and big data, as well as related technologies. The fund aims to capitalize on the growth potential of companies that are developing or using AI and big data to create innovative products and services. The fund is managed by Emerge Canada Inc. and invests in companies globally.",Equities,Developed Markets,Evolve Funds Group,NEO,NEOE,
EAFT-U.NE,EMERGE ARK FINTECH INNOVATION E,USD,"EMERGE ARK FINTECH INNOVATION E seeks to invest in companies that are leading the way in fintech innovation. It provides exposure to companies involved in areas such as digital payments, blockchain technology, mobile banking, and other disruptive financial technologies. The fund is managed by Emerge Canada Inc. and invests in companies globally.",Equities,Developed Markets,Evolve Funds Group,NEO,NEOE,
EAFT.NE,EMERGE ARK FINTECH INNOVATION E,CAD,"EMERGE ARK FINTECH INNOVATION E seeks to invest in companies that are leading the way in fintech innovation. It provides exposure to companies involved in areas such as digital payments, blockchain technology, mobile banking, and other disruptive financial technologies. The fund is managed by Emerge Canada Inc. and invests in companies globally.",Equities,Developed Markets,Evolve Funds Group,NEO,NEOE,
EAGB-U.NE,EMERGE ARK GENOMICS & BIOTECH E,USD,"EMERGE ARK GENOMICS & BIOTECH E seeks to invest in companies that are involved in genomics and biotechnology, including companies that are focused on gene editing, personalized medicine, and other innovative areas of healthcare. The fund aims to capitalize on the growth potential of companies that are developing or using genomics and biotech to create innovative products and services. The fund is managed by Emerge Canada Inc. and invests in companies globally.",Equities,Developed Markets,Evolve Funds Group,NEO,NEOE,
EAGB.NE,EMERGE ARK GENOMICS & BIOTECH E,CAD,"EMERGE ARK GENOMICS & BIOTECH E seeks to invest in companies that are involved in genomics and biotechnology, including companies that are focused on gene editing, personalized medicine, and other innovative areas of healthcare. The fund aims to capitalize on the growth potential of companies that are developing or using genomics and biotech to create innovative products and services. The fund is managed by Emerge Canada Inc. and invests in companies globally.",Equities,Developed Markets,Evolve Funds Group,NEO,NEOE,
EARK-U.NE,EMERGE ARK GLOBAL DISRUPTIVE IN,USD,"EMERGE ARK GLOBAL DISRUPTIVE IN seeks to invest in companies that are involved in disruptive innovation across various sectors, including technology, healthcare, and energy. The fund aims to capitalize on the growth potential of companies that are developing or using innovative technologies to disrupt existing markets. The fund is managed by Emerge Canada Inc. and invests in companies globally.",Equities,,,NEO,NEOE,
