symbol,name,currency,summary,category_group,category,family,exchange,mic,isin
ACWI,iShares MSCI ACWI ETF,USD,"The investment seeks to track the investment results of the MSCI ACWI composed of large- and mid-capitalization developed and emerging market equities.
 The fund generally will invest at least 90% of its assets in the component securities of the underlying index and in investments that have economic characteristics that are substantially identical to the component securities of the underlying index. The index is a free float-adjusted market capitalization index designed to measure the combined equity market performance of developed and emerging markets countries.",Alternatives,Blend,BlackRock Asset Management,NGM,XNAS,US4642882579
ADRE,Invesco BLDRS Emerging Markets 50 ADR Index Fund,USD,"The investment seeks to track the investment results, of publicly traded Depositary Receipts representing securities of issuers in emerging markets represented by the S&P/BNY Mellon Emerging 50 ADR Index (USD).
 The index is developed by the Licensor from a universe of Depositary Receipts defined by the S&P/Bank of New York Mellon ADR Index (""S&P/BNY Mellon ADR Composite Index""). The fund normally holds at least 95% of its total assets in Depositary Receipts that comprise the index, and will seek to track the investment results, before fees and expenses, of the index. It is non-diversified.",Financials,Emerging Markets,BNY Mellon,NGM,XNAS,
AIRR,First Trust RBA American Industrial RenaissanceTM ETF,USD,"The investment seeks investment results that correspond generally to the price and yield (before the fund&#39;s fees and expenses) of an index called the Richard Bernstein Advisors American Industrial RenaissanceÂ® Index (the ""index"").
 The fund will normally invest at least 90% of its net assets (including investment borrowings) in the equity securities that comprise the index. The index is designed to measure the performance of small and mid cap U.S. companies in the industrial and community banking sectors.",Industrials,Industrials,First Trust Advisors,NGM,XNAS,US33738R7044
ALTY,Global X SuperDividend Alternatives ETF,USD,"The investment seeks to track, before fees and expenses, the price and yield performance of the Indxx SuperDividendÂ® Alternatives Index (""underlying index"").
 The fund invests at least 80% of its total assets in the securities of the underlying index and in American Depositary Receipts (""ADRs"") and Global Depositary Receipts (""GDRs"") based on the securities in the underlying index. The underlying index is comprised of securities that rank among the highest dividend-yielding securities in each eligible category of alternative income investments, at the time of index reconstitution, as defined by the index provider.",Alternatives,,Global X Funds,NGM,XNAS,US37954Y8066
AMCA,iShares Russell 1000 Pure U.S. Revenue ETF,USD,"The investment seeks to track the investment results of the Russell 1000Â® Pure Domestic Exposure Index.
 The fund generally will invest at least 90% of its assets in the component securities of the underlying index and may invest up to 10% of its assets in certain futures, options and swap contracts, cash and cash equivalents, as well as in securities not included in the underlying index. The index composed of U.S. companies exhibiting higher domestic sales as a proportion of the company&#39;s total sales relative to other large- and mid-capitalization U.S. equities. The fund is non-diversified.",,,BlackRock Asset Management,NGM,XNAS,
ASET,FlexShares Real Assets Allocation Index Fund,USD,"The investment seeks investment results that correspond generally to the price and yield performance, before fees and expenses, of the Northern Trust Real Assets Allocation IndexSM.
 Under normal circumstances, the fund will invest at least 80% of its total assets (exclusive of collateral held from securities lending) in the securities of the underlying index. The underlying index measures the performance of an optimized allocation to the underlying funds that is intended to provide exposures to certain real assets and minimize overall volatility of investment in the underlying funds. The fund is non-diversified.",Alternatives,,Flexshares Trust,NGM,XNAS,US33939L7385
BIB,ProShares Ultra Nasdaq Biotechnology,USD,"The investment seeks daily investment results that correspond to two times (2x) the daily performance of the Nasdaq Biotechnology IndexÂ®.
 The fund invests in financial instruments that ProShare Advisors believes, in combination, should produce daily returns consistent with the fund&#39;s investment objective. The index is a modified capitalization weighted index that includes securities of Nasdaq listed companies that are classified as either biotechnology or pharmaceutical. The fund is non-diversified.",Health Care,Trading,ProShares,NGM,XNAS,US74347R2141
BICK,First Trust BICK Index Fund,USD,"The investment seeks investment results that correspond generally to the price and yield (before the fund&#39;s fees and expenses) of an equity index called the ISE BICKTM.
 The fund will normally invest at least 90% of its net assets (including investment borrowings) in the common stocks and depositary receipts that comprise the index. The index is designed to provide a benchmark for investors interested in tracking some of the largest and most liquid public companies that are domiciled in Brazil, India, China (including Hong Kong) and South Korea that are accessible for investment by U.S. investors.",Equities,Emerging Markets,First Trust Advisors,NGM,XNAS,
BMLP,BMO Dorsey Wright MLP Index Exchange Traded Notes,USD,"The investment seeks to link to the performance of the DWA MLP Selectâ¢ Index (the âindexâ).
 The index includes 15 master limited partnerships (âMLPsâ) based on the proprietary Dorsey Wright Relative Strength Ranking Methodology. By comparing the price relationship between each MLP, the index seeks to determine which MLPs are currently showing outperformance relative to their peers within the Index universe.",Energy,Energy,BMO Capital Markets,NGM,XNAS,
BNDW,Vanguard Total World Bond ETF,USD,"The investment seeks to track the performance of the Bloomberg Barclays Global Aggregate Float Adjusted Composite Index that measures the investment return of investment-grade U.S. bonds and investment-grade non-U.S. dollar-denominated bonds.
 The fund is a fund of funds and employs an indexing investment approach designed to track the performance of the index, which is a custom, USD-hedged index designed to track the market capitalized weights of the global investment-grade bond market and is comprised of the Bloomberg Barclays U.S. Aggregate Float Adjusted Index and the Bloomberg Barclays Global Aggregate ex-USD Float Adjusted RIC Capped Index.",Fixed Income,Investment Grade Bonds,Vanguard Asset Management,NGM,XNAS,US92206C5655
