symbol,name,currency,summary,category_group,category,family,exchange,mic,isin
^ACWI,ISHARES TRUST,USD,"The iShares MSCI ACWI ETF seeks to track the investment results of an index composed of large- and mid-capitalization developed and emerging market equities. It provides exposure to a broad range of global stocks in both developed and emerging markets. The ETF is managed by BlackRock and headquartered in San Francisco, CA.",Financials,Developed Markets,BlackRock Asset Management,NIM,,
^ADRE,INVESCO ACTIVELY M,USD,"The Invesco Active REIT ETF is an actively managed fund that invests in real estate investment trusts (REITs) across various property sectors. The fund aims to outperform traditional REIT indexes by using a proprietary, fundamental, bottom-up approach to select securities. The ETF is managed by Invesco and is headquartered in Atlanta, GA.",Real Estate,REITs,Invesco Investment Management,NIM,,
^ASET,FLEXSHARES TRUST,USD,,,,Flexshares Trust,NIM,,
^BICK,FIRST TR BICK INDE,USD,,,,First Trust Advisors,NIM,,
^BND,VANGUARD BD IDX FD,USD,"The Vanguard Total Bond Market ETF seeks to track the performance of a broad, market-weighted bond index. It invests in a wide spectrum of public, investment-grade, taxable, fixed income securities in the United States, including U.S. Treasuries, agency securities, and corporate bonds. The fund is managed by Vanguard and is headquartered in Malvern, Pennsylvania.",Fixed Income,Investment Grade Bonds,Vanguard Asset Management,NIM,,
^BNDX,VANGUARD CHARLOTTE,USD,"The Vanguard Total International Bond ETF seeks to track the performance of a broad, market-weighted index of investment-grade international bonds, excluding the U.S. dollar-denominated bonds. It provides exposure to a diverse range of investment-grade, fixed-income securities issued in various countries outside the United States. The fund is managed by Vanguard and is headquartered in Charlotte, North Carolina.",Fixed Income,Investment Grade Bonds,Vanguard Asset Management,NIM,,
^CDC,VICTORY PTF II,USD,,,,Victory Capital,NIM,,
^CID,VICTORY PTF II,USD,,,,Victory Capital,NIM,,
^DRIV,Global X Autonomous  Electric V,USD,"The Global X Autonomous & Electric Vehicles ETF seeks to invest in companies involved in the development of autonomous vehicle technology, electric vehicles, and related components and materials. This includes companies that produce autonomous driving software, electric vehicle batteries, and other crucial technologies for the sector. Global X ETFs is headquartered in New York, NY.",Consumer Discretionary,,Global X Funds,NIM,,
^EVLMC,EATON VANCE NEXTSH,USD,,,,Eaton Vance,NIM,,
^FIXD,FIRST TR ETF VIII,USD,,,,First Trust Advisors,NIM,,
^IDLB,INVESCO EXCH TRDII,USD,,,,Invesco Investment Management,NIM,,
^IPKW,INVESCO EXCH TRDII,USD,,,,Invesco Investment Management,NIM,,
^LDSF,FIRST TR ETF VIII,USD,,,,First Trust Advisors,NIM,,
^NXTG,FIRST TR EXCHGE FD,USD,,,,First Trust Advisors,NIM,,
