symbol,name,currency,summary,category_group,category,family,exchange,mic,isin
AADR,AdvisorShares Dorsey Wright ADR ETF,USD,"The AdvisorShares Dorsey Wright ADR ETF is an actively managed exchange-traded fund (ETF) that focuses on investing in American Depositary Receipts (ADRs) of foreign companies. The fund utilizes a relative strength-based approach developed by Dorsey, Wright & Associates to identify and invest in ADRs that are demonstrating strong price momentum compared to other ADRs. The ETF's investment strategy is designed to provide capital appreciation by selecting ADRs with the potential for outperformance.",Financials,Emerging Markets,AdvisorShares,NMS,XNAS,US00768Y2063
AAXJ,iShares MSCI All Country Asia ex Japan ETF,USD,"The investment seeks to track the investment results of the MSCI AC Asia ex Japan Index.
 The fund will invest at least 90% of its assets in the component securities of the index and in investments that have economic characteristics that are substantially identical to the component securities of the index. The index is a free float-adjusted market capitalization index designed to measure equity market performance of securities from the following 11 developed and emerging market countries or regions: China, Hong Kong, India, Indonesia, Malaysia, Pakistan, the Philippines, Singapore, South Korea, Taiwan and Thailand.",Financials,Emerging Markets,BlackRock Asset Management,NMS,XNAS,US4642881829
ACWX,iShares MSCI ACWI ex U.S. ETF,USD,"The investment seeks to track the investment results of the MSCI ACWI ex USA Index composed of large- and mid-capitalization non-U.S. equities.
 The fund generally will invest at least 90% of its assets in the component securities of the underlying index and in investments that have economic characteristics that are substantially identical to the component securities of the underlying index. The index is a free float-adjusted market capitalization-weighted index designed to measure the combined equity market performance of developed and emerging markets countries, excluding the United States.",Alternatives,Blend,BlackRock Asset Management,NMS,XNAS,US4642882405
AGNG,Global X Aging Population ETF,USD,"The investment seeks results that correspond generally to the price and yield performance, before fees and expenses, of the Indxx Global Longevity Thematic Index.
 The fund invests more than 80% of its total assets in the securities of the underlying index. The underlying index is designed to provide exposure to exchange-listed companies in developed markets that facilitate the demographic trend of longer average life spans and the aging of the global population, including but not limited to companies involved in biotechnology, medical devices, pharmaceuticals, senior living facilities and specialized health care services.",Health Care,Developed Markets,Global X Funds,NMS,XNAS,US37954Y7720
AGZD,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund,USD,"The investment seeks to track the price and yield performance, before fees and expenses, of the Bloomberg Barclays Rate Hedged U.S. Aggregate Bond Index, Zero Duration (the ""index"").
 The index is designed to provide long exposure to the Bloomberg Barclays U.S. Aggregate Bond Index while seeking to manage interest rate risk through the use of short positions in U.S. Treasury securities. The fund normally invests at least 80% of its total assets in the component securities of the index and investments that have economic characteristics that are substantially identical to the economic characteristics of such component securities. It is non-diversified.",Fixed Income,Corporate Bonds,WisdomTree Asset Management,NMS,XNAS,US97717W3806
AIA,iShares Asia 50 ETF,USD,"The investment seeks to track the S&P Asia 50TM, which is a float-adjusted, market capitalization-weighted index that is designed to measure the performance of the 51 leading companies listed in four Asian countries or regions: Hong Kong, Singapore, South Korea and Taiwan.
 The fund generally will invest at least 90% of its assets in the component securities of the index and in investments that have economic characteristics that are substantially identical to the component securities and may invest up to 10% of its assets in certain futures, options and swap contracts, cash and cash equivalents. It is non-diversified.",Financials,Emerging Markets,BlackRock Asset Management,NMS,XNAS,US4642884302
AIQ,Global X Artificial Intelligence & Technology ETF,USD,"The investment seeks to provide investment results that correspond generally to the price and yield performance, before fees and expenses, of the Indxx Artificial Intelligence and Big Data Index (""underlying index"").
 The fund invests at least 80% of its total assets in the securities of the underlying index. The underlying index is designed to track the performance of companies involved in the development and utilization of artificial intelligence (""AI"") and big data. The fund is non-diversified.",Information Technology,Technology,Global X Funds,NMS,XNAS,US37954Y6326
ANGL,VanEck Vectors Fallen Angel High Yield Bond ETF,USD,"The investment seeks to replicate as closely as possible, before fees and expenses, the price and yield performance of ICE US Fallen Angel High Yield 10% Constrained Index (the ""Fallen Angel Index"").
 The fund normally invests at least 80% of its total assets in securities that comprise the fund&#39;s benchmark index. The index is comprised of below investment grade corporate bonds denominated in U.S. dollars that were rated investment grade at the time of issuance.",Fixed Income,High Yield Bonds,VanEck Asset Management,NMS,XNAS,US92189F4375
AQWA,Global X Clean Water ETF,USD,"The investment seeks to provide investment results that correspond generally to the price and yield performance, before fees and expenses, of the Solactive Global Clean Water Industry Index.
 The fund invests at least 80% of its total assets, plus borrowings for investments purposes (if any), in the securities of the underlying index and in ADRs and GDRs based on the securities in the underlying index. The underlying index is designed to provide exposure to companies that have business operations in the provision of clean water. It is non-diversified.",Utilities,Materials,Global X Funds,NMS,XNAS,US37954Y1863
BBH,VanEck Vectors Biotech ETF,USD,"The investment seeks to replicate as closely as possible, before fees and expenses, the price and yield performance of the MVISÂ® US Listed Biotech 25 Index.
 The fund normally invests at least 80% of its total assets in securities that comprise the fund&#39;s benchmark index. The Biotech Index includes common stocks and depositary receipts of U.S. exchange-listed companies in the biotechnology industry. Such companies may include medium-capitalization companies and foreign companies that are listed on a U.S. exchange. It is non-diversified.",Health Care,Health Care,VanEck Asset Management,NMS,XNAS,US92189F7261
