symbol,name,currency,summary,category_group,category,family,exchange,mic,isin
AEB,Aegon N.V. PERP CAP FLTG RT,USD,"Aegon N.V. PERP CAP FLTG RT represents a perpetual capital security with a floating interest rate issued by Aegon N.V., a multinational life insurance, pensions and asset management company. These securities are designed to be long-term funding instruments for the company. Aegon is headquartered in The Hague, Netherlands.",Fixed Income,Corporate Bonds,Aegon Investment Management,NYQ,XNYS,
DRUA,"Dominion Energy, Inc. ENHCD SUB NT16 A",USD,,,,,NYQ,XNYS,
DTJ,DTE Energy Company JR SUB DEB 76,USD,,,,,NYQ,XNYS,
DTY,DTE Energy Company,USD,"DTE Energy Company is a diversified energy company involved in the development and management of energy-related businesses and services. The company's primary operating units include DTE Electric and DTE Gas, providing electricity and natural gas services, respectively. Headquartered in Detroit, Michigan, DTE Energy focuses on providing reliable and affordable energy solutions to its customers.",Utilities,,,NYQ,XNYS,
DUKH,Duke Energy Corporation JR SUB DEB 73,USD,"Duke Energy Corporation JR SUB DEB 73 refers to a series of junior subordinated debt securities issued by Duke Energy, a utility company with a focus on providing electricity and natural gas. The ""73"" may refer to the year of maturity or a series number. These types of securities are generally lower in the capital structure than other debt.",Fixed Income,,,NYQ,XNYS,US66538J2906
ECCY,Eagle Point Credit Company Inc. 6.75% NT DE 2027,USD,"Eagle Point Credit Company Inc. is a specialty finance company focused on investing in CLO equity and related securities. The company aims to generate high current income and capital appreciation for its investors. Eagle Point Credit Management LLC is based in Greenwich, Connecticut.",Fixed Income,Corporate Bonds,,NYQ,XNYS,
ENBA,Enbridge Inc. 6.375 SNT18 B 78,USD,,,,,NYQ,XNYS,PLENEA000013
GMTA,GATX Corporation SR NT 2066,USD,"GATX Corporation is a global railcar lessor that provides transportation assets and related services across North America and internationally, catering to various industries including chemicals, petroleum, food, and metals. The company operates through its Rail North America, Rail International, and Portfolio Management segments, offering railcar leasing, remarketing, and fleet management. Headquartered in Chicago, Illinois, GATX leverages its extensive fleet and expertise to provide solutions for customers' transportation needs.",Fixed Income,Corporate Bonds,,NYQ,XNYS,
HCXZ,"Hercules Capital, Inc.",USD,"Hercules Capital, Inc. is a specialty finance company that provides financing solutions to venture capital-backed companies in technology, life sciences, and sustainable and renewable technology industries. The company primarily offers debt financing in the form of venture debt, as well as equity investments. Hercules Capital is headquartered in Palo Alto, California.",Financials,,,NYQ,XNYS,
HTFA,Horizon Technology Finance Corporation 6.25% NT 22,USD,"Horizon Technology Finance Corporation is a specialty finance company that provides capital to venture capital-backed companies in the technology, life science, healthcare information and services, and cleantech industries. They offer secured loans and venture loans to innovative companies. Horizon Technology Finance is headquartered in Farmington, Connecticut.",Financials,,,NYQ,XNYS,
MDLQ,Medley LLC NT 24,USD,,,,,NYQ,XNYS,
MDLX,Medley LLC SR NT 26,USD,,,,,NYQ,XNYS,
PBY,Prospect Capital Corporation,USD,"Prospect Capital Corporation is a business development company (BDC) that provides financing to middle-market companies in the United States. The company invests in senior and subordinated debt and equity securities, focusing on companies with established operating histories and strong management teams. Prospect Capital Corporation is headquartered in New York, New York.",Financials,,,NYQ,XNYS,
PYS,PPlus Trust Series RRD-1 RRD-1 CTF CL A,USD,,,,,NYQ,XNYS,
SAF,Saratoga Investment Corp 6.25% ,USD,"Saratoga Investment Corp 6.25% is a closed-end investment company that invests primarily in leveraged loans and mezzanine debt issued by U.S. middle market companies. Saratoga Investment seeks to generate current income and capital appreciation. The firm is headquartered in New York, NY.",Financials,,,NYQ,XNYS,
SOJB,The Southern Company JR SUB NT 76,USD,"The Southern Company is a holding company that provides electricity and natural gas through its subsidiaries. They serve customers primarily in the Southeastern United States, focusing on providing reliable and affordable energy solutions. The company is headquartered in Atlanta, Georgia.",Fixed Income,Corporate Bonds,,NYQ,XNYS,
TPVY,TriplePoint Venture Growth BDC Corp.,USD,"TriplePoint Venture Growth BDC Corp. is a business development company (BDC) that provides financing to venture growth stage companies in technology, life sciences, and other high growth industries. The company's primary investment objective is to maximize its total return by generating current income from debt investments and capital appreciation from warrant and equity investments. TriplePoint Venture Growth BDC Corp. is based in Menlo Park, California.",Financials,,,NYQ,XNYS,
UZB,United States Cellular Corporation SR NT 120163,USD,"United States Cellular Corporation SR NT 120163 is a bond issued by United States Cellular Corporation. The bond represents a debt obligation of the company, with a specified maturity date (December 1, 2063) and interest rate. United States Cellular Corporation is a telecommunications company providing wireless services.",Fixed Income,Corporate Bonds,,NYQ,XNYS,
WALA,Western Alliance Bancorporation SUB DEBENTURS 56,USD,,Fixed Income,,,NYQ,XNYS,
