symbol,name,currency,summary,category_group,category,family,exchange,mic,isin
AAA,AAF First Priority CLO Bond ETF,USD,"The investment seeks capital preservation and income.
 The fund is an actively-managed exchange-traded fund (√¢¬Ä¬úETF√¢¬Ä¬ù) that pursues its investment objective by investing, under normal circumstances, at least 80% of its net assets (plus any borrowings made for investment purposes) in AAA rated first priority debt tranches of U.S. dollar-dominated collateralized loan obligations (√¢¬Ä¬úCLOs√¢¬Ä¬ù). It may invest in CLOs of any maturity. The fund is actively managed and does not seek to track the performance of any particular index.",Fixed Income,Corporate Bonds,Exchange Traded Concepts,PCX,ARCX,US46144X6105
AAAU,Goldman Sachs Physical Gold ETF,USD,"The investment seeks to provide investors with an opportunity to invest in gold through shares, and have the gold securely stored by the Custodial Sponsor; reflecting the performance of the price of gold less the expenses of the trust√¢¬Ä¬ôs operations is the secondary consideration.
 The trust holds London Bars and Physical Gold of other specifications without numismatic value. It receives gold deposited by Authorized Participants in exchange for the creation of Baskets and delivers gold to Authorized Participants in exchange for Baskets surrendered to it for redemption.",Commodities,,Goldman Sachs Asset Management,PCX,ARCX,US38150K1034
ABCS,Guggenheim ABC High Dividend ET,,"The Guggenheim ABC High Dividend ETF (ABCS) is an exchange-traded fund. The fund invests in dividend-paying common stocks while using a covered call strategy to generate income. The fund seeks investment results that correspond generally to the performance, before the fund’s fees and expenses, of an equity index called the BITA ABC High Dividend Index.",Financials,,Guggenheim,PCX,ARCX,US02072L2842
ABEQ,Absolute Core Strategy ETF,USD,"The investment seeks positive absolute returns.
 The fund&#39;s investment sub-adviser (the ""Subadviser""), seeks to achieve it&#39;s objective by investing primarily in equity securities of U.S. companies that the Subadviser believes are priced at a substantial discount to the Subadviser&#39;s estimate of fair value. The fund may invest in companies of any market capitalization and in any economic sector, including equity securities of foreign companies that trade on U.S. exchanges, either directly or through American Depositary Receipts (""ADRs""). It is non-diversified.",Alternatives,Blend,Absolute Investment Advisers,PCX,ARCX,US90470L5681
ACES,ALPS Clean Energy ETF,USD,"The investment seeks investment results that correspond (before fees and expenses) generally to the performance of its underlying index, the CIBC Atlas Clean Energy Index (ticker symbol NACEX) (the ""underlying index"").
 The fund will invest at least 80% of its net assets in securities that comprise the underlying index. The underlying index utilizes a rules-based methodology developed by CIBC National Trust Company (the ""index provider""), which is designed to provide exposure to a diverse set of U.S. and Canadian companies involved in the clean energy sector including renewables and clean technology. The fund is non-diversified.",Energy,Energy,ALPS ETF Trust,PCX,ARCX,US00162Q4608
ACSG,Xtrackers MSCI ACWI ex USA ESG Leaders Equity ETF,USD,"The investment seeks investment results that correspond generally to the performance, before fees and expenses, of the MSCI ACWI ex USA ESG Leaders Index.
 The index is constructed using regional indexes that provide exposure to large- and medium-capitalization companies from developed and emerging markets countries (excluding the United States). The fund will normally invest at least 80% of its net assets, plus the amount of any borrowings for investment purposes, in equity securities from countries other than the United States. The fund is non-diversified.",Alternatives,Blend,Xtrackers,PCX,ARCX,US02507A7054
ACTV,LeaderShares Activist Leaders ETF,USD,"The investment seeks to generate long-term capital growth.
 The fund will be invested in equity securities of companies listed on a U.S. exchange with market capitalizations of at least $1 billion at the time of initial purchase. It may focus its investments in a particular sector, industry or group of industries. The fund may utilize derivatives, such as equity options and total return swap agreements, to seek to achieve its objective and for hedging purposes.",Financials,Growth,LeaderShares,PCX,ARCX,US90214Q7170
ACVF,American Conservative Values ETF,USD,"The investment seeks to achieve long-term capital appreciation; capital preservation is the secondary objective.
 Under normal circumstances, the fund seeks to meet its investment objective by investing at least 80% of its net assets, plus borrowings for investment purposes, if any, in equity securities of U.S. companies that meet its politically conservative criteria. The equity securities in which It invests will generally be those of companies with large market capitalizations.",Financials,Value,ACV ETFs,PCX,ARCX,US26923N1081
ACWF,iShares MSCI Global Multifactor ETF,USD,"The investment seeks to track the investment results of the MSCI ACWI Diversified Multiple-Factor Index.
 The fund generally will invest at least 80% of its assets in the component securities of the underlying index and in investments that have economic characteristics that are substantially identical to the component securities of the underlying index. The underlying index is designed to contain equity securities from the MSCI ACWI Index (the ""parent index"") that have high exposure to four investment style factors: value, quality, momentum and low size, while maintaining a level of risk similar to that of the parent index.",Alternatives,Blend,BlackRock Asset Management,PCX,ARCX,
ADIV,SmartETFs Asia Pacific Dividend Builder ETF,USD,"The investment seeks to provide investors with dividend income and long-term capital growth.
 The fund invests at least 80% of its net assets (plus any borrowings for investment purposes) in publicly-traded, dividend-producing equity securities of companies that are tied economically to countries in the Asia Pacific region. Under normal market conditions it will invest in companies economically tied to at least four different countries in the Asia Pacific region, which may be developed or emerging markets and which may include Australia, China, Hong Kong, Singapore, and Taiwan.",Financials,Developed Markets,SmartETFs,PCX,ARCX,US4020318436
AFK,VanEck Vectors Africa Index ETF,USD,"The investment seeks to replicate as closely as possible, before fees and expenses, the price and yield performance of the MVIS√Ç¬Æ GDP Africa Index.
 The fund normallyinvests at least 80% of its total assets in securities that comprise the fund√¢¬Ä¬ôs benchmark index. The index includes securities of African companies. African companies generally include local listings of companies that are incorporated in Africa and listings of companies incorporated outside of Africa but that have at least 50% of their revenues/related assets in Africa.",Equities,Frontier Markets,VanEck Asset Management,PCX,ARCX,US92189F8665
