symbol,name,currency,summary,category_group,category,family,exchange,mic,isin
BKISF,iShares IV Public Limited Company - iShares US Mortgage Backed Securities UCITS ETF,USD,"iShares IV Public Limited Company - iShares US Mortgage Backed Securities UCITS ETF is an exchange-traded fund that seeks to track the performance of an index composed of U.S. dollar-denominated, fixed-rate mortgage-backed securities. These securities are issued by U.S. agencies. The ETF provides investors with exposure to the U.S. mortgage-backed securities market.",Fixed Income,Investment Grade Bonds,BlackRock Asset Management,PNK,OTCM,
BKKCF,BLOCKCHAIN TECHNOLOGIES ETF UNI,USD,,,,,PNK,OTCM,
BNKSF,ISHARES V PLC S&P US BANKS UCIT,USD,"ISHARES V PLC S&P US BANKS UCIT is an exchange-traded fund (ETF). It aims to track the performance of the S&P US Banks Index. The fund invests in publicly traded companies within the U.S. banking sector, providing exposure to this specific industry.",Financials,,BlackRock Asset Management,PNK,OTCM,
CETFF,iShares VII Public Limited Company - iShares MSCI EM Asia UCITS ETF,USD,,,Emerging Markets,BlackRock Asset Management,PNK,OTCM,
CGBLF,iShares Gold Bullion ETF (CAD-Hedged),USD,"The investment seeks to replicate, net of expenses, the price of gold bullion.
 The fund invests assets in holdings of unencumbered gold bullion, in 100 or 400 troy ounce international bar sizes, and will not speculate with regard to short-term changes in gold prices. It may also utilize forward contracts relating to the currency hedge.",Commodities,,BlackRock Asset Management,PNK,OTCM,
CPLCF,iShares VII Public Limited Company - iShares MSCI USA Small Cap UCITS ETF,USD,"iShares VII Public Limited Company - iShares MSCI USA Small Cap UCITS ETF is an exchange traded fund (ETF) managed by BlackRock. It aims to track the investment results of the MSCI USA Small Cap Index, providing exposure to small cap companies in the US equity market. The ETF is domiciled in Ireland.",Equities,Small Cap,BlackRock Asset Management,PNK,OTCM,
CPTFF,Xtrackers (IE) Public Limited Company - Xtrackers S&P 500 Equal Weight UCITS ETF,USD,"Xtrackers (IE) Public Limited Company - Xtrackers S&P 500 Equal Weight UCITS ETF is an exchange traded fund (ETF) managed by DWS Investment S.A.. The ETF seeks to track the performance of the S&P 500 Equal Weight Index, which provides exposure to the S&P 500 companies, but with each company allocated the same weight, which gives a different risk/return profile than the market cap weighted S&P 500 index. The ETF is domiciled in Ireland.",Equities,,DWS Investment,PNK,OTCM,
DBGCF,DB ETC plc - db Physical Gold ETC,USD,"DB ETC plc - db Physical Gold ETC is an exchange-traded commodity (ETC) that provides investors with exposure to physical gold. The ETC is backed by physical gold bullion held in vaults. DB ETC plc is the issuer, offering a way to invest in gold without directly owning the metal.",Commodities,,Deutsche Bank Asset Management,PNK,OTCM,
DBXRF,Xtrackers - MSCI Japan UCITS ETF,USD,"This Xtrackers ETF aims to replicate the performance of the MSCI Japan Index, providing exposure to the Japanese equity market. The fund allows investors to participate in the growth of Japanese companies across various sectors. The ETF is UCITS compliant.",,Developed Markets,Xtrackers,PNK,OTCM,
DGLDF,VelocityShares 3x Inverse Gold ETN Linked to the S&P GSCI Gold Index ER,USD,"The investment seeks to replicate, net of expenses, three times the opposite (inverse) of the S&P GSCI Gold index ER.
 The index comprises futures contracts on a single commodity. The fluctuations in the values of it are intended generally to correlate with changes in the price of gold in global markets.",Commodities,Trading,VelocityShares,PNK,OTCM,
DSLVF,VelocityShares 3x Inverse Silver ETN Linked to the S&P GSCI Silver Index ER,USD,"The investment seeks to replicate, net of expenses, three times the opposite (inverse) of the S&P GSCI Silver index ER.
 The index comprises futures contracts on a single commodity. The fluctuations in the values of it are intended generally to correlate with changes in the price of silver in global markets.",Commodities,Trading,Credit Suisse Asset Management,PNK,OTCM,US22542D6546
EAUSF,ETFS Metal Securities Australia Limited REDEEMABLE PREF,USD,,,,,PNK,OTCM,
EFMSF,ETFS Metal Securities Limited - ETFS Physical Gold,USD,"ETFS Physical Gold is an exchange-traded commodity, designed to offer investors a simple, cost-efficient and secure way to access the gold market by holding physical gold bullion. Each security is backed by physical gold held in allocated storage, offering a direct link to the spot price of gold. The company is based in Jersey.",Commodities,,Gold Bullion Securities,PNK,OTCM,
EMALF,ETFS Metal Securities Limited - ETFS Physical PM Basket,USD,This is the ETFS Metal Securities Limited - ETFS Physical PM Basket. It is an exchange-traded commodity (ETC) that provides exposure to a basket of physical precious metals. The ETC is issued by ETFS Metal Securities Limited and offers a way to invest in precious metals.,Commodities,,,PNK,OTCM,
ETMLF,ETFS Metal Securities Limited - ETFS Physical Silver,USD,"ETFS Metal Securities Limited - ETFS Physical Silver provides investors with a simple, secure, and transparent way to access the silver market. The ETFS holds physical silver bullion, providing a direct exposure to the metal's price movements. The issuer, ETFS Metal Securities Limited, is based in Jersey.",Commodities,,,PNK,OTCM,
FTCPF,First Trust Global Funds Plc - First Trust Capital Strength Ucits ETF,USD,"First Trust Global Funds Plc - First Trust Capital Strength Ucits ETF is an exchange-traded fund (ETF) designed to track the performance of companies with strong capital positions. The ETF focuses on companies exhibiting financial strength and stability, aiming to provide investors with exposure to relatively resilient businesses. First Trust Global Funds Plc is based in Ireland.",Financials,,First Trust Advisors,PNK,OTCM,
FUCIF,FIRST TRUST GLOBAL FUNDS PLC VA,USD,,,,,PNK,OTCM,
GDLC,Grayscale Digital Large Cap Fund LLC,USD,"Grayscale Digital Large Cap Fund LLC provides exposure to a basket of large-cap digital currencies. The fund aims to reflect the performance of the CoinDesk Digital Large Cap Index. Grayscale Investments is headquartered in Stamford, CT.",Alternatives,,,PNK,OTCM,KYG407051088
GHYCF,iShares Public Limited Company - iShares Global High Yield Corp Bond UCITS ETF,USD,The iShares Global High Yield Corp Bond UCITS ETF is an exchange-traded fund designed to track the performance of an index composed of global high-yield corporate bonds. The ETF provides investors with exposure to a diversified portfolio of sub-investment grade corporate debt from around the world. The fund is managed by BlackRock and domiciled in Ireland.,Fixed Income,High Yield Bonds,BlackRock Asset Management,PNK,OTCM,
HMLSF,Horizons Marijuana Life Sciences Index ETF,USD,"The Horizons Marijuana Life Sciences Index ETF (HMLSF) seeks to replicate, to the extent possible, the performance of the North American Marijuana Index, net of expenses. This ETF provides exposure to North American publicly listed life sciences companies in the marijuana industry. Horizons ETFs Management (Canada) Inc. manages the fund, which is designed for investors seeking exposure to the cannabis sector.",Equities,,,PNK,OTCM,
HPSYF,Horizons Psychedelic Stock Index ETF,USD,"The Horizons Psychedelic Stock Index ETF is designed to provide investment exposure to companies involved in the psychedelics industry. The ETF tracks the performance of the North American Psychedelics Index, net of expenses. This index includes companies engaged in legal psychedelic drugs, medical cannabis, and hemp.",Equities,,,PNK,OTCM,
IEMIF,iShares Public Limited Company - iShares Core MSCI EM IMI UCITS ETF,USD,"The iShares Core MSCI EM IMI UCITS ETF aims to track the investment results of the MSCI Emerging Markets Investable Market Index (IMI). This ETF provides comprehensive coverage of emerging market equities, including large, mid, and small-cap companies. iShares is a brand of BlackRock, a global investment management corporation headquartered in New York City.",Financials,Emerging Markets,BlackRock Asset Management,PNK,OTCM,
IEMWF,iShares IV Public Limited Company - iShares Edge MSCI World Size Factor UCITS ETF,USD,"The iShares Edge MSCI World Size Factor UCITS ETF seeks to track the investment results of an index composed of global equities exhibiting a relatively small size exposure. It provides investors with exposure to companies with smaller market capitalizations across developed markets. iShares is managed by BlackRock, headquartered in New York City.",Financials,Developed Markets,BlackRock Asset Management,PNK,OTCM,
