symbol,name,currency,summary,category_group,category,family,exchange,mic,isin
A35.SI,ABF Singapore Bond Index Fd,SGD,"The investment seeks to replicate as closely as possible, before fees and expenses, the performance of the iBoxx ABF Singapore Bond index. The index is an indicator of investment returns of debt obligations denominated in Singapore dollars issued or guaranteed by the government of Singapore or any government of Peopleâs Republic of China, Hong Kong SAR, Indonesia, Korea, Malaysia, Philippines, Singapore or Thailand, by an agency or instrumentality of the Singapore government (or any other Asian Government), by a Singapore government (or any other Asian Government) sponsored entity or a quasi-Singapore government (or any other Asian Government) entity and Singapore dollar denominated debt obligations issued by supranational financial institutions.",Fixed Income,Government Bonds,State Street Global Advisors,SES,XSES,
BYI.SI,Phillip SGX APAC Dividend Leaders REIT ETF,USD,To provide income and long term capital appreciation by tracing the Index,Real Estate,REITs,Philip Capital Management,SES,XSES,
BYJ.SI,Phillip SGX APAC Dividend Leaders REIT ETF,SGD,To provide income and long term capital appreciation by tracing the Index,Real Estate,REITs,Philip Capital Management,SES,XSES,
CFA.SI,NikkoAM-StraitsTrading Asia ex Japan REIT ETF,SGD,"The investment objective of the Fund is to replicate as closely as possible, before expenses, the performance of the FTSE EPRA/NAREIT Asia ex Japan Net Total Return REIT Index (the âIndexâ), or upon the Manager giving three (3) months&#39; prior written notice to the Trustee and the Holders, such other index that gives, in the opinion of the Manager, the same or substantially similar exposure as the Index. There is no assurance that the Fund will achieve its investment objective or that it will be able to fully track the performance of the Index.",Real Estate,REITs,Nikko Asset Management,SES,XSES,
CLR.SI,Lion-Phillip S-REIT ETF,SGD,"The investment objective of the Fund is to replicate as closely as possible, before expenses, the performance of the MorningstarÂ® Singapore REIT Yield Focus IndexSM using a direct investment policy of investing in all, or substantially all, of the underlying Index Securities.
The Index is compiled and calculated by Morningstar Research Pte. Ltd. and is designed to screen for high-yielding REITs with superior quality and financial health.",Real Estate,REITs,Lion Global Investors,SES,XSES,
COI.SI,NikkoAM-StraitsTrading Asia ex Japan REIT ETF,USD,"The investment objective of the Fund is to replicate as closely as possible, before expenses, the performance of the FTSE EPRA/NAREIT Asia ex Japan Net Total Return REIT Index (the âIndexâ), or upon the Manager giving three (3) months&#39; prior written notice to the Trustee and the Holders, such other index that gives, in the opinion of the Manager, the same or substantially similar exposure as the Index. There is no assurance that the Fund will achieve its investment objective or that it will be able to fully track the performance of the Index.",Real Estate,REITs,Nikko Asset Management,SES,XSES,
CYB.SI,CSOP Investments VCC - ICBC CSOP FTSE Chinese Government Bond Index ETF,USD,"CSOP Investments VCC - ICBC CSOP FTSE Chinese Government Bond Index ETF is an exchange-traded fund. The ETF aims to replicate the performance of the FTSE Chinese Government Bond Index, providing investors with exposure to Chinese government bonds. It is managed by CSOP Investments and structured as a VCC (Variable Capital Company).",Fixed Income,Government Bonds,CSOP Asset Management,SES,XSES,
CYC.SI,ICBC CSOP FTSE Chinese Government Bond Index ETF,SGD,"The investment objective of this Sub-Fund is to replicate as closely as possible, before fees and expenses, the performance of the FTSE Chinese Government Bond Index.",Fixed Income,Government Bonds,CSOP Asset Management,SES,XSES,
D07.SI,SPDR Dow Jones Industrial Average ETF Trust,USD,"The investment seeks to provide investment results that, before expenses, correspond generally to the price and yield performance of the Dow Jones Industrial Average (the âDJIAâ).
 The Trust seeks to achieve its investment objective by holding a portfolio of the common stocks that are included in the DJIA (the âPortfolioâ), with the weight of each stock in the Portfolio substantially corresponding to the weight of such stock in the DJIA.",Alternatives,Large Cap,State Street Global Advisors,SES,XSES,US78467X1090
G1N.SI,Lyxor MSCI India UCITS ETF Acc USD,USD,"The Lyxor MSCI India UCITS ETF is a UCITS compliant exchange traded fund that aims to track the benchmark index MSCI Emerging Markets India Net TR (USD).The MSCI Emerging Markets India Net TR (USD) is a free float market cap-based index wich represents approximatively 85 % of the total market capitalisation in India. The complete methodology of the index is avalaible on www.msci.com.Lyxor ETFs are efficient investment vehicles listed on exchange that offer transparent, liquid and low-cost exposure to the underlying benchmark index.",,Emerging Markets,Lyxor International Asset Management,SES,XSES,FR0010361683
