symbol,name,currency,summary,category_group,category,family,exchange,mic,isin
1DIV.BK,ThaiDEX SET High Dividend ETF,THB,"The fund replicates, net expenses, the SET High Dividend 30 index.
 The fund generally invests at least 65% of its total assets in securities constitute the index.",,,Bangkok Capital Asset Management,SET,XBKK,
ABFTH.BK,The ABF Thailand Bond Index Fund,THB,"The ABF Thailand Bond Index Fund is a passively managed exchange-traded fund (ETF) listed on the Stock Exchange of Thailand (SET). The fund replicates the performance of the Markit iBoxx ABF Thailand Bond Index, which tracks the performance of local currency denominated government and quasi-government bonds issued in Thailand. The fund provides investors with a convenient and cost-effective way to invest in a diversified portfolio of Thai government bonds.",Fixed Income,Government Bonds,Bangkok Capital Asset Management,SET,XBKK,
BMSCG.BK,BCAP Mid Small CG ETF,THB,Fund policy is to main invest in instruments which are components of BCAP Mid Small Cap CG Index TR for no less than 80% of total assets value. Fund focus on equities of medium and small company . The fund will invest in good governance companies considering from the CG Scoring with no less than 80% of net asset value.Fund may also invest in derivative for better efficient portfolio management.,Financials,,Bangkok Capital Asset Management,SET,XBKK,
BMSCITH.BK,BCAP MSCI Thailand ETF Fund,THB,"The Fund employs a ""passive management"" strategy with the investment policy to emphasize investing in securities that are constituents of the Underlying Index (MSCI Thailand ex Foreign Board Index), as well as the securities pending inclusion in or exclusion of the composition of the Underlying Index at the average of not less than 80 per cent of the net asset value (NAV) of the Fund in an accounting period.",Financials,,Bangkok Capital Asset Management,SET,XBKK,
BSET100.BK,BCAP SET100 ETF,THB,Invest in securities or derivatives that has assets referenced to securities to be particial of SET100 TRI Index with no less than 801% of NAV .The fund may choose use Full Replication or Optimization in order to create returns close to SET100 TRI Index.,,,Bangkok Capital Asset Management,SET,XBKK,
CHINA.BK,W.I.S.E. KTAM CSI 300 China Tracker,THB,"The investment seeks to replicate, net of expenses, the performance of CSI 300 index. The fund invests solely in W.I.S.E. â CSI 300 China Tracker A shares.",,Emerging Markets,Krungthai Asset Management,SET,XBKK,
EBANK.BK,KTAM SET Banking ETF Tracker,THB,"Fund policy is to main invest in instruments which are components of SET Banking Sector Index for no less than 80% of total assets value. Fund focuses on fully invest in equity instruments. Fund may borrow or lend instruments, or have Reverse Repo contract. Fund may also invest in derivative for better efficient portfolio management.",Equities,,Krungthai Asset Management,SET,XBKK,
ENGY.BK,MTrack Energy ETF,THB,"The investment seeks to track the price and yield performance, before fees and expense, of the SET Energy and Utility Sector index.
 The fund is underpinned by diverse stocks in a sector with large market capitalization and high liquidity.",Utilities,,TMB Asset Management,SET,XBKK,
ENY.BK,KTAM SET Energy ETF Tracker,THB,"Fund policy is to main invest in instruments which are components of SET Energy & Utilities Sector Index for no less than 80% of total assets value. Fund focuses on fully invest in equity instruments. Fund may borrow or lend instruments, or have Reverse Repo contract. Fund may also invest in derivative for better efficient portfolio management.",Energy,,Krungthai Asset Management,SET,XBKK,
GLD.BK,KTAM Gold ETF Tracker,THB,"The investment seeks to replicate, net of expenses, the price of gold bullion. The fund invests solely in Hong Kong listed SPDR Gold Trust.",Commodities,,Krungthai Asset Management,SET,XBKK,
TDEX.BK,ThaiDEX SET50,THB,"The investment seeks to replicate as closely as possible, before fees and expenses, the performance of the SET50 index.
 The fund normally invests at least 65% of the net asset value in equity tools. The rest will be invested in debt instruments, money market instruments or money deposit.",Information Technology,Emerging Markets,Bangkok Capital Asset Management,SET,XBKK,
TH100.BK,ThaiDEX SET100 ETF,THB,"ThaiDex SET100 ETF will use passive management strategy by investing in equity, on average, at least 80% of its NAV in any accounting period. The fund will invest mainly in securities which are constituents of the Benchmark Index (SET10 Index) including securities during transition of being added to or removed from the Benchmark Index. The rest will be invested in debt instruments, money market instruments or money deposit to pay for expense, settle the price of securities, wait for investment, or hold for liquidity of the fund.",Financials,Emerging Markets,Bangkok Capital Asset Management,SET,XBKK,
