symbol,name,currency,summary,category_group,category,family,exchange,mic,isin
0061.TW,W.I.S.E. Yuanta/P-shares CSI 300 ETF,TWD,"The W.I.S.E. Yuanta/P-shares CSI 300 ETF seeks to track the performance of the CSI 300 Index, which represents the top 300 A-share stocks listed on the Shanghai and Shenzhen stock exchanges. It provides exposure to the largest companies in mainland China's equity market. Yuanta Securities is a financial services company headquartered in Taiwan.",Financials,Emerging Markets,Yuanta Securities Investment Trust,TAI,XTAI,
006204.TW,Sinopac TAIEX ETF,TWD,"The Sinopac TAIEX ETF seeks to track the performance of the TAIEX (Taiwan Stock Exchange Capitalization Weighted Stock Index). It provides exposure to the overall Taiwanese stock market, reflecting the performance of a broad range of listed companies. Sinopac Securities is a financial services company headquartered in Taiwan.",Financials,,SinoPac Securities Investment Trust,TAI,XTAI,
006205.TW,Fubon SSE180 ETF,TWD,"The Fubon SSE180 ETF seeks to track the performance of the SSE 180 Index, which represents a selection of 180 large-cap and liquid stocks listed on the Shanghai Stock Exchange. It provides exposure to the large-cap segment of the Chinese stock market. Fubon Financial Holding Co. is a financial services company headquartered in Taiwan.",Financials,Emerging Markets,Fubon Securities Investment Trust,TAI,XTAI,
006206.TW,Yuanta/P-shares SSE50 ETF,TWD,"The Yuanta/P-shares SSE50 ETF seeks to track the performance of the SSE 50 Index, which represents the 50 largest and most liquid companies listed on the Shanghai Stock Exchange. It provides exposure to the blue-chip segment of the Chinese stock market. Yuanta Securities is a financial services company headquartered in Taiwan.",Financials,Emerging Markets,Yuanta Securities Investment Trust,TAI,XTAI,
006208.TW,Fubon FTSE TWSE Taiwan 50 ETF,TWD,"The investment seeks to track the price and performance yield, before fees and expenses, of the MSCI Taiwan index but it closely track the performance of Taiwan 50 Index (before fees and expenses).
The index uses a weighting factor of the security in the index and applied to the total dividend amount to be reinvested.",Financials,,Fubon Securities Investment Trust,TAI,XTAI,
00625K.TW,Fubon SSE180 ETF,CNY,"The Fubon SSE180 ETF seeks to track the performance of the SSE 180 Index, which represents a selection of 180 large-cap and liquid stocks listed on the Shanghai Stock Exchange. It provides exposure to the large-cap segment of the Chinese stock market. Fubon Financial Holding Co. is a financial services company headquartered in Taiwan.",Financials,Emerging Markets,Fubon Securities Investment Trust,TAI,XTAI,
00633L.TW,Fubon SSE180 Leveraged 2X Index ETF,TWD,"The Fubon SSE180 Leveraged 2X Index ETF seeks to provide twice the daily investment results of the SSE 180 Index. It uses leverage to amplify the returns of the underlying index, both positively and negatively. Fubon Financial Holding Co. is a financial services company headquartered in Taiwan.",Financials,Emerging Markets,Fubon Securities Investment Trust,TAI,XTAI,
00634R.TW,Fubon SSE180 Inversed Index ETF,TWD,"The Fubon SSE180 Inversed Index ETF seeks to provide the inverse of the daily investment results of the SSE 180 Index. It aims to profit from a decline in the underlying index, providing a hedge against market downturns. Fubon Financial Holding Co. is a financial services company headquartered in Taiwan.",Financials,Emerging Markets,Fubon Securities Investment Trust,TAI,XTAI,
00641R.TW,Fubon TOPIX Inverse -1X Index ETF,TWD,"The Fubon TOPIX Inverse -1X Index ETF aims to provide the inverse of the daily performance of the TOPIX (Tokyo Stock Price Index). The fund is designed for investors seeking to profit from, or hedge against, a decline in the Japanese stock market. Fubon Financial Holding Co. is a financial services company headquartered in Taiwan.",Financials,,Fubon Securities Investment Trust,TAI,XTAI,
00651R.TW,Fuh Hwa Daily Hang Seng Inversed ETF,TWD,"The Fuh Hwa Daily Hang Seng Inversed ETF seeks to provide the inverse of the daily investment results of the Hang Seng Index. It aims to profit from a decline in the Hong Kong stock market, providing a hedge against market downturns. Fuh Hwa Securities Investment Trust is a financial services company headquartered in Taiwan.",Financials,,Fuh Hwa Securities Investment Trust,TAI,XTAI,
