symbol,name,currency,summary,category_group,category,family,exchange,mic,isin
HRL-F109.TA,Harel Index Funds Ltd.- Harel Sal Tel Bond Yields Shekel,ILA,,,,,TLV,XTAE,
HRL-F16.TA,Harel Index Funds Ltd. - Harel Sal (4A) TA-Finance,ILA,,,,,TLV,XTAE,
HRL-F18.TA,Harel Index Funds Ltd. - Harel Sal (4A) TA-Growth,ILA,,,,,TLV,XTAE,
HRL-F209.TA,Harel Index Funds Ltd. - Harel Sal (0D) iBoxx $ Corps Liquid 3-7 Years,ILA,,,,,TLV,XTAE,
HRL-F222.TA,Harel Mutual Funds Ltd. - SandP Kensho Cleantech 4d Ils Etf,ILA,This is an ETF from Harel Mutual Funds Ltd. that tracks the S&P Kensho Cleantech Index. The fund aims to provide investment results that correspond to the price and yield performance of publicly traded companies in the cleantech sector. The ETF is based in Israel.,Equities,,Shin Kong Investment Trust,TLV,XTAE,
HRL-F24.TA,Harel Index Funds Ltd. - Harel Sal Tel Bond Shekel 50,ILA,"This is an ETF from Harel Index Funds Ltd that focuses on investing in Shekel-denominated bonds issued by Israeli corporations (Tel Bond 50 Index). The fund seeks to replicate the performance of the Tel Bond 50 Index, which comprises the 50 largest corporate bonds traded on the Tel Aviv Stock Exchange. Harel Index Funds is based in Israel.",Fixed Income,Corporate Bonds,Shin Kong Investment Trust,TLV,XTAE,
HRL-F30.TA,Harel Index Funds - KSM Stoxx ERP 600 Automobile ETF,ILA,"This is an ETF from Harel Index Funds that tracks the KSM Stoxx ERP 600 Automobile Index. The fund invests in companies within the European automotive industry, mirroring the index's composition. Harel Index Funds is based in Israel.",Consumer Discretionary,,Shin Kong Investment Trust,TLV,XTAE,
HRL-F300.TA,Harel Index Funds Ltd. - Harel Sal Tel Bond Shekel 50,ILA,"This is an ETF from Harel Index Funds Ltd that focuses on investing in Shekel-denominated bonds issued by Israeli corporations (Tel Bond 50 Index). The fund seeks to replicate the performance of the Tel Bond 50 Index, which comprises the 50 largest corporate bonds traded on the Tel Aviv Stock Exchange. Harel Index Funds is based in Israel.",Fixed Income,Corporate Bonds,Shin Kong Investment Trust,TLV,XTAE,
HRL-F303.TA,Harel Index Funds Ltd. - Harel Sal Tel Bond Shekel Bank & Insurance,ILA,"This is an ETF from Harel Index Funds Ltd. that tracks the performance of Tel Bond indices related to the banking and insurance sectors in Israel. The fund invests in Shekel-denominated bonds from companies within these sectors, mirroring the index's composition. Harel Index Funds is based in Israel.",Fixed Income,Corporate Bonds,Shin Kong Investment Trust,TLV,XTAE,
HRL-F4.TA,Harel Sal Tel-Bond 60 (00A),ILA,,,,,TLV,XTAE,
HRL-F50.TA,Harel Sal S&P Industrial US (4Da'),ILA,,,,,TLV,XTAE,
HRL-F61.TA,Harel Sal Tel Bond-CPI Linked (00A),ILA,,,,,TLV,XTAE,
HRL-F65.TA,Harel Index Funds Ltd. - Harel Sal (4D) EURO STOXX 50,ILA,This is an ETF from Harel Index Funds Ltd. that tracks the EURO STOXX 50 Index. The fund aims to provide investment results that correspond to the price and yield performance of publicly traded companies in the Eurozone. Harel Index Funds is based in Israel.,Financials,Large Cap,Shin Kong Investment Trust,TLV,XTAE,
HRL-F69.TA,Harel Index Funds Ltd. - Harel Sal Tel Bond Yields,ILA,"This is an ETF from Harel Index Funds Ltd. that focuses on investing in Tel Bond Yields. The fund seeks to replicate the performance of the Tel Bond Yields, which comprises corporate bonds traded on the Tel Aviv Stock Exchange. Harel Index Funds is based in Israel.",Fixed Income,Corporate Bonds,Shin Kong Investment Trust,TLV,XTAE,
HRL-F74.TA,Harel Index Funds Ltd. - Harel Sal (4D) S&P Health Care,ILA,This is an ETF from Harel Index Funds Ltd. that tracks the S&P Health Care Index. The fund aims to provide investment results that correspond to the price and yield performance of publicly traded companies in the health care sector. Harel Index Funds is based in Israel.,Health Care,,Shin Kong Investment Trust,TLV,XTAE,
HRL-F77.TA,Harel Index Funds - KSM Stoxx ERP 600 Automobile ETF,ILA,"This is an ETF from Harel Index Funds that tracks the KSM Stoxx ERP 600 Automobile Index. The fund invests in companies within the European automotive industry, mirroring the index's composition. Harel Index Funds is based in Israel.",Consumer Discretionary,,Shin Kong Investment Trust,TLV,XTAE,
HRL-FK42.TA,Harel Index Funds Ltd. - Harel Sal Kosher Tel Bond Shekel,ILA,"This is an ETF from Harel Index Funds Ltd. that focuses on investing in kosher Shekel-denominated bonds issued by Israeli corporations (Tel Bond Index). The fund seeks to replicate the performance of the Kosher Tel Bond Index, which comprises the bonds traded on the Tel Aviv Stock Exchange. Harel Index Funds is based in Israel.",Fixed Income,Corporate Bonds,Shin Kong Investment Trust,TLV,XTAE,
HRL-FK43.TA,Harel Index Funds Ltd. - Harel Sal (4A) Kosher TA 125,ILA,This is an ETF from Harel Index Funds Ltd. that tracks the Kosher TA-125 Index. The fund aims to provide investment results that correspond to the price and yield performance of publicly traded companies in the Israeli stock market. Harel Index Funds is based in Israel.,Financials,,Shin Kong Investment Trust,TLV,XTAE,
IBITEC-F.TA,I.B.I Mutual Funds Management (1978) Ltd. - I.B.I. (5D) Tech Fund-High Tech,ILA,"This is a technology fund managed by I.B.I Mutual Funds Management (1978) Ltd, focusing on high-tech investments. The fund invests in companies within the technology sector. I.B.I Mutual Funds Management is based in Israel.",Information Technology,,,TLV,XTAE,
IS-FF403.TA,iShares IV Public Limited Company - iShares Digitalisation UCITS ETF,ILA,iShares IV Public Limited Company - iShares Digitalisation UCITS ETF is an exchange-traded fund (ETF) that focuses on companies involved in digitalization. The fund aims to track the investment results of an index composed of developed and emerging market companies that could benefit from the increased adoption of digital technologies. The ETF is managed by iShares IV Public Limited Company.,Equities,Developed Markets,BlackRock Asset Management,TLV,XTAE,
KSM-F110.TA,KSM - Tel Bond Yields,ILA,KSM - Tel Bond Yields ,,,,TLV,XTAE,
KSM-F128.TA,KSM Mutual Funds Ltd. - KSM ETF (4D) MDAX,ILA,KSM Mutual Funds Ltd. - KSM ETF (4D) MDAX is an exchange-traded fund (ETF) that tracks the performance of the MDAX index. The MDAX index represents the 50 largest companies in Germany after the DAX index. The ETF provides investors with exposure to mid-cap German equities.,Financials,Mid Cap,,TLV,XTAE,
KSM-F141.TA,KSM Mutual Funds Ltd. - KSM ETF (2A) Comp Gov Bond (55%) Cor Bond (30%) Equity (15%) Monthly CurrHed,ILA,"KSM Mutual Funds Ltd. - KSM ETF (2A) Comp Gov Bond (55%) Cor Bond (30%) Equity (15%) Monthly CurrHed is an exchange-traded fund (ETF) that invests in a mix of asset classes including government bonds, corporate bonds, and equities. The fund aims to provide a diversified portfolio with a focus on fixed income and a smaller allocation to equities, while hedging currency risks on a monthly basis. The fund is managed by KSM Mutual Funds Ltd.",Alternatives,Government Bonds,,TLV,XTAE,
KSM-F160.TA,KSM Mutual Funds Ltd. - KSM ETF (0A) iBoxx $ Corps Liquid 1-3 Years Currency Hedged,ILA,"KSM ETF (0A) iBoxx $ Corps Liquid 1-3 Years Currency Hedged is an exchange-traded fund managed by KSM Mutual Funds Ltd. that seeks to track the performance of the iBoxx $ Corps Liquid 1-3 Years index while hedging currency risk. The ETF invests in a diversified portfolio of short-term, investment-grade corporate bonds denominated in US dollars, offering investors exposure to this segment of the fixed income market with protection against currency fluctuations, and is based out of Israel. KSM Mutual Funds Ltd. is an Israeli asset management company.",Fixed Income,Corporate Bonds,,TLV,XTAE,
KSM-F161.TA,KSM Mutual Funds Ltd. - KSM ETF (0A) iBoxx $ Corps Liquid 3-7 Years Currency Hedged,ILA,"KSM ETF (0A) iBoxx $ Corps Liquid 3-7 Years Currency Hedged is an exchange-traded fund managed by KSM Mutual Funds Ltd. that aims to replicate the performance of the iBoxx $ Corps Liquid 3-7 Years index, while mitigating currency risk. The fund invests in a basket of medium-term, investment-grade corporate bonds denominated in US dollars, providing exposure to this segment of the bond market with currency hedging. KSM Mutual Funds Ltd. is an Israeli asset management company.",Fixed Income,Corporate Bonds,,TLV,XTAE,
KSM-F164.TA,KSM Mutual Funds Ltd. - KSM ETF (0D) iBoxx $ Corps Liquid 3-7 Years,ILA,"KSM ETF (0D) iBoxx $ Corps Liquid 3-7 Years is an exchange-traded fund managed by KSM Mutual Funds Ltd., designed to mirror the returns of the iBoxx $ Corps Liquid 3-7 Years index. The ETF invests in medium-term, investment-grade corporate bonds denominated in US dollars, offering investors exposure to this specific segment of the fixed-income market without currency hedging. KSM Mutual Funds Ltd. is an Israeli asset management company.",Fixed Income,Corporate Bonds,,TLV,XTAE,
KSM-F198.TA,Ksm Mutual Funds Ltd. - Bond Market LLS Etf,ILA,Ksm Mutual Funds Ltd. - Bond Market LLS Etf is an exchange-traded fund managed by KSM Mutual Funds Ltd. which invests in a range of bonds. Details of the underlying index and investment strategy are not available. KSM Mutual Funds Ltd. is an Israeli asset management company.,Fixed Income,Corporate Bonds,,TLV,XTAE,
KSM-F199.TA,KSM Mutual Funds Ltd. - KSM Icnet ETF,ILA,"KSM Mutual Funds Ltd. - KSM Icnet ETF is an exchange-traded fund managed by KSM Mutual Funds Ltd., details of the underlying index and investment strategy are not available. The ETF is based out of Israel. KSM Mutual Funds Ltd. is an Israeli asset management company.",,,,TLV,XTAE,
KSM-F200.TA,KSM Mutual Funds Ltd. - KSM ETF (4A) CSI300 Currency Hedged,ILA,"KSM ETF (4A) CSI300 Currency Hedged is an exchange-traded fund managed by KSM Mutual Funds Ltd. that seeks to mirror the performance of the CSI 300 index while hedging currency risk. The ETF invests in a portfolio of Chinese A-shares represented in the CSI 300 index, offering investors exposure to the Chinese equity market with protection against currency fluctuations, and is based out of Israel. KSM Mutual Funds Ltd. is an Israeli asset management company.",,Emerging Markets,,TLV,XTAE,
KSM-F22.TA,KSM Mutual Funds Limited - RDXUSED PR 4Da ETF,ILA,KSM Mutual Funds Limited - RDXUSED PR 4Da ETF is an exchange-traded fund managed by KSM Mutual Funds Limited. Details of the underlying index and investment strategy are not available. KSM Mutual Funds Ltd. is an Israeli asset management company.,,,,TLV,XTAE,
KSM-F31.TA,KSM Mutual Funds Ltd. - KSM ETF(!)(4D) IBOVESPA,ILA,"KSM ETF(!)(4D) IBOVESPA is an exchange-traded fund managed by KSM Mutual Funds Ltd. that seeks to replicate the performance of the IBOVESPA index. The fund invests in a portfolio of Brazilian stocks included in the IBOVESPA index, providing exposure to the Brazilian equity market, and is based out of Israel. KSM Mutual Funds Ltd. is an Israeli asset management company.",,Emerging Markets,,TLV,XTAE,
