symbol,name,currency,summary,category_group,category,family,exchange,mic,isin
ACZ.TO,Middlefield American Core Dividend ETF,CAD,"The investment objectives of Core are to provide Core Unitholders with: (a) stable monthly cash distributions; and (b) long-term total return through capital appreciation of the Coreâs investment portfolio, through an investment strategy which focuses on a diversified, actively managed portfolio comprised primarily of dividend-paying securities with a focus on the Core Sectors.",Financials,Blend,Middlefield Limited,TOR,XTSE,
ALFA.TO,Accelerate Private Equity Alpha Fund,CAD,"Accelerate Private Equity Alpha Fund seeks to achieve long-term capital appreciation and to replicate the returns of private equity funds over the long term by investing primarily in listed equity securities that are expected to outperform the U.S. equity market, while entering into short positions in respect of listed equity securities in this market. ALFA uses derivatives to gain exposure to its short portfolio and borrows cash to increase its long equities portfolio. The amount of all cash borrowed to finance the purchase of equity securities and the aggregate notional amount of derivatives used for non-hedging purposes will not exceed the limits permitted under applicable securities legislation.",Financials,,Accelerate Financial Technologies,TOR,XTSE,
ARB.TO,Accelerate Arbitrage Fund,CAD,"Accelerate Arbitrage Fund (ARB) seeks to achieve long-term capital appreciation and a superior risk-adjusted return relative to the S&P Merger Arbitrage Index. ARB seeks to outperform the S&P Merger Arbitrage Index through an arbitrage investment strategy by investing primarily in listed equity, debt or derivative securities of target companies involved in mergers or corporate actions, while selling short certain listed equity, debt or derivative securities of acquirer companies involved in mergers or corporate actions, where applicable. The aggregate notional amount of derivatives used for non-hedging purposes will not exceed the limits permitted under applicable securities legislation. ARB has obtained exemptive relief to permit it to sell securities short up to an aggregate market value of 100% of ARBâs NAV.",Alternatives,,Accelerate Financial Technologies,TOR,XTSE,
ATSX.TO,Accelerate Enhanced Canadian Benchmark Alternative Fund,CAD,"Accelerate Absolute Return Hedge Fund seeks to achieve longterm capital appreciation and a superior risk-adjusted return relative to the broader Canadian equity market. HDGE seeks to outperform the Canadian equity market over the long term with lower volatility by investing primarily in listed equity securities that are expected to outperform this market, while selling short certain listed equity securities that are expected to underperform this market. The aggregate market value of the securities sold short will not exceed the limits permitted under applicable securities legislation.",Alternatives,,Accelerate Financial Technologies,TOR,XTSE,
AUGB-F.TO,First Trust Cboe Vest U.S. Equity Buffer ETF - August,CAD,"First Trust Cboe Vest U.S. Equity Buffer ETF â August seeks to provide the holders of Units (âUnitholdersâ) with returns (before fees, expenses and taxes and, in respect of the units only, any changes to the Canadian/U.S. dollar exchange rate) that match the price return of the SPDRÂ® S&P 500Â® ETF Trust (the âUnderlying ETFâ) up to a predetermined upside cap (before fees, expenses and taxes and, in respect of the units only, any changes to the Canadian/U.S. dollar exchange rate), while providing a buffer against the first 10% (before fees, expenses and taxes and, in respect of the units only, any changes to the Canadian/U.S. dollar exchange rate) of the decrease in market price of the Underlying ETF, over a period referred to as the âTarget Outcome Periodâ.",Real Estate,,First Trust Advisors,TOR,XTSE,
BASE-B.TO,Evolve Global Materials & Mining Enhanced Yield Index ETF Unhedged,CAD,"BASE seeks to replicate, to the extent reasonably possible and before fees and expenses, the performance of the Solactive Materials & Mining Index, or any successor thereto (the âBASE Indexâ), while mitigating downside risk. BASE invests directly or indirectly in equity securities of global issuers engaged in the manufacturing, mining and/or integration of metals and materials, while writing covered call options on up to 33% of the portfolio securities, at the discretion of the Manager. The level of covered call option writing may vary based on market volatility and other factors.",Materials,,Evolve Funds Group,TOR,XTSE,
BASE.TO,Evolve Global Materials & Mining Enhanced Yield Index ETF,CAD,"BASE seeks to replicate, to the extent reasonably possible and before fees and expenses, the performance of the Solactive Materials & Mining Index, or any successor thereto (the âBASE Indexâ), while mitigating downside risk. BASE invests directly or indirectly in equity securities of global issuers engaged in the manufacturing, mining and/or integration of metals and materials, while writing covered call options on up to 33% of the portfolio securities, at the discretion of the Manager. The level of covered call option writing may vary based on market volatility and other factors.",Materials,,Evolve Funds Group,TOR,XTSE,
BBIG-U.TO,Horizons Global BBIG Technology ETF,USD,Horizons Global BBIG Technology ETF is an exchange-traded fund. It invests in global technology companies. The ETF is managed by Horizons ETFs Management (Canada) Inc. and listed on the Toronto Stock Exchange.,Information Technology,,,TOR,XTSE,
BBIG.TO,Horizons Global BBIG Technology ETF,CAD,"BBIG seeks to replicate, to the extent possible and net of expenses, the performance of an index that is designed to provide exposure to the performance of publicly-listed large-cap and mid-cap global equities in the following industries: secondary battery, biotechnology, internet and gaming. Currently, the ETF seeks to replicate the performance of the Solactive Global BBIG Index, net of expenses.",Information Technology,,Horizons ETFs Management,TOR,XTSE,
BDEQ.TO,Black Diamond Global Equity Fund ETF,CAD,"The fundâs investment objectives are to provide unitholders with: (i) long-term capital growth, and (ii) current income. The fund will achieve its investment objectives by primarily investing in equity securities of companies anywhere in the world. The fund may also invest in other types of asset classes and securities that distribute, or may be expected to distribute, income. The fund will use leverage. The leverage may be created through the use of cash borrowings, short sales or derivative contracts. The fundâs leverage shall not exceed the limits on the use of leverage described in the âInvestment Strategiesâ section in this Simplified Prospectus or as otherwise permitted under applicable securities legislation. The fund will not change its fundamental investment objectives unless the consent of a majority of the fundâs unitholders has been obtained.",Equities,Developed Markets,Purpose Investments,TOR,XTSE,
BDIV.TO,Brompton Global Dividend Growth ETF,CAD,The investment objectives of Brompton Global Dividend Growth ETF are to provide Unitholders with: (a) stable monthly cash distributions, (b) the opportunity for capital appreciation, and (c) lower overall volatility of portfolio returns than would otherwise be experienced by owning securities of global Dividend Growth Companies (as defined herein) directly. The Brompton ETF seeks to hedge substantially all of its direct foreign currency exposure back to the Canadian dollar.,Equities,TOR,XTSE,
BDOP.TO,Black Diamond Distressed Opportunities Fund ETF,CAD,"The fundâs investment objectives are to provide unitholders with long-term capital growth. The fund will focus on distressed investment opportunities and, specifically, securities which appear to be trading below their estimated intrinsic value. The fund will achieve its investment objectives by investing in a broad range of foreign equities, domestic equities and fixed income securities. The fund may also invest in other types of securities of fixed income securities, including convertible and high-yield bonds and government securities of emerging or other countries. The fund will use leverage.",Alternatives,,Purpose Investments,TOR,XTSE,
BESG.TO,Invesco ESG Canadian Core Plus Bond ETF,CAD,"BESG seeks to provide investment returns through a combination of income and capital growth. This Invesco ETF invests, directly or indirectly, primarily in debt securities issued by Canadian federal, provincial or municipal governments and companies while integrating environmental, social and governance (ESG) criteria as part of the fundamental evaluation of investment opportunities.",Fixed Income,Corporate Bonds,Invesco Investment Management,TOR,XTSE,
BFIN-U.TO,Brompton North American Financials Dividend ETF,USD,"Brompton North American Financials Dividend ETF is an exchange-traded fund managed by Brompton Funds. The ETF invests primarily in a portfolio of North American financial services companies, including banks, insurance companies, and asset managers. It aims to provide investors with a consistent stream of dividend income and long-term capital appreciation.",Financials,,Brompton Funds,TOR,XTSE,
BFIN.TO,Brompton North American Financials Dividend ETF,CAD,"The investment objectives of Brompton North American Financials Dividend ETF are to provide Unitholders with: (a) stable monthly cash distributions; (b) the opportunity for capital appreciation; and (c) lower overall volatility of portfolio returns than would otherwise be experienced by owning securities of North American Financial Services Companies directly. The Brompton ETF seeks to hedge substantially all of its direct foreign currency exposure back to the Canadian dollar. However, any exposure that the Brompton ETFâs assets allocable to the USD Units have to foreign currencies will not be hedged back to the Canadian dollar.",Financials,,Brompton Funds,TOR,XTSE,
BGC.TO,Bristol Gate Concentrated Canadian Equity ETF,CAD,BGC seeks to generate long-term growth of income and capital by investing primarily in a concentrated portfolio of publicly-traded equity securities of Canadian companies that pay a dividend.,Financials,,Bristol Gate Capital Partners,TOR,XTSE,
BGU-U.TO,Bristol Gate Concentrated US Equity ETF,USD,Bristol Gate Concentrated US Equity ETF is an exchange-traded fund managed by Bristol Gate Capital Partners. The fund invests in a concentrated portfolio of primarily U.S. equities selected using a dividend growth investment strategy. It aims to provide long-term capital appreciation by focusing on companies with consistent dividend growth.,Financials,,Bristol Gate Capital Partners,TOR,XTSE,
BGU.TO,Bristol Gate Concentrated US Equity ETF,CAD,BGU seeks to generate long-term growth of income and capital by investing primarily in a concentrated portfolio of publicly-traded equity securities of U.S. companies that pay a dividend.,Financials,,Bristol Gate Capital Partners,TOR,XTSE,
BITC-U.TO,Ninepoint Bitcoin ETF,USD,"Ninepoint Bitcoin ETF is an exchange-traded fund that seeks to provide investors with exposure to Bitcoin. The fund holds substantially all of its assets in Bitcoin. The fund is managed by Ninepoint Partners LP, and provides investors with an easier means to own Bitcoin without directly managing private keys.",Alternatives,,Purpose Investments,TOR,XTSE,
BITI-U.TO,BetaPro Inverse Bitcoin ETF,USD,"BetaPro Inverse Bitcoin ETF is an exchange-traded fund that seeks to provide daily investment results, before fees, expenses, and taxes, which correspond to the inverse (opposite) of the daily performance of the Bitcoin. The fund uses financial instruments such as swap agreements to achieve its investment objective. Investors use this fund to profit from a decrease in Bitcoin's value or to hedge existing Bitcoin holdings.",Alternatives,,BetaShares Capital,TOR,XTSE,
