symbol,name,currency,summary,category_group,category,family,exchange,mic,isin
AM11.VI,Amundi Etf Istoxx Europe Multi Factor Market Neutral Ucits Etf,EUR,"Amundi ETF Istoxx Europe Multi Factor Market Neutral Ucits Etf is an exchange-traded fund (ETF) that aims to replicate the performance of the iStoxx Europe Multi Factor Market Neutral Index. The index selects stocks based on factors such as value, momentum, quality, and low volatility, while neutralizing market risk. Amundi is a French asset management company.",,,Amundi Asset Management,VIE,XWBO,FR0013284304
CS10.VI,ComStage - Dow Jones Switzerland Titans 30TM UCITS ETF,EUR,ComStage - Dow Jones Switzerland Titans 30TM UCITS ETF aims to track the performance of the Dow Jones Switzerland Titans 30 Index. The fund provides exposure to the 30 largest and most liquid Swiss stocks. ComStage is a brand of exchange-traded funds (ETFs).,Financials,Developed Markets,Deka Investment,VIE,XWBO,
CS11.VI,ComStage - ATX UCITS ETF,EUR,ComStage - ATX UCITS ETF aims to track the performance of the ATX (Austrian Traded Index). The fund provides exposure to the Austrian stock market. ComStage is a brand of exchange-traded funds (ETFs).,Financials,Developed Markets,Deka Investment,VIE,XWBO,LU0392496690
CS13.VI,Lyxor ETF DAX TR UCITS ETF,EUR,Lyxor ETF DAX TR UCITS ETF aims to track the performance of the DAX index. The fund provides exposure to the 30 largest and most liquid German stocks. Lyxor is a brand of exchange-traded funds (ETFs) managed by Amundi.,Financials,Developed Markets,Lyxor International Asset Management,VIE,XWBO,
CS14.VI,ComStage - PSI 20 UCITS ETF,EUR,ComStage - PSI 20 UCITS ETF aims to track the performance of the PSI 20 index. The fund provides exposure to the 20 largest and most liquid Portuguese stocks. ComStage is a brand of exchange-traded funds (ETFs).,Financials,Developed Markets,Deka Investment,VIE,XWBO,LU0444605215
CS15.VI,ComStage - SDAX® UCITS ETF,EUR,ComStage - SDAX® UCITS ETF aims to track the performance of the SDAX index. The fund provides exposure to small-cap German stocks. ComStage is a brand of exchange-traded funds (ETFs).,Financials,Small Cap,Deka Investment,VIE,XWBO,
CS17.VI,ComStage - MSCI Spain UCITS ETF,EUR,ComStage - MSCI Spain UCITS ETF aims to track the performance of the MSCI Spain index. The fund provides exposure to the Spanish stock market. ComStage is a brand of exchange-traded funds (ETFs).,Financials,Developed Markets,Deka Investment,VIE,XWBO,LU1104577314
CS18.VI,ComStage - NYSE Arca Gold BUGS UCITS ETF,EUR,ComStage - NYSE Arca Gold BUGS UCITS ETF seeks to track the NYSE Arca Gold BUGS (Basket of Unhedged Gold Stocks) Index. The index is comprised of companies involved in gold mining that do not hedge their gold production beyond 1.5 years. ComStage is a brand of exchange-traded funds (ETFs).,Materials,,Deka Investment,VIE,XWBO,LU0488317701
CS19.VI,ComStage - S&P Small Cap 600 UCITS ETF,EUR,ComStage - S&P Small Cap 600 UCITS ETF aims to track the performance of the S&P Small Cap 600 Index. The fund provides exposure to small-cap US stocks. ComStage is a brand of exchange-traded funds (ETFs).,Financials,Small Cap,Deka Investment,VIE,XWBO,
DB10.VI,Xtrackers ATX UC ETF 1C,EUR,"Xtrackers ATX UC ETF 1C is an exchange-traded fund (ETF) that aims to track the performance of the Austrian Traded Index (ATX). It allows investors to gain exposure to the Austrian stock market. The ETF is managed by Xtrackers, which is part of DWS Group.",Alternatives,,Xtrackers,VIE,XWBO,
