symbol,name,currency,summary,category_group,category,family,exchange,mic
0P0000U7V5.BE,PineBridge Global Funds - Global Emerging Markets Bond Fund A6H AUD Hedged,AUD,"PineBridge Global Funds - Global Emerging Markets Bond Fund A6H AUD Hedged is an emerging markets bond fund managed by PineBridge Investments, targeting Australian dollar investors and employing a hedging strategy. The fund invests in a diversified portfolio of bonds issued by governments and corporations in emerging market countries, while mitigating currency risk through hedging. PineBridge Investments is a global asset manager.",Fixed Income,Emerging Markets,PineBridge Investments Ireland Ltd,BER,XBER
0P0000UR84.BE,Janus Henderson Capital Funds plc - High Yield Fund Class A3m HAUD,AUD,"Janus Henderson Capital Funds plc - High Yield Fund Class A3m HAUD is a sub-fund of Janus Henderson Capital Funds plc, aiming to provide income and capital appreciation by investing primarily in high-yield debt securities globally, denominated in Australian Dollars (AUD). The fund is managed by Janus Henderson Investors, a global asset management firm headquartered in London, UK, focusing on delivering investment solutions to individuals, intermediaries and institutions. The fund aims to generate returns through active security selection and credit analysis, while managing risk through diversification and rigorous due diligence.",Fixed Income,High Yield Bonds,Janus Henderson Investors,BER,XBER
0P0000VKPL.BE,Russell Investment Company plc - Russell Investments Global High Yield Fund AUDH-B,AUD,"Russell Investment Company plc - Russell Investments Global High Yield Fund AUDH-B is a sub-fund of Russell Investment Company plc, domiciled in Ireland, focusing on global high-yield debt. The fund is denominated in Australian Dollars (AUDH) and the 'B' represents a specific share class. It aims to provide investors with exposure to higher-yielding corporate bonds globally.",Fixed Income,High Yield Bonds,Russell Investments Ireland Limited,BER,XBER
0P0000WFBJ.BE,Barings Global Umbrella Fund - Barings Developed and Emerging Markets High Yield Bd Fd A AUD H IncMD,AUD,"Barings Global Umbrella Fund - Barings Developed and Emerging Markets High Yield Bd Fd A AUD H IncMD is a high-yield bond fund investing in both developed and emerging market debt, managed by Barings. It is hedged to Australian Dollars (AUD) and distributes income monthly. Barings is a global investment management firm.",Fixed Income,High Yield Bonds,Baring International Fund Managers,BER,XBER
0P0000X1TU.BE,Janus Henderson Capital Funds plc - High Yield Fund Class V3m HAUD,AUD,"Janus Henderson Capital Funds plc - High Yield Fund Class V3m HAUD invests primarily in high-yield corporate bonds. It is a sub-fund of Janus Henderson Capital Funds plc. ""Class V3m HAUD"" denotes a specific share class, hedged to Australian dollars (AUD).",Fixed Income,High Yield Bonds,Janus Henderson Investors,BER,XBER
0P0000X4BA.BE,Russell Investment Company plc - Russell Investments Global High Yield Fund AUDH-B Income,AUD,"Russell Investment Company plc - Russell Investments Global High Yield Fund AUDH-B Income invests in global high-yield corporate bonds. It is managed by Russell Investments. ""AUDH-B Income"" signifies a specific share class hedged to Australian dollars (AUD) that distributes income.",Fixed Income,High Yield Bonds,Russell Investments Ireland Limited,BER,XBER
0P0000X4SI.BE,MI Somerset Emerging Markets Dividend Growth C Accumulation AUD shares,AUD,"MI Somerset Emerging Markets Dividend Growth C Accumulation AUD shares focuses on investing in dividend-paying companies within emerging markets, aiming to provide investors with capital appreciation and income. The fund is denominated in Australian dollars and offers an accumulation share class, meaning dividends are reinvested. The fund is managed by MI Somerset Capital Management.",Equities,Emerging Markets,Somerset Capital Management LLP,BER,XBER
0P0000YE5X.BE,Janus Henderson Capital Funds plc - Flexible Income Fund Class A3m HAUD,AUD,"Janus Henderson Capital Funds plc - Flexible Income Fund Class A3m HAUD invests in a range of income-generating assets with flexibility to adjust to changing market conditions, denominated in AUD. Janus Henderson Investors is a global asset management group. The fund aims to provide a consistent income stream while managing risk.",Fixed Income,Bonds,Janus Henderson Investors,BER,XBER
0P0000YE5Y.BE,Janus Henderson Capital Funds plc - Flexible Income Fund Class V3m HAUD,AUD,"Janus Henderson Capital Funds plc - Flexible Income Fund Class V3m HAUD invests in a range of income-generating assets with flexibility to adjust to changing market conditions, denominated in AUD. Janus Henderson Investors is a global asset management group. This share class differs from Class A in fees or accessibility.",Fixed Income,Bonds,Janus Henderson Investors,BER,XBER
0P0000YJV5.BE,PineBridge Global PineBridge Global Emerging Markets Local Currency Bond Fund A6HD,AUD,PineBridge Global PineBridge Global Emerging Markets Local Currency Bond Fund A6HD invests in emerging market bonds denominated in their local currencies. PineBridge Investments is a global asset manager. The fund seeks to provide income and capital appreciation by investing in emerging market debt.,Fixed Income,Emerging Markets,PineBridge Investments Ireland Ltd,BER,XBER
