symbol,name,currency,summary,category_group,category,family,exchange,mic
0P00005UNZ.BO,ICICI Prudential Asset Allocator Fund(FOF) Growth,INR,"ICICI Prudential Asset Allocator Fund (FOF) Growth is a fund of funds offered by ICICI Prudential Asset Management Company in India. It invests in a diversified portfolio of other ICICI Prudential mutual funds, aiming to provide investors with a balanced investment strategy across different asset classes. This particular option focuses on growth.",,Blend,ICICI Prudential Asset Management Company Limited,BSE,XBOM
0P00005UO4.BO,ICICI Prudential Multicap Fund Dividend Payout,INR,"ICICI Prudential Multicap Fund Dividend Payout is a mutual fund scheme offered by ICICI Prudential Asset Management Company in India. It invests in a diversified portfolio of companies across different market capitalizations (large, mid, and small-cap). It distributes dividends.",Equities,Fundss,ICICI Prudential Asset Management Company Limited,BSE,XBOM
0P00005UOC.BO,ICICI Prudential Short Term Fund Fortnightly Dividend Payout,INR,"ICICI Prudential Short Term Fund Fortnightly Dividend Payout is a debt fund offered by ICICI Prudential Asset Management Company in India. The fund invests in a portfolio of short-term debt instruments, aiming to provide investors with regular income. It distributes dividends every two weeks.",Fixed Income,Bonds,ICICI Prudential Asset Management Company Limited,BSE,XBOM
0P00005UR1.BO,SBI Magnum Gilt Fund PF Plan Fixed Period 3 year Growth,INR,"SBI Magnum Gilt Fund PF Plan Fixed Period 3 year Growth is a debt fund offered by SBI Funds Management Private Limited in India. It invests primarily in government securities (gilts) with a fixed maturity period of 3 years, and it is tailored for Provident Fund (PF) investments. It focuses on growth.",Fixed Income,Government Bonds,SBI Funds Management Private Limited,BSE,XBOM
0P00005USH.BO,SBI Consumption Opportunities Fund Regular Plan Dividend Payout,INR,SBI Consumption Opportunities Fund Regular Plan Dividend Payout is an equity fund offered by SBI Funds Management Private Limited in India. The fund focuses on investing in companies that are expected to benefit from the growth in consumption in India. It distributes dividends regularly.,Consumer Staples,Equities,SBI Funds Management Private Limited,BSE,XBOM
0P00005USL.BO,SBI Magnum Taxgain Scheme Regular Dividend Payout,INR,"SBI Magnum Taxgain Scheme Regular Dividend Payout is an equity linked savings scheme (ELSS) offered by SBI Funds Management Private Limited in India. This fund offers tax benefits under section 80C of the Income Tax Act, investing primarily in equities. It distributes dividends regularly.",Equities,Equities,SBI Funds Management Private Limited,BSE,XBOM
0P00005UTA.BO,Sundaram Corporate Bond Fund - Growth,INR,"Sundaram Corporate Bond Fund - Growth is a debt fund offered by Sundaram Asset Management Company in India. It invests primarily in corporate bonds, aiming to generate income and capital appreciation. This particular option focuses on growth.",Fixed Income,Corporate Bonds,Sundaram Asset Management Company Ltd,BSE,XBOM
0P00005UTQ.BO,Sundaram Money Fund Daily Dividend Reinvestment,INR,"Sundaram Money Fund Daily Dividend Reinvestment is a money market fund offered by Sundaram Asset Management Company in India. It invests in short-term debt instruments, aiming to provide investors with liquidity and stable returns. Dividends are reinvested daily.",Cash,Money Market Instruments,Sundaram Asset Management Company Ltd,BSE,XBOM
0P00005UTS.BO,Sundaram Money Fund Institutional Daily Dividend Reinvestment,INR,"Sundaram Money Fund Institutional Daily Dividend Reinvestment is a money market fund offered by Sundaram Asset Management Company in India, specifically designed for institutional investors. It invests in short-term debt instruments, providing liquidity and stable returns, with dividends reinvested daily.",Cash,Money Market Instruments,Sundaram Asset Management Company Ltd,BSE,XBOM
0P00005UU6.BO,Sundaram Rural and Consumption Fund Growth,INR,Sundaram Rural and Consumption Fund Growth is an equity fund offered by Sundaram Asset Management Company in India. It invests in companies that are expected to benefit from the growth in rural and urban consumption in India. This particular option focuses on growth.,Consumer Staples,Equities,Sundaram Asset Management Company Ltd,BSE,XBOM
0P00005UUJ.BO,Sundaram Mid Cap Growth,INR,Sundaram Mid Cap Growth is an equity fund offered by Sundaram Asset Management Company in India. It invests primarily in mid-sized companies with the potential for long-term growth. This particular option focuses on growth.,Equities,Mid Cap,Sundaram Asset Management Company Ltd,BSE,XBOM
0P00005UWA.BO,Tata Income Fund Regular Income Option Half Yearly Dividend Payout,INR,"Tata Income Fund Regular Income Option Half Yearly Dividend Payout is a debt fund offered by Tata Asset Management Private Limited in India. It invests in a mix of debt instruments, aiming to provide investors with regular income. It distributes dividends on a half-yearly basis.",Fixed Income,Bonds,Tata Asset Management Limited,BSE,XBOM
0P00005UWV.BO,Tata Equity Savings Regular Periodic Dividend Payout,INR,"Tata Equity Savings Regular Periodic Dividend Payout is a hybrid fund offered by Tata Asset Management Private Limited in India. It invests in a mix of equities, debt, and arbitrage opportunities, aiming to provide a balance of growth and income. It distributes dividends periodically.",,Blend,Tata Asset Management Limited,BSE,XBOM
0P00005UY1.BO,UTI Regular Savings Fund Regluar Plan Growth,INR,"UTI Regular Savings Fund Regluar Plan Growth is a hybrid fund offered by UTI Asset Management Company in India. It invests in a mix of equities and debt instruments, aiming to provide a balance of growth and income for regular savers. It focuses on growth.",Equities,Blend,UTI Asset Management Company Ltd,BSE,XBOM
0P00005UY2.BO,UTI Regular Savings Fund Regluar Plan Flexi Dividend Payout,INR,"UTI Regular Savings Fund Regluar Plan Flexi Dividend Payout is a hybrid fund offered by UTI Asset Management Company in India. It invests in a mix of equities and debt instruments, aiming to provide a balance of growth and income for regular savers. It distributes dividends with a flexi payout option.",Equities,Blend,UTI Asset Management Company Ltd,BSE,XBOM
0P00005UY3.BO,UTI Regular Savings Fund Regluar Plan Monthly Dividend Payout,INR,"UTI Regular Savings Fund Regluar Plan Monthly Dividend Payout is a hybrid fund offered by UTI Asset Management Company in India. It invests in a mix of equities and debt instruments, aiming to provide a balance of growth and income for regular savers. It distributes dividends on a monthly basis.",Equities,Blend,UTI Asset Management Company Ltd,BSE,XBOM
0P00005UY4.BO,UTI - Treasury Advantage Fund - Discontinued - Annaul Dividend Payout Option,INR,"UTI - Treasury Advantage Fund - Discontinued - Annaul Dividend Payout Option is a debt fund formerly offered by UTI Asset Management Company in India, which is now discontinued. It invested primarily in treasury bills and other short-term debt instruments. It distributed dividends annually.",Fixed Income,Treasury Bonds,UTI Asset Management Company Ltd,BSE,XBOM
0P00005UY5.BO,UTI - Treasury Advantage Fund - Discontinued Bonus Option,INR,"UTI - Treasury Advantage Fund - Discontinued Bonus Option is a debt fund formerly offered by UTI Asset Management Company in India, which is now discontinued. It invested primarily in treasury bills and other short-term debt instruments. It distributed bonus units.",Fixed Income,Treasury Bonds,UTI Asset Management Company Ltd,BSE,XBOM
0P00005UY7.BO,UTI - Treasury Advantage Fund - Discontinued Growth Option,INR,"UTI - Treasury Advantage Fund - Discontinued Growth Option is a debt fund formerly offered by UTI Asset Management Company in India, which is now discontinued. It invested primarily in treasury bills and other short-term debt instruments. It focused on growth.",Fixed Income,Treasury Bonds,UTI Asset Management Company Ltd,BSE,XBOM
