symbol,name,currency,summary,category_group,category,family,exchange,mic
0P00001AX4.HK,Allianz Global Investors Choice Fund - Allianz Choice Hong Kong Fund Ordinary B,HKD,"Allianz Global Investors Choice Fund - Allianz Choice Hong Kong Fund Ordinary B is a sub-fund of Allianz Global Investors Choice Fund, aiming to achieve long-term capital growth by investing primarily in equities of companies listed on the Hong Kong stock exchange. The fund is managed by Allianz Global Investors, a global asset management firm, and seeks to outperform its benchmark by actively selecting stocks based on fundamental analysis and market trends.",Equities,Equities,RCM Asia Pacific Limited,HKG,XHKG
0P00002BZS.HK,BOCHK China Golden Dragon,HKD,BOCHK China Golden Dragon is a fund offered by Bank of China (Hong Kong) that invests in companies with significant operations or connections to China. The fund aims to provide investors with exposure to the growth potential of the Chinese economy. It is denominated in HKD.,Equities,Emerging Markets,BOCI Asset Management,HKG,XHKG
0P00002C03.HK,Hang Seng Investment Series Hang Seng Property Sector Flexipower A Acc,HKD,"Hang Seng Investment Series Hang Seng Property Sector Flexipower A Acc is a fund that focuses on investing in the property sector within the Hong Kong market. Managed by Hang Seng Investment Management, it aims to provide capital appreciation by investing in companies involved in property development, investment, and management. It accumulates income.",Real Estate,Real Estate Services,Hang Seng Investment Management Ltd,HKG,XHKG
0P00002C2Q.HK,BOCHK HK Dollar Money Market,HKD,"BOCHK HK Dollar Money Market is a money market fund offered by Bank of China (Hong Kong). It primarily invests in short-term, high-quality debt instruments denominated in Hong Kong dollars (HKD). The fund aims to provide investors with a stable return while preserving capital.",Cash,Money Market Instruments,BOCI Asset Management,HKG,XHKG
0P00002C4X.HK,BOCHK Hong Kong Equity A HKD,HKD,"BOCHK Hong Kong Equity A HKD is a fund offered by Bank of China (Hong Kong) that invests primarily in equities listed on the Hong Kong Stock Exchange. The fund aims to provide investors with long-term capital appreciation by investing in a diversified portfolio of Hong Kong companies, denominated in HKD.",Equities,Equities,BOCI Asset Management,HKG,XHKG
0P000067PN.HK,Hang Seng Investment Series Hang Seng Financial Sector FlexiPower Fund A1,HKD,"Hang Seng Investment Series Hang Seng Financial Sector FlexiPower Fund A1 is a fund managed by Hang Seng Investment Management Limited, focusing on investments in the financial sector. The fund aims to provide investors with capital appreciation through a flexible investment strategy within the Hong Kong financial market. Hang Seng Investment Management Limited is based in Hong Kong.",Equities,Financials,Hang Seng Investment Management Ltd,HKG,XHKG
0P00007Z9R.HK,Hang Seng Consumer Sector Flexipower Fund A1,HKD,Hang Seng Consumer Sector Flexipower Fund A1 invests in companies listed on the Hong Kong stock exchange and companies in other Asian markets. This fund focuses on those businesses in the consumer discretionary and consumer staples sectors and aims to take advantage of trends within the consumer industry. The A1 share class indicates certain fee and minimum investment characteristics for this fund.,Consumer Discretionary,Consumer Discretionary,Hang Seng Investment Management Ltd,HKG,XHKG
0P00008SOK.HK,BCT (MPF) Pro Choice-BCT (Pro) E70 Mixed Asset Fund,HKD,"BCT (MPF) Pro Choice-BCT (Pro) E70 Mixed Asset Fund is a mandatory provident fund (MPF) scheme in Hong Kong, offering a mixed asset portfolio with approximately 70% exposure to equities. The fund aims to provide long-term capital appreciation by investing in a diversified mix of stocks and bonds. It caters to individuals seeking a balance between growth and stability within their retirement savings.",Equities,Blend,Bank Consortium,HKG,XHKG
0P00008SOL.HK,BCOM Joyful Retirement MPF Scheme-BCOM MPF Conservative Fund,HKD,BCOM Joyful Retirement MPF Scheme-BCOM MPF Conservative Fund is a conservative investment option within the BCOM Joyful Retirement MPF Scheme in Hong Kong. This fund primarily invests in lower-risk assets such as bonds and money market instruments. It aims to provide capital preservation and steady returns for members approaching retirement.,Fixed Income,Bonds,Bank of Communications Trustee,HKG,XHKG
0P00008SOM.HK,BCOM Joyful Retirement MPF Scheme-BCOM Guaranteed (CF) Fund,HKD,"BCOM Joyful Retirement MPF Scheme-BCOM Guaranteed (CF) Fund is a guaranteed fund option available within the BCOM Joyful Retirement MPF Scheme in Hong Kong. The fund aims to provide a guaranteed return on investment, typically with a low-risk investment strategy. It is designed for individuals seeking a secure and predictable return on their retirement savings.",Fixed Income,Alternative,Bank of Communications Trustee,HKG,XHKG
