symbol,name,currency,summary,category_group,category,family,exchange,mic
XAFA.JK,Pt Avrist Asset Management - Avrist ETF Fixed Rate Bond I,IDR,PT Avrist Asset Management - Avrist ETF Fixed Rate Bond I is an exchange-traded fund that aims to replicate the performance of the Indonesian government bond market with a fixed rate. The ETF invests in a portfolio of fixed-rate government bonds issued by the Republic of Indonesia. The fund is managed by PT Avrist Asset Management in Indonesia.,Fixed Income,Bonds,,JKT,XIDX
XAQA.JK,Reksa Dana Ashmore Etf Lq45 Alpha,IDR,"Reksa Dana Ashmore ETF LQ45 Alpha is an exchange-traded fund that aims to outperform the LQ45 Index, which comprises the 45 most liquid stocks on the Indonesia Stock Exchange. The ETF seeks to generate alpha through active stock selection and portfolio construction. The fund is managed by Ashmore Asset Management Indonesia.",Equities,Equities,,JKT,XIDX
XBES.JK,Reksa Dana Indeks Bni - Am ETF MDCI ESG Leaders Indonesia Fund,IDR,"Reksa Dana Indeks Bni - Am ETF MDCI ESG Leaders Indonesia Fund is an Exchange Traded Fund (ETF) that tracks the performance of the MSCI ESG Leaders Indonesia Index. The index focuses on Indonesian companies with high Environmental, Social, and Governance (ESG) ratings. The fund is co-managed by BNI Asset Management and AmInvest.",Equities,Equities,,JKT,XIDX
XBID.JK,Batavia IDX30 ETF,IDR,"Batavia IDX30 ETF is an exchange-traded fund that aims to replicate the performance of the IDX30 index, which comprises 30 of the most liquid and largest companies listed on the Indonesia Stock Exchange. The ETF provides investors with a convenient way to gain exposure to the leading Indonesian stocks. The fund is managed by Batavia Prosperindo Aset Manajemen.",Equities,Equities,,JKT,XIDX
XBIN.JK,Reksa Dana Indeks Bahana ETF Bisnis - 27,IDR,"Reksa Dana Indeks Bahana ETF Bisnis-27 is an Exchange Traded Fund (ETF) that tracks the performance of the Bisnis-27 Index. The Bisnis-27 Index comprises 27 of the most liquid stocks selected by Bisnis Indonesia, a leading financial newspaper in Indonesia. The fund offers investors a diversified exposure to leading companies in the Indonesian stock market.",Equities,Equities,,JKT,XIDX
XBLQ.JK,Batavia Smart Liquid ETF,IDR,Batavia Smart Liquid ETF is an exchange-traded fund that aims to provide investors with exposure to a portfolio of liquid and actively traded stocks on the Indonesia Stock Exchange. The ETF employs a smart beta strategy to select and weight stocks based on factors such as liquidity and volatility. The fund is managed by Batavia Prosperindo Aset Manajemen.,Equities,Equities,,JKT,XIDX
XBNI.JK,PT BNI Asset Management - Bniam Nusantara Etf Msci Indonesia Equity Index,IDR,"PT BNI Asset Management - Bniam Nusantara Etf Msci Indonesia Equity Index is an exchange-traded fund (ETF) that tracks the performance of the MSCI Indonesia Equity Index. The fund aims to provide investors with a diversified exposure to the Indonesian equity market. The fund is managed by PT BNI Asset Management, a prominent asset management company in Indonesia.",Equities,Equities,,JKT,XIDX
XBSK.JK,Batavia SRI-KEHATI ETF,IDR,"Batavia SRI-KEHATI ETF is an Exchange Traded Fund (ETF) that tracks the performance of the SRI-KEHATI Index. The SRI-KEHATI Index comprises companies listed on the Indonesia Stock Exchange that demonstrate strong performance in sustainability and responsibility, measured by environmental, social, and governance (ESG) factors. The fund provides investors with exposure to companies that meet specific sustainability criteria.",Equities,Equities,,JKT,XIDX
XCID.JK,PT Ciptadana Asset Management - DIRE Properti Ritel Fund,IDR,,Real Estate,,,JKT,XIDX
XCLQ.JK,Reksa Dana Indeks Cipta ETF Index LQ45,IDR,"Reksa Dana Indeks Cipta ETF Index LQ45 is an exchange-traded fund that aims to replicate the performance of the LQ45 Index, which consists of 45 of the most liquid stocks on the Indonesia Stock Exchange. The ETF provides investors with a convenient way to gain exposure to the Indonesian equity market's leading companies. It is based and operates in Indonesia.",Equities,Equities,,JKT,XIDX
