symbol,name,currency,summary,category_group,category,family,exchange,mic
0P00000FM7.T,Lindsell Train Global Funds plc - Lindsell Train Japanese Equity Fund A Yen Acc,JPY,Lindsell Train Global Funds plc - Lindsell Train Japanese Equity Fund A Yen Acc invests primarily in Japanese equities. The fund accumulates income and is denominated in Yen. Lindsell Train is a UK-based investment management company.,Equities,Equities,Lindsell Train Ltd,JPX,XJPX
0P00000LLH.T,Comgest Growth Japan JPY Acc,JPY,,Equities,Growth,Comgest Asset Management Intl Ltd,JPX,XJPX
0P000010MW.T,PineBridge Global Funds - Japan Small Cap Equity Fund A3,JPY,"The PineBridge Global Funds - Japan Small Cap Equity Fund A3 is a fund managed by PineBridge Investments, a global asset manager headquartered in New York. The fund focuses on investing in small capitalization companies in Japan, aiming to achieve long-term capital appreciation. The fund utilizes a bottom-up investment approach to identify companies with strong growth potential.",Equities,Equities,PineBridge Investments Ireland Ltd,JPX,XJPX
0P00001EHL.T,Janus Selection - Forty I JPY,JPY,,Equities,United States,Janus Capital Trust Manager Limited,JPX,XJPX
0P000024Y8.T,SPARX Japan Fund Institutional,JPY,"SPARX Japan Fund Institutional is an equity fund that invests in Japanese equities. The fund is managed by SPARX Asset Management. The ""Institutional"" designation indicates that it is designed for institutional investors.",Equities,Equities,Bridge Fund Management Limited,JPX,XJPX
0P00006A1K.T,Russell Investment Company II plc - Russell Investments World Equity Fund TYA,JPY,"Russell Investment Company II plc - Russell Investments World Equity Fund TYA is a sub-fund of Russell Investment Company II plc, domiciled in Ireland, and managed by Russell Investments. The fund seeks to provide capital appreciation by investing in a diversified portfolio of global equities. Russell Investments is a global investment management firm.",Equities,Equities,Russell Investments Ireland Limited,JPX,XJPX
0P00007Y2J.T,PineBridge Global Funds - India Equity Fund Y3,JPY,"PineBridge Global Funds - India Equity Fund Y3 is a sub-fund of PineBridge Global Funds, specializing in investments in the Indian equity market. The fund aims to achieve capital appreciation by investing primarily in stocks of companies domiciled in or exercising the predominant part of their economic activity in India. The Y3 represents a specific share class within the fund with a particular fee structure.",Equities,Emerging Markets,PineBridge Investments Ireland Ltd,JPX,XJPX
0P0000G6A9.T,Lindsell Train Global Funds plc - Lindsell Train Japanese Equity Fund B Yen Inc,JPY,"The Lindsell Train Japanese Equity Fund focuses on investing in a concentrated portfolio of Japanese equities. The fund aims to generate long-term capital growth by investing in companies with strong brands, durable business models, and high returns on capital. Lindsell Train Limited, based in London, manages the fund with a long-term investment horizon.",Equities,Equities,Lindsell Train Ltd,JPX,XJPX
0P0000G6AA.T,Lindsell Train Global Funds plc - Lindsell Train Japanese Equity Fund B Yen Acc,JPY,"The Lindsell Train Japanese Equity Fund focuses on investing in a concentrated portfolio of Japanese equities. The fund aims to generate long-term capital growth by investing in companies with strong brands, durable business models, and high returns on capital. Lindsell Train Limited, based in London, manages the fund with a long-term investment horizon.",Equities,Equities,Lindsell Train Ltd,JPX,XJPX
0P0000K8ZI.T,Yuki Japan Rebounding Growth Fund JPY Inc,JPY,"Yuki Japan Rebounding Growth Fund JPY Inc is an investment fund focused on Japanese equities, aiming to capitalize on companies expected to experience a growth rebound. The fund is denominated in Japanese Yen (JPY) and distributes income to investors. The fund provides investors exposure to potential growth opportunities in the Japanese stock market.",Equities,Equities,Yuki Management & Research (YMR),JPX,XJPX
