symbol,name,currency,summary,category_group,category,family,exchange,mic
0P00000ANY.L,Sarasin IE GlobalSar - Dynamic (GBP) Class A Accumulating Shares,GBP,"Sarasin IE GlobalSar - Dynamic (GBP) Class A Accumulating Shares is a sub-fund of Sarasin Investment Funds ICVC, aiming for capital appreciation through global investment, primarily in equities. The fund is denominated in GBP and reinvests income. Sarasin Asset Management manages the fund, based in London.",Equities,Equities,Sarasin Funds Management (Ireland) Ltd.,LSE,XLON
0P00000C3C.L,Man Stockmarket Managed Fund Retail Accumulation Shares (Class A),GBP,"Man Stockmarket Managed Fund Retail Accumulation Shares (Class A) is a fund managed by Man Group, focusing on stock market investments with the aim of achieving capital growth. It is a retail fund and the 'Accumulation Shares' designation indicates that any income generated is reinvested within the fund. Man Group is a global investment management firm headquartered in London.",Equities,Equities,Man Fund Management UK Limited,LSE,XLON
0P00000C8O.L,Jupiter Ecology Fund L Inc,GBP,"Jupiter Ecology Fund L Inc is a fund focused on environmentally conscious investments, aiming for long-term capital growth by investing in companies that contribute to or benefit from environmental sustainability. It is an income-producing fund (""Inc""), meaning it distributes dividends to investors. Jupiter Asset Management, headquartered in London, manages the fund.",Equities,Equities,Jupiter Unit Trust Managers Ltd,LSE,XLON
0P00000C9J.L,Jupiter UK Special Situations Fund L Inc,GBP,"Jupiter UK Special Situations Fund L Inc is a fund that invests primarily in UK companies, seeking to identify those that are undervalued or undergoing significant change, with the goal of generating capital growth. It is an income-producing fund (""Inc""), meaning it distributes dividends to investors. Jupiter Asset Management, headquartered in London, manages the fund.",Equities,Equities,Jupiter Unit Trust Managers Ltd,LSE,XLON
0P00000CCK.L,Artemis SmartGARP Global Equity Fund Class R Acc GBP,GBP,"Artemis SmartGARP Global Equity Fund Class R Acc GBP is a global equity fund managed by Artemis Investment Management, using a Smart Growth At a Reasonable Price (GARP) investment strategy. The fund is denominated in GBP and reinvests income ('Acc'). Artemis Investment Management is based in London.",Equities,Equities,Artemis Fund Managers Limited,LSE,XLON
0P00000CCO.L,Artemis SmartGARP UK Equity Fund Class R Acc GBP,GBP,"Artemis SmartGARP UK Equity Fund Class R Acc GBP is a UK equity fund managed by Artemis Investment Management, utilizing a Smart Growth At a Reasonable Price (GARP) investment strategy. The fund is denominated in GBP and reinvests income ('Acc'). Artemis Investment Management is based in London.",Equities,Equities,Artemis Fund Managers Limited,LSE,XLON
0P00000CM6.L,LF Ruffer Equity &amp; General Fund O Accumulation,GBP,"LF Ruffer Equity &amp; General Fund O Accumulation is a fund managed by Liontrust Fund Partners LLP, investing in a mix of equities and other asset classes. The fund aims to provide long-term capital growth and capital preservation. Liontrust Asset Management is based in London.",Equities,Equities,Ruffer LLP (Link),LSE,XLON
0P00000CR5.L,AXA Framlington Managed Balanced R GBPAcc,GBP,"AXA Framlington Managed Balanced R GBPAcc is a balanced fund managed by AXA Investment Managers, investing in a mix of equities and fixed income. The fund is denominated in GBP and reinvests income ('Acc'). AXA Investment Managers is a global asset management company headquartered in Paris.",Equities,Blend,AXA Investment Managers,LSE,XLON
0P00000D7Z.L,Man GLG Japan CoreAlpha Fund Retail Accumulation Shares (Class A),GBP,"Man GLG Japan CoreAlpha Fund Retail Accumulation Shares (Class A) is a fund managed by Man GLG, focusing on Japanese equities using a core alpha investment strategy. It is a retail fund, and the 'Accumulation Shares' designation indicates that any income generated is reinvested within the fund. Man GLG is a global investment management firm headquartered in London.",Equities,Equities,Man Fund Management UK Limited,LSE,XLON
0P00000DCM.L,SVS BambuBlack Asia Income and Growth Fund A Class Income Units,GBP,"SVS BambuBlack Asia Income and Growth Fund A Class Income Units is a fund focusing on Asian investments with an income and growth strategy, managed by SVS Asset Management. The fund aims to provide investors with a combination of dividend income and capital appreciation. SVS Asset Management is based in the UK.",Equities,Equities,Smith&Williamson Fund Administration Ltd,LSE,XLON
