symbol,name,currency,summary,category_group,category,family,exchange,mic
ES0102562008.MC,"IBERCAJA EMERGENTES, CLASE B",EUR,,Equities,Emerging Markets,,MCE,XMAD
ES0102562032.MC,IBERCAJA EMERGENTES,EUR,,Equities,Emerging Markets,,MCE,XMAD
ES0102563030.MC,IBERCAJA CAPITAL EUROPA,EUR,,Equities,Developed Markets,,MCE,XMAD
ES0102564038.MC,IBERCAJA RENTA INTERNACIONAL,EUR,,Fixed Income,Bonds,,MCE,XMAD
ES0105002002.MC,CAIXABANK AHORRO ESTANDAR,EUR,,Cash,Money Market Instruments,,MCE,XMAD
ES0105002010.MC,CAIXABANK AHORRO PLUS,EUR,,Cash,Money Market Instruments,,MCE,XMAD
ES0105002028.MC,CAIXABANK AHORRO INSTITUCIONAL,EUR,,Cash,Money Market Instruments,,MCE,XMAD
ES0105002036.MC,CAIXABANK AHORRO PREMIUM,EUR,,Cash,Money Market Instruments,,MCE,XMAD
ES0105002044.MC,CAIXABANK AHORRO CARTERA,EUR,"CAIXABANK AHORRO CARTERA is a savings portfolio product offered by CaixaBank, a Spanish financial services company. The fund aims to provide a savings solution with potentially varying levels of risk and return depending on its specific investment strategy. CaixaBank is headquartered in Valencia, Spain and offers a range of banking and investment products.",Cash,Cash,,MCE,XMAD
ES0105011037.MC,ABANTE BOLSA,EUR,"ABANTE BOLSA is a Spanish equity fund offered by Abante Asesores, a wealth management and financial advisory firm. The fund invests primarily in Spanish stocks aiming to generate capital appreciation. Abante Asesores is headquartered in Madrid, Spain and provides financial planning and asset management services.",Equities,Equities,,MCE,XMAD
ES0105013009.MC,ABANTE PATRIMONIO GLOBAL I,EUR,"ABANTE PATRIMONIO GLOBAL I is a global asset allocation fund offered by Abante Asesores. It invests in a diversified portfolio of global assets, including equities and bonds, to achieve long-term capital growth. Abante Asesores is based in Madrid, Spain, and specializes in wealth management.",Equities,Alternative,,MCE,XMAD
ES0105013033.MC,ABANTE PATRIMONIO GLOBAL A,EUR,"ABANTE PATRIMONIO GLOBAL A is a global asset allocation fund offered by Abante Asesores. It invests in a diversified portfolio of global assets, including equities and bonds, to achieve long-term capital growth. Abante Asesores is based in Madrid, Spain, and specializes in wealth management.",Equities,Alternative,,MCE,XMAD
ES0105142006.MC,SABADELL EMERGENTE MIXTO FLEXIB,EUR,"SABADELL EMERGENTE MIXTO FLEXIB is a mixed flexible fund from Sabadell Asset Management, focusing on emerging markets. The fund invests in a combination of asset classes, such as stocks and bonds, with flexibility to adjust allocations based on market conditions within emerging economies. Sabadell Asset Management is a Spanish asset manager.",Equities,Emerging Markets,,MCE,XMAD
ES0105142014.MC,SABADELL EMERGENTE MIXTO FLEXIB,EUR,"SABADELL EMERGENTE MIXTO FLEXIB is a mixed flexible fund from Sabadell Asset Management, focusing on emerging markets. The fund invests in a combination of asset classes, such as stocks and bonds, with flexibility to adjust allocations based on market conditions within emerging economies. Sabadell Asset Management is a Spanish asset manager.",Equities,Emerging Markets,,MCE,XMAD
ES0105142022.MC,SABADELL EMERGENTE MIXTO FLEXIB,EUR,"SABADELL EMERGENTE MIXTO FLEXIB is a mixed flexible fund from Sabadell Asset Management, focusing on emerging markets. The fund invests in a combination of asset classes, such as stocks and bonds, with flexibility to adjust allocations based on market conditions within emerging economies. Sabadell Asset Management is a Spanish asset manager.",Equities,Emerging Markets,,MCE,XMAD
ES0105142030.MC,SABADELL EMERGENTE MIXTO FLEXIB,EUR,"SABADELL EMERGENTE MIXTO FLEXIB is a mixed flexible fund from Sabadell Asset Management, focusing on emerging markets. The fund invests in a combination of asset classes, such as stocks and bonds, with flexibility to adjust allocations based on market conditions within emerging economies. Sabadell Asset Management is a Spanish asset manager.",Equities,Emerging Markets,,MCE,XMAD
ES0105142048.MC,SABADELL EMERGENTE MIXTO PLEXIB,EUR,"SABADELL EMERGENTE MIXTO PLEXIB is a mixed flexible fund offered by Sabadell Asset Management with a focus on emerging markets. It invests in a mix of assets like equities and fixed income, with flexibility in allocation depending on market conditions. Sabadell Asset Management is a Spanish firm providing investment solutions.",Equities,Emerging Markets,,MCE,XMAD
ES0105142055.MC,SABADELL EMERGENTE MIXTO FLEX. ,EUR,"SABADELL EMERGENTE MIXTO FLEX. is a mixed flexible fund offered by Sabadell Asset Management with a focus on emerging markets. It invests in a mix of assets like equities and fixed income, with flexibility in allocation depending on market conditions. Sabadell Asset Management is a Spanish firm providing investment solutions.",Equities,Emerging Markets,,MCE,XMAD
ES0105182002.MC,CAIXABANK BOLSA GESTI.N ESPANA ,EUR,CAIXABANK BOLSA GESTI.N ESPANA is a Spanish equity fund managed by CaixaBank Asset Management. The fund invests primarily in Spanish stocks with the goal of achieving capital appreciation. CaixaBank is a Spanish financial institution headquartered in Valencia.,Equities,Equities,,MCE,XMAD
ES0105182010.MC,CAIXABANK BOLSA GEST.ESPANA PRE,EUR,"CAIXABANK BOLSA GEST.ESPANA PRE is a Spanish equity fund managed by CaixaBank Asset Management, potentially a premium version. The fund invests primarily in Spanish stocks aiming for capital appreciation. CaixaBank is a Spanish financial institution headquartered in Valencia.",Equities,Equities,,MCE,XMAD
ES0105182028.MC,CAIXABANK BOLSA GESTI.N ESPANA ,EUR,CAIXABANK BOLSA GESTI.N ESPANA is a Spanish equity fund managed by CaixaBank Asset Management. The fund invests primarily in Spanish stocks with the goal of achieving capital appreciation. CaixaBank is a Spanish financial institution headquartered in Valencia.,Equities,Equities,,MCE,XMAD
ES0105182036.MC,CAIXABANK BOLSA GESTI.N ESPANA,EUR,CAIXABANK BOLSA GESTI.N ESPANA is a Spanish equity fund managed by CaixaBank Asset Management. The fund invests primarily in Spanish stocks with the goal of achieving capital appreciation. CaixaBank is a Spanish financial institution headquartered in Valencia.,Equities,Equities,,MCE,XMAD
ES0105207007.MC,ACACIA INVERMIX 30-60 (C LASE O,EUR,"ACACIA INVERMIX 30-60 (C LASE O) is a mixed asset fund offered by Acacia Inversión SGIIC, with an asset allocation between 30% and 60% invested in equities. The fund seeks a balance between capital appreciation and risk mitigation. Acacia Inversión SGIIC is a Spanish asset management company.",Equities,Blend,,MCE,XMAD
ES0105207015.MC,ACACIA INVERMIX 30-60 -PLATA,EUR,"ACACIA INVERMIX 30-60 -PLATA is a mixed asset fund offered by Acacia Inversión SGIIC, with an asset allocation between 30% and 60% invested in equities, and a ""Plata"" (Silver) share class. The fund seeks a balance between capital appreciation and risk mitigation. Acacia Inversión SGIIC is a Spanish asset management company.",Equities,Blend,,MCE,XMAD
ES0105207023.MC,ACACIA INVERMIX 30-60 -PLTNO,EUR,"ACACIA INVERMIX 30-60 -PLTNO is a mixed asset fund offered by Acacia Inversión SGIIC, with an asset allocation between 30% and 60% invested in equities, and a ""Platino"" (Platinum) share class. The fund seeks a balance between capital appreciation and risk mitigation. Acacia Inversión SGIIC is a Spanish asset management company.",Equities,Blend,,MCE,XMAD
ES0105234001.MC,BOWCAPITAL GLOBAL FUND,EUR,"BOWCAPITAL GLOBAL FUND is a global investment fund managed by BowCapital, an investment management company. The fund invests in a diversified portfolio of global assets, including equities, fixed income, and alternative investments. BowCapital aims to provide investors with long-term capital appreciation through strategic asset allocation.",Equities,Alternative,,MCE,XMAD
ES0105235008.MC,GESIURIS MIXED CONSERVATIVE,EUR,"GESIURIS MIXED CONSERVATIVE is a conservative mixed asset fund managed by Gesiuris Asset Management, a Spanish firm. The fund invests in a mix of fixed income and equities with a focus on capital preservation and lower volatility. Gesiuris aims to provide steady returns with a conservative investment approach.",Equities,Blend,,MCE,XMAD
ES0105243002.MC,ACACIA BONOMIX,EUR,"ACACIA BONOMIX is a fixed income fund offered by Acacia Inversión SGIIC, a Spanish asset management firm. The fund invests primarily in bonds with the objective of generating income and preserving capital. Acacia Inversión SGIIC is based in Spain.",Fixed Income,Bonds,,MCE,XMAD
ES0105243010.MC,ACACIA BONOMIX FI ORO,EUR,"ACACIA BONOMIX FI ORO is a fixed income fund offered by Acacia Inversión SGIIC, potentially with exposure to gold-related investments, and is managed by a Spanish firm. The fund invests primarily in bonds with the objective of generating income and preserving capital, while possibly incorporating gold as a diversifier or hedge. Acacia Inversión SGIIC is based in Spain.",Fixed Income,Bonds,,MCE,XMAD
