symbol,name,currency,summary,category_group,category,family,exchange,mic
0P0000Q80F.MX,Multifondo de Previsi&#195;&#179;n 3 Banorte Generali SIEFORE SA de CV S.I.E.F.R. B201,MXN,"Multifondo de Previsión 3 Banorte Generali SIEFORE SA de CV S.I.E.F.R. B201 is a Mexican pension fund (SIEFORE) managed by Banorte Generali. It's designed for individuals with a specific risk profile and investment horizon, with ""Multifondo de Previsión 3"" indicating a particular investment strategy. The fund invests in a mix of assets to generate returns for retirement savings.",Financials,Miscellaneous,Afore,MEX,XMEX
0P0000Q863.MX,SIEFORE PMX-SAR SA de CV S.I.E.F.R. A2,MXN,SIEFORE PMX-SAR SA de CV S.I.E.F.R. A2 is a Mexican pension fund (SIEFORE) managed by PMX-SAR. It is designed for workers under the SAR (Sistema de Ahorro para el Retiro) scheme and focuses on a specific risk profile and investment horizon. The fund invests in a mix of assets to generate returns for retirement savings.,Financials,Miscellaneous,Afore,MEX,XMEX
0P0000Q864.MX,SIEFORE PMX-SAR SA de CV S.I.E.F.R. B2,MXN,SIEFORE PMX-SAR SA de CV S.I.E.F.R. B2 is a Mexican pension fund (SIEFORE) managed by PMX-SAR. It is intended for workers under the SAR (Sistema de Ahorro para el Retiro) scheme. The fund follows a specific investment strategy to generate retirement savings.,Financials,Miscellaneous,Afore,MEX,XMEX
0P0000Q86P.MX,Fondo Profuturo LP SA de CV S.I.E.F.R. B2,MXN,"Fondo Profuturo LP SA de CV S.I.E.F.R. B2 is a Mexican pension fund (SIEFORE) managed by Profuturo. It's structured for long-term investment (""LP"") and aims to provide retirement savings for its members. The fund follows a defined investment strategy to achieve its goals.",Financials,Miscellaneous,Afore,MEX,XMEX
0P0000Q87F.MX,SIEFORE Banamex de Aportaciones Voluntarias SA de CV S.I.E.F.R. B,MXN,SIEFORE Banamex de Aportaciones Voluntarias SA de CV S.I.E.F.R. B is a Mexican pension fund (SIEFORE) managed by Banamex that focuses on voluntary contributions. It allows individuals to supplement their mandatory retirement savings. The fund invests these voluntary contributions to grow retirement assets.,Financials,Miscellaneous,Afore,MEX,XMEX
0P0000Q87G.MX,SIEFORE Banamex de Aportaciones Voluntarias Plus SA de CV S.I.E.F.R. A,MXN,SIEFORE Banamex de Aportaciones Voluntarias Plus SA de CV S.I.E.F.R. A is a Mexican pension fund (SIEFORE) managed by Banamex that focuses on voluntary contributions with an enhanced investment strategy (Plus). It is designed for individuals seeking to supplement their mandatory retirement savings. The fund aims to provide potentially higher returns through a more aggressive investment approach.,Financials,Miscellaneous,Afore,MEX,XMEX
0P0000Q87H.MX,SIEFORE Banamex de Aportaciones Voluntarias Plus SA de CV S.I.E.F.R. B,MXN,SIEFORE Banamex de Aportaciones Voluntarias Plus SA de CV S.I.E.F.R. B is a Mexican pension fund (SIEFORE) managed by Banamex that focuses on voluntary contributions with an enhanced investment strategy (Plus). It enables individuals to increase their retirement savings. The fund aims for potentially higher returns through a defined investment approach using voluntary contributions.,Financials,Miscellaneous,Afore,MEX,XMEX
0P0000Q88N.MX,Multifondo de Previsi&#195;&#179;n 1 XXI Banorte SIEFORE SA de CV S.I.E.F.R. B2C1,MXN,"Multifondo de Previsión 1 XXI Banorte SIEFORE SA de CV S.I.E.F.R. B2C1 is a Mexican pension fund (SIEFORE) managed by XXI Banorte. It is part of a multifondo structure, with ""1"" indicating a specific risk profile and investment horizon for younger workers. The fund invests in a diversified portfolio to generate returns for retirement savings.",Financials,Miscellaneous,Afore,MEX,XMEX
0P0000Q88O.MX,Multifondo de Previsi&#195;&#179;n 1 XXI Banorte SIEFORE SA de CV S.I.E.F.R. B2C2,MXN,"Multifondo de Previsión 1 XXI Banorte SIEFORE SA de CV S.I.E.F.R. B2C2 is a Mexican pension fund (SIEFORE) managed by XXI Banorte. This is part of a multifondo structure, with ""1"" suggesting a risk profile for younger workers. It invests to generate returns for retirement.",Financials,Miscellaneous,Afore,MEX,XMEX
0P0000Q88P.MX,Multifondo de Previsi&#195;&#179;n 1 XXI Banorte SIEFORE SA de CV S.I.E.F.R. B2LP1,MXN,"Multifondo de Previsión 1 XXI Banorte SIEFORE SA de CV S.I.E.F.R. B2LP1 is a Mexican pension fund (SIEFORE) managed by XXI Banorte. The ""1"" in the name indicates a specific risk profile and investment timeline. The fund is invested in a diversified portfolio designed to secure long-term retirement savings.",Financials,Miscellaneous,Afore,MEX,XMEX
0P0000Q88Q.MX,Multifondo de Previsi&#195;&#179;n 1 XXI Banorte SIEFORE SA de CV S.I.E.F.R. B2LP2,MXN,"Multifondo de Previsión 1 XXI Banorte SIEFORE SA de CV S.I.E.F.R. B2LP2 is a Mexican pension fund (SIEFORE) managed by XXI Banorte. It's designed for younger workers (""1"") with a long-term investment horizon. The fund aims to generate returns for retirement through a defined investment strategy.",Financials,Miscellaneous,Afore,MEX,XMEX
0P0000Q88R.MX,Multifondo de Previsi&#195;&#179;n 1 XXI Banorte SIEFORE SA de CV S.I.E.F.R. B2O01,MXN,"Multifondo de Previsión 1 XXI Banorte SIEFORE SA de CV S.I.E.F.R. B2O01 is a Mexican pension fund (SIEFORE) managed by XXI Banorte. As part of the ""Multifondo de Previsión 1"" series, it caters to younger workers with a long-term focus. The fund aims to grow retirement savings by investing in a mix of assets.",Financials,Miscellaneous,Afore,MEX,XMEX
0P0000Q88T.MX,Multifondo de Previsi&#195;&#179;n 1 XXI Banorte SIEFORE SA de CV S.I.E.F.R. B2P00,MXN,"Multifondo de Previsión 1 XXI Banorte SIEFORE SA de CV S.I.E.F.R. B2P00 is a Mexican pension fund (SIEFORE) managed by XXI Banorte. The ""1"" in the name signifies a specific risk profile and investment horizon suitable for younger investors. It invests in a diverse portfolio to generate returns for retirement.",Financials,Miscellaneous,Afore,MEX,XMEX
0P0000Q88U.MX,Multifondo de Previsi&#195;&#179;n 1 XXI Banorte SIEFORE SA de CV S.I.E.F.R. B2P01,MXN,"Multifondo de Previsión 1 XXI Banorte SIEFORE SA de CV S.I.E.F.R. B2P01 is a Mexican pension fund (SIEFORE) managed by XXI Banorte. It's a part of the Multifondo 1 series, designed for younger workers with a long-term investment horizon. The fund is managed to accumulate retirement savings.",Financials,Miscellaneous,Afore,MEX,XMEX
0P0000Q88V.MX,Multifondo de Previsi&#195;&#179;n 1 XXI Banorte SIEFORE SA de CV S.I.E.F.R. B2P02,MXN,"Multifondo de Previsión 1 XXI Banorte SIEFORE SA de CV S.I.E.F.R. B2P02 is a Mexican pension fund (SIEFORE) managed by XXI Banorte. The ""1"" indicates a focus on younger workers and a long-term investment horizon. The fund aims to accumulate retirement savings through diverse investments.",Financials,Miscellaneous,Afore,MEX,XMEX
0P0000Q88W.MX,Multifondo de Previsi&#195;&#179;n 1 XXI Banorte SIEFORE SA de CV S.I.E.F.R. B2P03,MXN,"Multifondo de Previsión 1 XXI Banorte SIEFORE SA de CV S.I.E.F.R. B2P03 is a Mexican pension fund (SIEFORE) managed by XXI Banorte. It belongs to the Multifondo 1 series, designed for younger workers with a long-term investment strategy. The fund is managed to accumulate retirement savings over time.",Financials,Miscellaneous,Afore,MEX,XMEX
