symbol,name,currency,summary,category_group,category,family,exchange,mic
AAAAX,DWS RREEF Real Assets Fund - Class A,USD,"The DWS RREEF Real Assets Fund - Class A invests in a diversified portfolio of real assets, including real estate, infrastructure, and commodities. The fund seeks to provide investors with long-term capital appreciation and income by allocating capital across different real asset sectors. DWS Group, headquartered in Germany, manages the fund.",Real Estate,Commodities Broad Basket,DWS,NAS,
AAACX,A3 Alternative Credit Fund,USD,The A3 Alternative Credit Fund seeks to generate current income and long-term capital appreciation by investing in a diversified portfolio of alternative credit investments. The fund aims to provide investors with exposure to less traditional credit strategies. It is managed to navigate diverse market conditions and provide consistent returns.,Alternatives,Alternative,,NAS,
AAAEX,Virtus AllianzGI Health Sciences Fund Class P,USD,"The Virtus AllianzGI Health Sciences Fund Class P aims to provide long-term capital growth by investing primarily in companies in the health sciences industry. This includes companies involved in pharmaceuticals, biotechnology, medical devices, and healthcare services. The fund is managed by Allianz Global Investors, with Virtus Investment Partners serving as the distributor.",Health Care,Health Care,Virtus,NAS,
AAAFX,American Century One Choice Blend+ 2015 Portfolio Investor Class,USD,"The American Century One Choice Blend+ 2015 Portfolio Investor Class is a target-date fund designed for investors planning to retire around the year 2015. The fund's asset allocation becomes more conservative over time, shifting from a greater emphasis on stocks to a greater emphasis on bonds as the target date approaches. American Century Investments manages this fund.",Target Date,Target Date,American Investments,NAS,
AAAGX,Thrivent Large Cap Growth Fund Class A,USD,The Thrivent Large Cap Growth Fund Class A aims for long-term capital appreciation by investing primarily in a diversified portfolio of large-capitalization growth stocks. The fund seeks to identify companies with strong growth potential. Thrivent Asset Management is the investment advisor for the fund.,Equities,Growth,Thrivent Funds,NAS,
AAAHX,American Century Asset Allocation Portfolios Inc. - One Choice Blend 2015 Portfolio Fund,USD,"The American Century Asset Allocation Portfolios Inc. - One Choice Blend 2015 Portfolio Fund is a target-date fund designed for investors planning to retire around the year 2015. The fund's asset allocation becomes more conservative over time, shifting from a greater emphasis on stocks to a greater emphasis on bonds as the target date approaches. American Century Investments manages this fund.",Target Date,Target Date,,NAS,
AAAIX,American Century Strategic Allocation: Aggressive Fund I Class,USD,"The American Century Strategic Allocation: Aggressive Fund I Class seeks long-term capital appreciation through a diversified portfolio of investments. The fund uses an aggressive asset allocation strategy, investing primarily in stocks, with smaller allocations to bonds and other asset classes. American Century Investments manages the asset allocation strategy.",Equities,Equities,American Investments,NAS,
AAAJX,American Century One Choice Blend+ 2015 Portfolio A Class,USD,"The American Century One Choice Blend+ 2015 Portfolio A Class is a target-date fund designed for investors planning to retire around the year 2015. The fund's asset allocation becomes more conservative over time, shifting from a greater emphasis on stocks to a greater emphasis on bonds as the target date approaches. American Century Investments manages this fund.",Target Date,Target Date,American Investments,NAS,
AAAKX,American Century One Choice Blend+ 2015 Portfolio R Class,USD,"The American Century One Choice Blend+ 2015 Portfolio R Class is a target-date fund designed for investors planning to retire around the year 2015. The fund's asset allocation becomes more conservative over time, shifting from a greater emphasis on stocks to a greater emphasis on bonds as the target date approaches. American Century Investments manages this fund.",Target Date,Target Date,American Investments,NAS,
AAALX,American Century Asset Allocation Portfolios Inc. - One Choice Blend 2015 Portfolio Fund,USD,"The American Century Asset Allocation Portfolios Inc. - One Choice Blend 2015 Portfolio Fund is a target-date fund designed for investors planning to retire around the year 2015. The fund's asset allocation becomes more conservative over time, shifting from a greater emphasis on stocks to a greater emphasis on bonds as the target date approaches. American Century Investments manages this fund.",Target Date,Target Date,,NAS,
AAAMX,American Century Asset Allocation Portfolios Inc. - One Choice Blend 2020 Portfolio Fund,USD,"The American Century Asset Allocation Portfolios Inc. - One Choice Blend 2020 Portfolio Fund is a target-date fund designed for investors planning to retire around the year 2020. The fund's asset allocation becomes more conservative over time, shifting from a greater emphasis on stocks to a greater emphasis on bonds as the target date approaches. American Century Investments manages this fund.",Target Date,Target Date,,NAS,
