symbol,name,currency,summary,category_group,category,family,exchange,mic
0P00001NX3.NZ,Russell Investment Company plc - Russell Investments Global Bond Fund NZDH-A,NZD,"Russell Investment Company plc - Russell Investments Global Bond Fund NZDH-A is a fund that invests primarily in global bonds, seeking to provide income and capital appreciation. The fund is managed by Russell Investments, a global investment management firm.",Fixed Income,Fundss,Russell Investments Ireland Limited,NZE,XNZE
0P0000M1DU.NZ,Devon Trans-Tasman Fund,NZD,"Devon Trans-Tasman Fund is a fund managed by Devon Asset Management that invests in both Australia and New Zealand (""Trans-Tasman""). The fund seeks to achieve capital appreciation by investing in companies across various sectors within these two countries. It is domiciled in New Zealand.",Equities,Equities,Devon Funds Management,NZE,XNZE
0P0000WFBL.NZ,Barings Global Umbrella Fund - Barings Developed and Emerging Markets High Yield Bd Fd A NZD H IncMD,NZD,"Barings Global Umbrella Fund - Barings Developed and Emerging Markets High Yield Bd Fd A NZD H IncMD is a high-yield bond fund investing in both developed and emerging market debt, managed by Barings. It is hedged to New Zealand Dollars (NZD) and distributes income monthly. Barings is a global investment management firm.",Fixed Income,High Yield Bonds,Baring International Fund Managers,NZE,XNZE
0P00012GNR.NZ,Bentham Global Income Fund NZD,NZD,Bentham Global Income Fund NZD is a New Zealand-based fund that invests in global income-generating assets. The fund is managed by Bentham Asset Management and aims to provide investors with a consistent income stream. The fund is domiciled in New Zealand.,Fixed Income,Alternative,Challenger Ltd,NZE,XNZE
0P00012GNS.NZ,Bentham Wholesale Syndicated Loan NZD,NZD,Bentham Wholesale Syndicated Loan NZD is a New Zealand-based fund focused on investing in syndicated loans. The fund is managed by Bentham Asset Management and is offered to wholesale investors. The fund is domiciled in New Zealand.,Fixed Income,Alternative,Challenger Ltd,NZE,XNZE
0P00012M3A.NZ,Generate KiwiSaver Conservative Fund,NZD,Generate KiwiSaver Conservative Fund is a New Zealand-based KiwiSaver fund with a conservative investment approach. The fund is managed by Generate and aims to provide stable returns with lower risk. The fund is domiciled in New Zealand.,Fixed Income,Blend,Generate Investment Management Limited,NZE,XNZE
0P00012M3B.NZ,Generate KiwiSaver Focused Growth Fund,NZD,Generate KiwiSaver Focused Growth Fund is a New Zealand-based KiwiSaver fund with a growth-oriented investment approach. The fund is managed by Generate and aims to provide higher returns with higher risk. The fund is domiciled in New Zealand.,Equities,Growth,Generate Investment Management Limited,NZE,XNZE
0P00012M3C.NZ,Generate KiwiSaver Growth Fund,NZD,Generate KiwiSaver Growth Fund is a New Zealand-based KiwiSaver fund with a growth investment approach. The fund is managed by Generate and aims to provide growth with measured risk. The fund is domiciled in New Zealand.,Equities,Growth,Generate Investment Management Limited,NZE,XNZE
0P00014F7Q.NZ,Castle Point Ranger Fund,NZD,"Castle Point Ranger Fund is a fund managed by Castle Point Funds Management, a New Zealand based fund manager. It's an actively managed fund. Specific investment strategies would need to be clarified in the fund's documentation.",Equities,Australia,Castle Point Funds Management Limited,NZE,XNZE
0P00014ZOX.NZ,"Multi-Style, Multi-Manager Funds plc - The Global Real Estate Securities Fund NZDH Accumulation",NZD,"Multi-Style, Multi-Manager Funds plc - The Global Real Estate Securities Fund NZDH Accumulation is a real estate securities fund that invests globally using a multi-manager approach. The fund is managed by Multi-Style, Multi-Manager Funds plc and denominated in New Zealand dollars (hedged). The fund reinvests any income it earns.",Real Estate,REITs,Russell Investments Ireland Limited,NZE,XNZE
0P000165QN.NZ,Amundi HK Global Ageing Planet Opportunities Fund Class Classic NZD (hedged) - Distribution I,NZD,"Amundi HK Global Ageing Planet Opportunities Fund Class Classic NZD (hedged) - Distribution I is an equity fund that invests in companies expected to benefit from the global ageing population trend. The fund aims to provide long-term capital growth by investing in companies involved in healthcare, consumer goods, and financial services. It is managed by Amundi Asset Management and denominated in NZD with currency hedging, and distributes income.",Equities,Equities,Amundi Asset Management,NZE,XNZE
0P00017HOB.NZ,HSBC Collective Inv Trust - HSBC Euro Multi-Asset Income Fund AM3H-NZD,NZD,HSBC Collective Inv Trust - HSBC Euro Multi-Asset Income Fund AM3H-NZD is a unit trust offered by HSBC New Zealand. It invests in a diversified portfolio of Euro-denominated assets with a focus on income generation. Details can be found in its fund documentation.,Financials,Alternative,HSBC Global Asset Managemen,NZE,XNZE
0P0001F1R4.NZ,Clarity Dividend Yield Fund,NZD,"The Clarity Dividend Yield Fund aims to provide investors with a regular income stream and the potential for capital growth by investing primarily in a portfolio of dividend-paying equities. The fund focuses on identifying companies with a strong track record of paying dividends. Clarity Funds Management, a New Zealand-based firm, manages the fund.",Equities,Equities,Clarity Funds Management Limited,NZE,XNZE
0P0001F1R5.NZ,Clarity Fixed Income Fund,NZD,"The Clarity Fixed Income Fund aims to provide investors with a steady income stream by investing primarily in a portfolio of fixed income securities, such as government and corporate bonds. The fund seeks to preserve capital while generating a stable return. Clarity Funds Management, a New Zealand based firm, manages this fund.",Fixed Income,Bonds,Clarity Funds Management Limited,NZE,XNZE
0P0001F1R6.NZ,Clarity Global Shares Fund,NZD,"The Clarity Global Shares Fund seeks to provide long-term capital growth by investing primarily in a diversified portfolio of global equities. The fund aims to provide investors with exposure to a broad range of international companies and markets. Clarity Funds Management, a New Zealand-based firm, manages the fund.",Equities,Equities,Clarity Funds Management Limited,NZE,XNZE
0P0001HA7K.NZ,QuayStreet Altum Fund,NZD,"QuayStreet Altum Fund is a fund offered by QuayStreet Asset Management, a New Zealand-based investment firm. It invests in a diversified portfolio of assets, with the objective of achieving long-term capital growth. Specific details on the fund's strategy and asset allocation would require further information from QuayStreet.",Financials,Blend,QuayStreet Asset Management Limited,NZE,XNZE
0P0001HA7L.NZ,QuayStreet AU Equity Fund,NZD,"QuayStreet AU Equity Fund is a fund offered by QuayStreet Asset Management, a New Zealand-based investment firm, that focuses on investments in Australian equities. The fund aims to provide investors with exposure to the Australian stock market. Specific details on the fund's strategy and stock selection would require further information from QuayStreet.",Equities,Equities,QuayStreet Asset Management Limited,NZE,XNZE
