symbol,name,currency,summary,category_group,category,family,exchange,mic
0P00006FY5.SI,Nikko AM Shenton Thrift Fund,SGD,Nikko AM Shenton Thrift Fund is a fund managed by Nikko Asset Management. The fund aims to provide a steady stream of income while preserving capital. It invests in a diversified portfolio of fixed income instruments and equities.,Equities,Blend,Nikko Asset Management Asia Limited,SES,XSES
0P00006FY6.SI,Nikko AM Shenton Income Fund - SGD Class,SGD,"Nikko AM Shenton Income Fund - SGD Class is an income fund managed by Nikko Asset Management, with a focus on generating income in Singapore dollars. The fund invests in a diversified portfolio of fixed income securities and equities, aiming to provide a steady stream of income. The fund is designed for investors seeking income-generating opportunities.",Equities,Equities,Nikko Asset Management Asia Limited,SES,XSES
0P00006FYV.SI,LionGlobal Short Duration Bond Fund Class A (SGD) (Dist),SGD,"LionGlobal Short Duration Bond Fund Class A (SGD) (Dist) is a short duration bond fund managed by Lion Global Investors. The fund invests in a portfolio of short-term fixed income securities, aiming to provide a stable income stream in Singapore dollars. The distribution share class indicates that income is distributed to investors.",Fixed Income,Investment Grade Bonds,Lion Global Investors Ltd,SES,XSES
0P00006FZC.SI,LionGlobal Thailand Fund SGD,SGD,"LionGlobal Thailand Fund SGD is an equity fund managed by Lion Global Investors, focused on investments in the Thailand stock market. The fund aims to provide investors with exposure to the growth potential of the Thai economy. The fund is denominated in Singapore dollars, making it accessible to Singaporean investors.",Equities,Equities,Lion Global Investors Ltd,SES,XSES
0P00006FZD.SI,LionGlobal SGD Money Market Fund,SGD,"LionGlobal SGD Money Market Fund is a money market fund managed by Lion Global Investors. The fund invests in short-term, high-quality debt instruments denominated in Singapore dollars. The fund aims to provide a high degree of capital preservation and liquidity while generating income.",Cash,Money Market Instruments,Lion Global Investors Ltd,SES,XSES
0P00006FZR.SI,LionGlobal Singapore/Malaysia Fund SGD,SGD,LionGlobal Singapore/Malaysia Fund SGD is an equity fund managed by Lion Global Investors. The fund invests in companies listed in Singapore and Malaysia. It aims to provide investors with exposure to the economic growth of these two countries.,Equities,Equities,Lion Global Investors Ltd,SES,XSES
0P00006FZT.SI,LionGlobal South East Asia Fund SGD,SGD,LionGlobal South East Asia Fund SGD is an equity fund managed by Lion Global Investors. The fund invests in companies across Southeast Asia. It seeks to provide investors with exposure to the high-growth economies of the region.,Equities,Equities,Lion Global Investors Ltd,SES,XSES
0P00006FZY.SI,LionGlobal Singapore Balanced Fund SGD,SGD,LionGlobal Singapore Balanced Fund SGD is a balanced fund managed by Lion Global Investors. The fund invests in a mix of equities and fixed income securities in Singapore. It seeks to provide investors with a combination of capital appreciation and income.,Equities,Blend,Lion Global Investors Ltd,SES,XSES
0P00006G1V.SI,Nikko AM Shenton Global Opportunities Fund,SGD,Nikko AM Shenton Global Opportunities Fund is a global equity fund managed by Nikko Asset Management. The fund invests in a diversified portfolio of equities from around the world. It aims to achieve long-term capital appreciation.,Equities,Equities,Nikko Asset Management Asia Limited,SES,XSES
0P00006G2C.SI,Aberdeen Select Portfolio-Aberdeen Malaysian Equity Fund - SGD,SGD,Aberdeen Select Portfolio-Aberdeen Malaysian Equity Fund - SGD is an equity fund managed by Aberdeen Standard Investments. The fund invests primarily in Malaysian equities. It seeks to provide investors with exposure to the growth potential of the Malaysian economy.,Equities,Equities,Aberdeen Asset Management,SES,XSES
0P00006HY5.SI,UOB GrowthPath Portfolios - UOB GrowthPath Today,SGD,UOB GrowthPath Portfolios - UOB GrowthPath Today is a target date fund managed by UOB Asset Management. It is designed for investors who are currently in retirement or nearing retirement. The fund invests in a diversified portfolio of assets with a focus on generating income.,Equities,Blend,UOB Asset Management Ltd,SES,XSES
0P00006HY8.SI,UOB GrowthPath Portfolios - UOB GrowthPath 2030 Fund,SGD,"UOB GrowthPath Portfolios - UOB GrowthPath 2030 Fund is a target date fund managed by UOB Asset Management. It is designed for investors who are planning to retire around the year 2030. The fund invests in a diversified portfolio of assets, with a greater emphasis on growth assets in the earlier years and a shift towards more conservative assets as the target date approaches.",Equities,Blend,UOB Asset Management Ltd,SES,XSES
0P00006HYG.SI,UOB United Global Portfolios - United Singapore Bond Fund,SGD,UOB United Global Portfolios - United Singapore Bond Fund is a fixed income fund managed by UOB Asset Management. It invests primarily in Singapore government and corporate bonds. The fund aims to provide investors with a stable stream of income.,Fixed Income,Investment Grade Bonds,UOB Asset Management Ltd,SES,XSES
0P00006HYJ.SI,UOB United Global Telecoms Fund,SGD,UOB United Global Telecoms Fund is a sector-specific equity fund managed by UOB Asset Management. It invests in companies in the telecommunications industry around the world. The fund seeks to capitalize on the growth of the global telecoms sector.,Communication Services,Communications,UOB Asset Management Ltd,SES,XSES
