symbol,name,currency,summary,category_group,category,family,exchange,mic
0GKA.SG,Börslich handelbare Krügerrand,EUR,The exchange-traded Krugerrand (1oz) Gold Bond is a financial product that allows investors to invest in physical Krugerrand gold coins while benefiting from the advantages of a traded security.,Commodities,Commodities Broad Basket,,STU,XSTU
0LND.SG,XBT Provider Etherum EUR,EUR,"The CoinShares XBT Provider Ethereum Tracker Euro ETP (Ticker: COINETHE, ISIN: SE0010296582) is an exchange-traded product offering investors exposure to Ethereum's price movements without the complexities of direct cryptocurrency ownership. Launched in 2017 and denominated in euros, this ETP is listed on Nasdaq Stockholm, providing a regulated avenue for Ethereum investment.",Currencies,Alternative,,STU,XSTU
0LNE.SG,XBT XRP Tracker SEK,EUR,"The CoinShares XBT Provider XRP ETP (Ticker: COINXRP, ISIN: SE0011414481) is an exchange-traded product offering investors exposure to XRP's price movements without the complexities of direct cryptocurrency ownership. Launched in 2019 and denominated in Swedish kronor (SEK), this ETP is listed on the Nordic Growth Market Exchange, providing a regulated avenue for XRP investment.",Currencies,Alternative,,STU,XSTU
0LNF.SG,XBT XRP Tracker EUR,EUR,"The CoinShares XBT Provider XRP Tracker Euro ETP (Ticker: COINXRPE, ISIN: SE0011414473) is an exchange-traded product that offers investors exposure to XRP's price movements without the complexities of direct cryptocurrency ownership. Launched in 2019 and denominated in euros, this ETP is listed on the Nordic Growth Market Exchange, providing a regulated avenue for XRP investment.",Currencies,Alternative,,STU,XSTU
0LNG.SG,XBT Litecoin Tracker SEK,EUR,,Currencies,,,STU,XSTU
18M1.SG,AMUNDI ETF GOV 0-6 MONTHS EURMT,EUR,"AMUNDI ETF GOV 0-6 MONTHS EURMT is an exchange-traded fund (ETF) managed by Amundi, tracking government bonds with a maturity of 0-6 months denominated in Euro, and aims to provide investors with short-term exposure to Eurozone government debt.",Fixed Income,Government Bonds,,STU,XSTU
1GZA.SG,Green Effects - NAI Werte Fonds,EUR,"Green Effects - NAI Werte Fonds is a real estate fund managed by Green Effects in partnership with NAI, focusing on investments in real estate assets, and aims to generate income and capital appreciation through a diversified portfolio of properties.",Real Estate,Real Estate,,STU,XSTU
2B77.SG,iShares IV Public Limited Company - iShares Ageing Population UCITS ETF,EUR,"iShares IV Public Limited Company - iShares Ageing Population UCITS ETF is an exchange-traded fund (ETF) managed by iShares, providing exposure to companies that are expected to benefit from the ageing population demographic trend, and aims to track the performance of an index of companies that cater to the needs of older individuals.",Equities,Equities,,STU,XSTU
2B79.SG,iShares IV Public Limited Company - iShares Digitalisation UCITS ETF,EUR,"iShares IV Public Limited Company - iShares Digitalisation UCITS ETF is an exchange-traded fund (ETF) managed by iShares, providing exposure to companies that are expected to benefit from the digitalization trend, and aims to track the performance of an index of companies that are involved in digital technologies and services.",Equities,Technology,,STU,XSTU
2IM0.SG,ws-hc Fonds - Hanf Industrie Ak,EUR,"ws-hc Fonds - Hanf Industrie Ak is an equity fund managed by ws-hc Fonds, focused on investments in companies involved in the hemp industry, and seeks to capitalize on the growing market for hemp-related products and services.",Equities,Equities,,STU,XSTU
3BJ4.SG,WELTZINS-INVEST,EUR,"WELTZINS-INVEST is a fixed-income fund that invests globally, focusing on generating income through interest payments, and aims to provide investors with a diversified portfolio of debt securities from around the world.",Fixed Income,Bonds,,STU,XSTU
3PDB.SG,Paladin ONE,EUR,,,,,STU,XSTU
3PT3.SG,HYPOSWISS LUX-DANUBE TIGER-B,EUR,,,,,STU,XSTU
3SP2.SG,STARCAP SICAV-WINBONDS + AEUR,EUR,"STARCAP SICAV-WINBONDS + AEUR is a bond fund managed by STARCAP, investing in global bonds, and the ""+ AEUR"" indicates a specific share class denominated in Euro.",Fixed Income,Bonds,,STU,XSTU
3SP3.SG,STARCAPITAL STARS DEFENSIV-A,EUR,"STARCAPITAL STARS DEFENSIV-A is a defensive investment fund managed by StarCapital, aiming for capital preservation with low volatility, and the ""-A"" indicates a specific share class within the fund.",Financials,Alternative,,STU,XSTU
3SP4.SG,STARCAPITAL STARS FLEXIBEL-A,EUR,"STARCAPITAL STARS FLEXIBEL-A is a flexible investment fund managed by StarCapital, employing a dynamic asset allocation strategy, and the ""-A"" indicates a specific share class within the fund.",Financials,Alternative,,STU,XSTU
3SP5.SG,Prima - Kapitalaufbau Total Return Fund,EUR,"Prima - Kapitalaufbau Total Return Fund is a total return fund managed by Prima Asset Management, aiming to generate both capital appreciation and income, and seeks to achieve its investment objectives through a diversified portfolio of assets.",Financials,Alternative,,STU,XSTU
3SPG.SG,boerse.de-Weltfonds,EUR,"The boerse.de-Weltfonds is a global equity fund traded on the boerse.de exchange. It aims to provide investors with diversified exposure to the global equity market. The fund invests in a range of international companies, aiming for long-term capital appreciation.",Equities,Equities,,STU,XSTU
4GLD.SG,Xetra-Gold,EUR,"Xetra-Gold is a security representing a claim against allocated gold, providing investors with a way to participate in the performance of gold without physically owning it. Each Xetra-Gold share represents one gram of gold. The gold is held in custody by Clearstream Banking AG in Frankfurt, Germany.",Commodities,Commodities Broad Basket,,STU,XSTU
4I41.SG,LGT Select Eq.Emerg.Markets DL ,EUR,LGT Select Eq.Emerg.Markets DL is an equity fund that invests in emerging markets. The fund is managed by LGT Capital Management and provides investors access to a diversified portfolio of companies in developing countries. It aims to achieve long-term capital growth by identifying and investing in companies with strong growth potential within emerging markets.,Equities,Emerging Markets,,STU,XSTU
4N35.SG,Deka - CorporateBond Euro TF,EUR,"Deka - CorporateBond Euro TF is a fixed-income fund focused on investing in Euro-denominated corporate bonds. Managed by Deka, a German asset manager, the fund aims to provide investors with a steady stream of income and capital preservation. It invests in a diversified portfolio of corporate bonds issued by companies primarily located in the Eurozone.",Fixed Income,Corporate Bonds,,STU,XSTU
