symbol,name,currency,summary,category_group,category,family,exchange,mic
0P00006AAW.TW,The RSIT Enhanced Money Market Fund,TWD,"The RSIT Enhanced Money Market Fund is a money market fund managed by a Taiwanese asset manager, RSIT. The fund's goal is to provide a high level of current income while maintaining liquidity and preserving capital. It invests in short-term, high-quality debt instruments.",Cash,Money Market Instruments,"Reliance Securities InvTrust Co., Ltd",TAI,XTAI
0P00006ABY.TW,Eastspring Investments Well Pool Money Market Fund,TWD,"Eastspring Investments Well Pool Money Market Fund is a money market fund managed by Eastspring Investments in Taiwan. The fund aims to provide a high level of current income while preserving capital and maintaining liquidity. It invests in short-term, high-quality money market instruments.",Cash,Money Market Instruments,Eastspring Securities Invst Tr Co Ltd,TAI,XTAI
0P00006AC5.TW,UPAMC James Bond Money Market Fund,TWD,"UPAMC James Bond Money Market Fund is a money market fund managed by a Taiwanese asset manager, UPAMC. The fund invests in short-term, high-quality debt securities with the goal of providing current income while preserving capital. It is named ""James Bond"" as a marketing tactic.",Cash,Money Market Instruments,"Uni-President Asset Management Co., Ltd",TAI,XTAI
0P00006AD3.TW,FSITC Taiwan Money Market,TWD,"FSITC Taiwan Money Market is a money market fund managed by a Taiwanese asset manager, FSITC (First Securities Investment Trust Corp). The fund invests in short-term, high-quality debt instruments in the Taiwan market to provide current income and preserve capital. The fund aims for high liquidity.",Cash,Money Market Instruments,First Financial Holding Co Ltd,TAI,XTAI
0P00006AGI.TW,Fuh Hwa Olympic Global Fund,TWD,"Fuh Hwa Olympic Global Fund is a global investment fund managed by Fuh Hwa Securities Investment Trust Co., Ltd., a Taiwanese firm. The fund aims to capitalize on themes related to the Olympic Games and global growth trends. The fund's investment strategy involves selecting companies and sectors that are expected to benefit from these trends.",Equities,Equities,Fuh Hwa Securities Investment Tr Co Ltd,TAI,XTAI
0P00006AGT.TW,Franklin Templeton SinoAm Franklin Templeton Global Bond Fund of Funds-Accu.,TWD,"Franklin Templeton SinoAm Franklin Templeton Global Bond Fund of Funds-Accu. is a fund of funds managed by Franklin Templeton SinoAm Securities Investment Trust Co., Ltd. The fund invests in other Franklin Templeton global bond funds to provide investors with diversified exposure to the global fixed income market. The accumulation share class suggests that income is reinvested.",Fixed Income,Bonds,Franklin Templeton Asset Management,TAI,XTAI
0P00006AGW.TW,Fidelity Excellent Navigation Global Fund of Funds,TWD,"Fidelity Excellent Navigation Global Fund of Funds is a fund of funds managed by Fidelity in Taiwan. The fund invests in a range of global funds, providing investors with a diversified portfolio across different asset classes and geographies. The fund aims to achieve long-term capital appreciation through strategic asset allocation.",Equities,World,FIL Securities Invmt Trust Co. (TW) Ltd,TAI,XTAI
0P00006AHF.TW,FSITC Asian Technology,TWD,FSITC Asian Technology is a technology sector fund managed by First Securities Investment Trust Corp. (FSITC) in Taiwan. The fund invests in companies in the Asian region that are involved in the technology industry. It seeks to achieve capital appreciation by focusing on the growth potential of the Asian technology sector.,Information Technology,Technology,First Financial Holding Co Ltd,TAI,XTAI
0P00006AIJ.TW,Fuh Hwa Heirloom Balance Fund,TWD,"Fuh Hwa Heirloom Balance Fund is a balanced fund managed by Fuh Hwa Securities Investment Trust Co., Ltd. in Taiwan. The fund aims to provide a combination of income and capital appreciation by investing in a mix of stocks and bonds. The balanced approach seeks to manage risk while providing long-term growth potential.",Equities,Blend,Fuh Hwa Securities Investment Tr Co Ltd,TAI,XTAI
0P00006ALH.TW,PineBridge Global Medallion Fund of Funds,TWD,"PineBridge Global Medallion Fund of Funds is a fund of funds managed by PineBridge Investments. The fund invests in a selection of other funds managed by PineBridge, providing investors with a diversified portfolio across different asset classes and regions. The fund aims to achieve long-term capital appreciation through strategic asset allocation.",Equities,Allocation,PineBridge Investments Mgmt Taiwan Ltd,TAI,XTAI
