symbol,name,currency,summary,category_group,category,family,exchange,mic
0P00002H45.TO,Goodwood Capital,CAD,,Equities,Canada,Goodwood Inc,TOR,XTSE
0P00007036.TO,Equitable Life Accumulative Income Fund,CAD,"Equitable Life Accumulative Income Fund is an investment fund offered by Equitable Life, a Canadian insurance and financial services company. The fund's objective is to generate income for investors. Income is accumulated within the fund.",Fixed Income,Canada,Equitable Life Insurance Co of Canada,TOR,XTSE
0P0000704K.TO,Invesco Global Endeavour Class Series A,CAD,Invesco Global Endeavour Class Series A is a global equity fund managed by Invesco. The fund invests in a diversified portfolio of equities around the world. It aims to achieve long-term capital appreciation by focusing on companies with strong growth potential.,Equities,Equities,Invesco Asset Management,TOR,XTSE
0P0000705F.TO,Manulife Trimark Select Balanced GIF 1,CAD,"Manulife Trimark Select Balanced GIF 1 is a balanced investment fund managed by Manulife Investment Management under their Trimark brand, offered as a Guaranteed Investment Fund (GIF). The fund invests in a mix of equities and fixed-income securities. It aims to provide a balance between capital appreciation and income generation while offering insurance guarantees.",Fixed Income,Blend,Manufacturers Life Insurance Co,TOR,XTSE
0P0000705H.TO,Manulife Trimark Global Fdmtl Eq GIF 1,CAD,"Manulife Trimark Global Fdmtl Eq GIF 1 is a global equity fund managed by Manulife Investment Management under their Trimark brand, offered as a Guaranteed Investment Fund (GIF). The fund invests in a diversified portfolio of global equities, using a fundamental analysis approach. It aims to achieve long-term capital appreciation while offering insurance guarantees.",Equities,Equities,Manufacturers Life Insurance Co,TOR,XTSE
0P0000706R.TO,"Phillips, Hager &amp; North U.S. Equity Fund D",CAD,"Phillips, Hager & North U.S. Equity Fund D is a U.S. equity fund managed by Phillips, Hager & North Investment Management (PH&N), a division of RBC Global Asset Management. The fund invests in a portfolio of U.S. equities, using a value-oriented investment approach. The fund aims to provide long-term capital appreciation.",Equities,Equities,RBC Global Asset Management,TOR,XTSE
0P0000707E.TO,B.E.S.T. Venture Opportunities Fund Inc.,CAD,"B.E.S.T. Venture Opportunities Fund Inc. is a venture capital fund managed by B.E.S.T. Funds. The fund invests in early-stage, high-growth potential companies. It aims to achieve long-term capital appreciation through investments in venture capital opportunities.",Alternatives,Alternative,B.E.S.T. Funds,TOR,XTSE
0P00007085.TO,Mackenzie Cundill Value Fund - A,CAD,"Mackenzie Cundill Value Fund - A is a value-oriented equity fund managed by Mackenzie Investments, utilizing the Cundill investment approach. The fund invests in equities that are considered undervalued by the market, aiming to generate long-term capital appreciation. Mackenzie Investments is a Canadian asset management firm.",Equities,Value,Mackenzie Investments,TOR,XTSE
0P0000708J.TO,TD Mgd Idx Agrsv Growth Pt - I,CAD,"TD Mgd Idx Agrsv Growth Pt - I is a managed index aggressive growth portfolio offered by TD Asset Management. The portfolio invests in a diversified mix of assets, with a high allocation to equities, aiming to provide long-term capital appreciation. TD Asset Management is a Canadian asset management firm.",Equities,Growth,TD Asset Management Inc,TOR,XTSE
0P0000709T.TO,Leith Wheeler Canadian Equity Series B,CAD,"Leith Wheeler Canadian Equity Series B is a Canadian equity fund managed by Leith Wheeler Investment Counsel Ltd. The fund invests in a portfolio of Canadian equities, employing a value-oriented investment approach. It aims to provide long-term capital appreciation.",Equities,Equities,Leith Wheeler Investment Counsel Ltd,TOR,XTSE
0P0000709X.TO,Leith Wheeler US Equity Series B,CAD,"Leith Wheeler US Equity Series B is a U.S. equity fund managed by Leith Wheeler Investment Counsel Ltd. The fund invests in a portfolio of U.S. equities, employing a value-oriented investment approach. It aims to provide long-term capital appreciation.",Equities,Equities,Leith Wheeler Investment Counsel Ltd,TOR,XTSE
0P000070B3.TO,Mackenzie Cundill Canadian Security Fund - B,CAD,"Mackenzie Cundill Canadian Security Fund - B is a Canadian equity fund managed by Mackenzie Investments, utilizing the Cundill investment approach. The fund invests in Canadian equities that are considered undervalued by the market, aiming to generate long-term capital appreciation. Mackenzie Investments is a Canadian asset management firm.",Equities,Equities,Mackenzie Investments,TOR,XTSE
0P000070D1.TO,Clarica MVP Asian-Pacific RSP Equity Fund Class A,CAD,"Clarica MVP Asian-Pacific RSP Equity Fund Class A is an Asian-Pacific equity fund offered as part of Clarica's Managed Volatility Program (MVP) and designed for Registered Retirement Savings Plans (RSPs). The fund invests in equities across the Asian-Pacific region, with a focus on managing volatility. Clarica is part of Sun Life Financial.",Equities,Equities,CI Investments Inc,TOR,XTSE
0P000070E2.TO,CDSPI Money Market (Fiera Capital),CAD,"CDSPI Money Market (Fiera Capital) is a money market fund offered through CDSPI (Canadian Dental Service Plans Inc.) and managed by Fiera Capital. The fund invests in short-term, high-quality debt instruments. Its objective is to provide a high degree of capital preservation, liquidity, and current income.",Cash,Money Market Instruments,CDSPI,TOR,XTSE
0P000070FU.TO,Pembroke Canadian Bond Fund,CAD,Pembroke Canadian Bond Fund is a Canadian bond fund managed by Pembroke Management Ltd. The fund invests in a portfolio of Canadian fixed-income securities. It aims to provide a steady stream of income and capital preservation.,Fixed Income,Bonds,Pembroke Private Wealth Management,TOR,XTSE
0P000070G4.TO,Manulife Simplicity Conservative Port GIFe 1,CAD,"Manulife Simplicity Conservative Port GIFe 1 is a conservative investment portfolio managed by Manulife Investment Management, offered as a Guaranteed Investment Fund (GIF). The fund invests in a diversified portfolio of assets, with a greater emphasis on fixed-income securities, aiming to provide capital preservation and income while offering insurance guarantees. Manulife Investment Management is a global asset manager and insurance company.",Fixed Income,Canada,Manufacturers Life Insurance Co,TOR,XTSE
0P000070IA.TO,Tradex Equity,CAD,"Tradex Equity is an equity fund managed by Tradex Management Inc. The fund invests in a diversified portfolio of equities, typically with a Canadian focus. The fund aims to provide long-term capital appreciation.",Equities,Equities,Tradex Management Inc,TOR,XTSE
0P000070IP.TO,Manulife Ideal Balanced Fund BEL,CAD,Manulife Ideal Balanced Fund BEL is a balanced fund managed by Manulife Investment Management. The fund invests in a mix of equities and fixed-income securities. It aims to provide a balance between capital appreciation and income generation.,Fixed Income,Blend,Standard Life Assurance Co. of Canada,TOR,XTSE
0P000070JC.TO,Desjardins Quebec Balanced Fund A,CAD,"Desjardins Quebec Balanced Fund A invests in a mix of asset classes, including equities and fixed income, with a focus on companies and securities located in Quebec. The fund aims to provide a balance between capital appreciation and income generation while prioritizing investments within the province of Quebec. The fund is managed by Desjardins Investments Inc.",Equities,Blend,Desjardins Investments Inc,TOR,XTSE
0P000070KP.TO,CDSPI US Small Cap (Trimark),CAD,"CDSPI US Small Cap (Trimark) invests in small-capitalization companies located in the United States. The fund is managed by Trimark Financial Corporation and aims to achieve long-term capital appreciation by focusing on companies with high growth potential. CDSPI refers to Canadian Dental Service Plans Incorporated, suggesting this fund is offered as an investment option for dental professionals.",Equities,Small Cap,CDSPI,TOR,XTSE
0P000070L7.TO,Mackenzie Cundill Value Fund - AG,CAD,"Mackenzie Cundill Value Fund - AG seeks long-term capital growth by investing primarily in equity securities of companies around the world, using a value-oriented investment approach. The fund focuses on identifying undervalued companies with the potential for future growth. Mackenzie Investments is the manager of the fund.",Equities,Value,Mackenzie Investments,TOR,XTSE
0P000070LI.TO,Chou RRSP,CAD,"Chou RRSP is a Registered Retirement Savings Plan (RRSP) managed by Chou Associates Management Inc. The investment strategy focuses on value investing principles, seeking undervalued securities with long-term growth potential. The fund's objective is to provide retirement savings for its investors.",Equities,Canada,Chou Associates Management Inc,TOR,XTSE
0P000070M6.TO,CDSPI Emerging Markets (Brandes),CAD,"CDSPI Emerging Markets (Brandes) invests primarily in equity securities of companies located in emerging markets around the world. The fund is managed by Brandes Investment Partners and aims to achieve long-term capital appreciation. As with the other CDSPI fund, this is offered to Canadian dental professionals.",Equities,Emerging Markets,CDSPI,TOR,XTSE
0P000070MK.TO,Quadrus Mackenzie Global Resource Q,CAD,"Quadrus Mackenzie Global Resource Q invests primarily in equity securities of companies engaged in the exploration, development, production, or distribution of natural resources on a global basis. The fund is managed by Mackenzie Investments and aims to provide long-term capital appreciation. The Quadrus Group of Funds offers the fund as part of its investment solutions.",Equities,Energy,Canada Life Investment Mgmt Ltd,TOR,XTSE
0P000070MX.TO,Franklin Quotential Balanced Income Portfolio A,CAD,"Franklin Quotential Balanced Income Portfolio A invests in a diversified portfolio of Franklin Templeton funds, focusing on generating income and some capital appreciation. The portfolio typically includes a mix of fixed income and equity investments. Franklin Templeton Investments manages the fund and its asset allocation strategy.",Equities,Blend,Franklin Templeton Asset Management,TOR,XTSE
0P000070MY.TO,Franklin Quotential Growth Pt A,CAD,"Franklin Quotential Growth Pt A invests in a diversified portfolio of Franklin Templeton funds, focusing on achieving capital appreciation with a growth-oriented strategy. The portfolio typically holds a higher allocation to equity investments compared to fixed income. Franklin Templeton Investments manages the fund and its asset allocation strategy.",Equities,Growth,Franklin Templeton Asset Management,TOR,XTSE
0P000070OQ.TO,Educators U.S. Equity Fund,CAD,Educators U.S. Equity Fund invests primarily in equity securities of companies located in the United States. The fund aims to provide long-term capital appreciation by focusing on companies with strong growth potential. It's associated with an organization serving the education community.,Equities,Equities,Educators Financial Group Inc,TOR,XTSE
0P000070PD.TO,Scotia Global Growth Fund Series A,CAD,Scotia Global Growth Fund Series A invests primarily in equity securities of companies around the world with the objective of achieving long-term capital appreciation. The fund seeks to identify companies with strong growth potential across various sectors and regions. Scotia Asset Management manages the fund.,Equities,Growth,Scotia Asset Management,TOR,XTSE
0P000070PP.TO,TD FundSmart Mgd Aggressive Growth I,CAD,"TD FundSmart Mgd Aggressive Growth I is a fund-of-funds that invests in a mix of TD mutual funds, with a focus on aggressive growth through equity investments. The portfolio is designed for investors with a high risk tolerance seeking maximum capital appreciation. TD Asset Management manages the asset allocation and underlying fund selection.",Equities,Growth,TD Asset Management Inc,TOR,XTSE
0P000070PS.TO,TD FundSmart Mgd Balanced Growth I,CAD,"TD FundSmart Mgd Balanced Growth I is a fund-of-funds that invests in a mix of TD mutual funds, with a focus on balanced growth through a diversified allocation of equity and fixed income investments. The portfolio is designed for investors with a moderate risk tolerance seeking both capital appreciation and income. TD Asset Management manages the asset allocation and underlying fund selection.",Equities,Blend,TD Asset Management Inc,TOR,XTSE
0P000070PV.TO,TD FundSmart Mgd Inc &amp; Mod Growth Port I,CAD,"TD FundSmart Mgd Inc &amp; Mod Growth Port I is a fund-of-funds that invests in a mix of TD mutual funds, with a focus on generating income and moderate growth through a diversified allocation of fixed income and equity investments. The portfolio is designed for investors with a lower risk tolerance seeking a balance between income and capital appreciation. TD Asset Management manages the asset allocation and underlying fund selection.",Equities,Blend,TD Asset Management Inc,TOR,XTSE
0P000070TB.TO,Manulife Dividend Income Fund (Capped) MLIP A,CAD,"Manulife Dividend Income Fund (Capped) MLIP A invests primarily in dividend-paying stocks of Canadian companies, aiming to generate income and capital appreciation. The fund may employ a covered call strategy to enhance income, and the ""capped"" designation refers to a limitation on the fund's size or exposure. Manulife Investment Management is the manager of the fund.",Equities,Equities,Manufacturers Life Insurance Co,TOR,XTSE
0P000070TZ.TO,FMOQ Canadian Equity,CAD,"FMOQ Canadian Equity invests primarily in equity securities of Canadian companies. The fund aims to provide long-term capital appreciation by focusing on companies with strong growth potential. FMOQ stands for Fédération des médecins omnipraticiens du Québec, suggesting this fund is offered as an investment option for general practitioners in Quebec.",Equities,Equities,Les Fonds D&#39;Investissement FMOQ Inc,TOR,XTSE
0P000070U0.TO,FMOQ International Equity,CAD,"FMOQ International Equity invests primarily in equity securities of companies located outside of Canada. The fund aims to provide long-term capital appreciation by focusing on international companies with strong growth potential. FMOQ stands for Fédération des médecins omnipraticiens du Québec, suggesting this fund is offered as an investment option for general practitioners in Quebec.",Equities,Equities,Les Fonds D&#39;Investissement FMOQ Inc,TOR,XTSE
0P000070U1.TO,FMOQ Money Market,CAD,"FMOQ Money Market invests primarily in short-term, high-quality money market instruments. The fund aims to provide capital preservation and liquidity while generating income. FMOQ stands for Fédération des médecins omnipraticiens du Québec, suggesting this fund is offered as an investment option for general practitioners in Quebec.",Cash,Money Market Instruments,Les Fonds D&#39;Investissement FMOQ Inc,TOR,XTSE
0P000070U3.TO,Dynamic Dollar Cost Averaging,CAD,"Dynamic Dollar Cost Averaging is a program or service offered to facilitate dollar-cost averaging investment strategies. It would involve systematically investing a fixed amount of money at regular intervals to reduce the impact of market volatility. Dynamic Funds offers this service, aiding investors to potentially lower their average cost per share over time.",Financials,Miscellaneous,Dynamic Funds,TOR,XTSE
