symbol,name,currency,summary,category_group,category,family,exchange,mic
AT0000494885.VI,ERSTE STOCK ISTANBUL CZK R01 (V,CZK,"ERSTE STOCK ISTANBUL CZK R01 (V) is an equity fund focused on investing in companies listed on the Istanbul Stock Exchange, denominated in Czech Koruna (CZK). The fund is managed by Erste Asset Management and aims to provide investors with exposure to the Turkish stock market. It seeks capital appreciation through investments in various sectors of the Turkish economy.",Equities,Emerging Markets,,VIE,XWBO
AT0000494893.VI,ERSTE STOCK ISTANBUL EUR R01 (V,EUR,"ERSTE STOCK ISTANBUL EUR R01 (V) is an equity fund focused on companies listed on the Istanbul Stock Exchange, denominated in Euro (EUR). Managed by Erste Asset Management, it provides investors access to the Turkish stock market. The fund seeks capital appreciation through investments in various sectors of the Turkish economy.",Equities,Emerging Markets,,VIE,XWBO
AT0000495023.VI,VKB Anlage Mix Dynamik,EUR,"VKB Anlage Mix Dynamik is a mixed asset fund managed by VKB Bank in Austria, employing a dynamic investment strategy. The fund allocates investments across various asset classes, including equities and bonds, adjusting the allocation based on market conditions and outlook. VKB Anlage Mix Dynamik aims to generate capital appreciation with a moderate level of risk.",Fixed Income,Alternative,,VIE,XWBO
AT0000495064.VI,E+S Erfolgs-Invest,EUR,,,,,VIE,XWBO
AT0000495189.VI,VKB-Anlage-Mix Classic EUR R01 ,EUR,"VKB-Anlage-Mix Classic EUR R01 is a mixed asset fund managed by VKB Bank in Austria, denominated in Euro (EUR), employing a classic investment strategy. The fund invests in a diversified portfolio of asset classes, including equities and bonds, with a focus on long-term capital appreciation. VKB-Anlage-Mix Classic EUR R01 aims to provide investors with a balanced return and a moderate level of risk.",Alternatives,,,VIE,XWBO
AT0000495197.VI,VKB-Anlage-Mix Classic EUR R01 ,EUR,"VKB-Anlage-Mix Classic EUR R01 is a mixed asset fund managed by VKB Bank in Austria, denominated in Euro (EUR) and employing a classic investment approach. The fund invests in a diversified portfolio of assets including stocks and bonds with an objective for long term growth. It aims to provide investors with both a balanced return and moderate risk exposure.",Alternatives,,,VIE,XWBO
AT0000495288.VI,Raiffeisen-TopDividende-Aktien ,EUR,"Raiffeisen-TopDividende-Aktien is an equity fund managed by Raiffeisen Capital Management, focused on investing in stocks of companies with high dividend yields. The fund aims to provide investors with a steady stream of income while also participating in the potential capital appreciation of the underlying stocks. Raiffeisen-TopDividende-Aktien seeks to deliver attractive total returns through dividend income and capital growth.",Equities,Equities,,VIE,XWBO
AT0000495296.VI,Raiffeisen-TopDividende-Aktien ,EUR,"Raiffeisen-TopDividende-Aktien is an equity fund managed by Raiffeisen Capital Management, that focuses on investing in stocks with high dividend yields. The fund strives to generate a consistent income stream for investors alongside potential capital appreciation of the underlying securities. Raiffeisen-TopDividende-Aktien seeks to provide an appealing total return through dividend income and capital growth.",Equities,Equities,,VIE,XWBO
AT0000495304.VI,Raiffeisen-TopDividende-Aktien ,EUR,Raiffeisen-TopDividende-Aktien is an equity fund managed by Raiffeisen Capital Management that specializes in investing in stocks known for their high dividend payouts. The fund strives to offer investors a predictable income stream while still participating in possible capital growth of chosen stocks. Raiffeisen-TopDividende-Aktien is designed to achieve pleasing overall returns through both dividend earnings and capital appreciation.,Equities,Equities,,VIE,XWBO
AT0000495353.VI,Merkur Vario Top,EUR,,,,,VIE,XWBO
AT0000495734.VI,Gutmann US-Portfolio (USD),USD,"Gutmann US-Portfolio (USD) is a US equity portfolio managed by Bank Gutmann, denominated in US Dollars (USD). The portfolio invests in a selection of US stocks, aiming to provide investors with exposure to the US equity market. Gutmann US-Portfolio seeks long-term capital appreciation through its diversified investment strategy.",Equities,Equities,,VIE,XWBO
AT0000496153.VI,S1200P,EUR,,,,,VIE,XWBO
AT0000496179.VI,Value Cash Flow Fonds (EUR) (T),EUR,"Value Cash Flow Fonds (EUR) (T) is a value-oriented equity fund denominated in Euro (EUR), with a focus on companies generating strong cash flow. The fund seeks to invest in undervalued companies with sound financials and the ability to generate consistent cash flow. Value Cash Flow Fonds aims to deliver long-term capital appreciation by capitalizing on market inefficiencies.",Equities,Equities,,VIE,XWBO
AT0000496294.VI,Active Equity Select,EUR,,,,,VIE,XWBO
AT0000496310.VI,Niederoesterreich III,EUR,,,,,VIE,XWBO
AT0000496807.VI,Apollo 35,EUR,,,,,VIE,XWBO
AT0000496880.VI,Kathrein SF50,EUR,,,,,VIE,XWBO
AT0000496898.VI,A 109,EUR,,,,,VIE,XWBO
AT0000497185.VI,Niederoesterreich I,EUR,,,,,VIE,XWBO
AT0000497227.VI,WSS-Europa,EUR,"WSS-Europa is a fund that invests in European equities, aiming to generate capital appreciation through exposure to the European stock market. The fund employs a specific investment strategy, such as value investing or growth investing, to select stocks within the European region. WSS-Europa seeks to deliver competitive returns by capitalizing on opportunities in the European market.",Equities,Equities,,VIE,XWBO
AT0000497235.VI,WSS-International,EUR,WSS-International is a global equity fund designed to offer investors exposure to a diversified portfolio of international stocks. The fund aims to generate capital appreciation by investing in various regions and sectors around the world. WSS-International seeks to provide a broad market exposure and benefit from global economic growth.,Equities,Equities,,VIE,XWBO
AT0000497268.VI,Raiffeisen-EmergingMarkets-Akti,EUR,"Raiffeisen-EmergingMarkets-Akti is an equity fund that invests in the stock markets of emerging economies, managed by Raiffeisen Capital Management. The fund aims to provide investors with exposure to the growth potential of developing countries. Raiffeisen-EmergingMarkets-Akti seeks to achieve long-term capital appreciation through investments in emerging market equities.",Equities,Emerging Markets,,VIE,XWBO
AT0000497284.VI,RT �sterreich Aktienfonds EUR,EUR,"RT �sterreich Aktienfonds EUR is an equity fund that invests in Austrian stocks, denominated in Euro (EUR), managed by Raiffeisen Capital Management. It provides investors with exposure to the Austrian stock market. The fund aims to achieve long-term capital appreciation through investments in Austrian equities.",Equities,Equities,,VIE,XWBO
AT0000497292.VI,RT �sterreich Aktienfonds EUR,EUR,"RT �sterreich Aktienfonds EUR is an equity fund investing in Austrian stocks, denominated in Euros and managed by Raiffeisen Capital Management. The fund provides investors with access to the Austrian stock market, with the objective of growth. It seeks long-term capital appreciation through investments in Austrian companies.",Equities,Equities,,VIE,XWBO
AT0000497409.VI,Schoellerbank Zinsstruktur Plus,EUR,"Schoellerbank Zinsstruktur Plus is a fixed-income fund managed by Schoellerbank, focusing on exploiting interest rate structure opportunities. The fund invests in a portfolio of bonds with varying maturities, aiming to benefit from changes in the yield curve. Schoellerbank Zinsstruktur Plus seeks to generate enhanced returns compared to traditional bond funds.",Fixed Income,Bonds,,VIE,XWBO
AT0000497417.VI,Schoellerbank Zinsstruktur Plus,EUR,"Schoellerbank Zinsstruktur Plus is a fixed income fund managed by Schoellerbank that strategically exploits interest rate structure opportunities. The fund invests in a portfolio of various bond maturities, attempting to profit from fluctuations within the yield curve. Schoellerbank Zinsstruktur Plus strives to generate better yields compared to standard bond funds.",Fixed Income,Bonds,,VIE,XWBO
AT0000497672.VI,ClassicBond (A),EUR,,Fixed Income,,,VIE,XWBO
AT0000497680.VI,ClassicBond (T),EUR,,Fixed Income,,,VIE,XWBO
AT0000497698.VI,C-QUADRAT Absolute Return ESG F,EUR,"C-QUADRAT Absolute Return ESG F is an absolute return fund that incorporates Environmental, Social, and Governance (ESG) factors into its investment process, managed by C-QUADRAT Asset Management. The fund aims to generate positive returns regardless of market conditions, while adhering to sustainable and responsible investment principles. C-QUADRAT Absolute Return ESG F employs various investment strategies to achieve its objectives.",Alternatives,Alternative,,VIE,XWBO
AT0000499280.VI,Dynamic Rotation C,EUR,,,,,VIE,XWBO
AT0000499785.VI,FTC Gideon I EUR R01,EUR,"FTC Gideon I EUR R01 is a fund managed by FTC, potentially a fixed-income or balanced fund, denominated in Euro (EUR). The ""Gideon I"" designation may refer to a specific investment strategy or mandate. Details beyond this require further research.",,,,VIE,XWBO
AT0000500251.VI,MI 22,EUR,,,,,VIE,XWBO
AT0000500277.VI,Wiener Privatbank European Prop,EUR,"Wiener Privatbank European Prop is a real estate fund managed by Wiener Privatbank, focused on investing in European properties. The fund aims to provide investors with exposure to the European real estate market. Wiener Privatbank European Prop seeks to generate income and capital appreciation through its real estate investments.",Real Estate,REITs,,VIE,XWBO
AT0000500285.VI,Wiener Privatbank European Prop,EUR,Wiener Privatbank European Prop is a real estate fund managed by Wiener Privatbank specializing in properties within Europe. The fund strives to provide investors exposure to the European real estate market. Wiener Privatbank European Prop seeks to generate profit and capital appreciation through its real estate investments.,Real Estate,REITs,,VIE,XWBO
AT0000500350.VI,PRO INVEST AKTIV (A),EUR,,,,,VIE,XWBO
AT0000500392.VI,Globo I,EUR,,,,,VIE,XWBO
AT0000500806.VI,KEPLER Multi-Med Fund,EUR,,,,,VIE,XWBO
AT0000500822.VI,Figurella Global Invest,EUR,,,,,VIE,XWBO
AT0000501010.VI,K 6,EUR,,,,,VIE,XWBO
AT0000501028.VI,Tres Amigos (T),EUR,,,,,VIE,XWBO
AT0000502711.VI,Helvetia Plus Garant,EUR,,,,,VIE,XWBO
AT0000506019.VI,premiumInvest Basis (A) (EUR),EUR,"premiumInvest Basis (A) (EUR) is a fund, a mixed-asset fund, with a basic or conservative investment strategy, denominated in Euro (EUR). The ""(A)"" refers to an accumulating share class, where income is reinvested rather than distributed. It is branded under the ""premiumInvest"" name.",Alternatives,,,VIE,XWBO
AT0000506027.VI,premiumInvest Basis (T) (EUR),EUR,"premiumInvest Basis (T) (EUR) is a fund, a mixed-asset fund, with a basic or conservative investment strategy, denominated in Euro (EUR). The ""(T)"" refers to a distributing share class, where income is paid out to investors. It is branded under the ""premiumInvest"" name.",Alternatives,,,VIE,XWBO
AT0000506035.VI,premiumInvest Chance (A) (EUR),EUR,"premiumInvest Chance (A) (EUR) is a fund with a higher-risk investment strategy focused on growth, denominated in Euro (EUR). The designation ""(A)"" indicates an accumulating share class, where income is reinvested into the fund rather than paid out. It is branded under the ""premiumInvest"" name, suggesting a broader product line.",Alternatives,,,VIE,XWBO
AT0000506043.VI,premiumInvest Chance (T) (EUR),EUR,"premiumInvest Chance (T) (EUR) is a fund with a higher-risk investment strategy focused on growth, denominated in Euro (EUR). The designation ""(T)"" signifies a distributing share class, in which the fund's income is distributed to investors rather than being reinvested. It is part of the ""premiumInvest"" fund family.",Alternatives,,,VIE,XWBO
AT0000506050.VI,premiumInvest Wachstum (A) (EUR,EUR,"premiumInvest Wachstum (A) (EUR) is a growth-oriented fund denominated in Euro (EUR), a mixed asset fund with a focus on capital appreciation. The (A) indicates the accumulating share class where income is reinvested. It is part of the premiumInvest family of funds.",Alternatives,,,VIE,XWBO
