symbol,name,currency,summary,category_group,category,exchange,mic
000008.SS,SSE Conglomerates Index,CNY,"The SSE Conglomerates Index aims to reflect the overall performance of companies listed on the Shanghai Stock Exchange (SSE) that operate across multiple industries or sectors. It provides investors with a benchmark for evaluating the performance of diversified businesses in the Chinese market. The index includes companies with significant operations in various sectors, offering a broad representation of the conglomerates landscape.",Equities,Equities,SHH,XSHG
000019.SS,SSE Corporate Governance Index,CNY,The SSE Corporate Governance Index evaluates and measures the corporate governance practices of listed companies on the Shanghai Stock Exchange (SSE). It is designed to provide investors with a tool to assess the quality of corporate governance among Chinese companies. The index helps promote sound corporate governance principles and practices within the Chinese equity market.,Equities,Equities,SHH,XSHG
000021.SS,SSE 180 Corporate Governance In,CNY,The SSE 180 Corporate Governance Index is designed to measure the performance of 180 Shanghai Stock Exchange (SSE) listed companies that demonstrate strong corporate governance practices. It aims to provide investors with a benchmark for companies adhering to high standards of governance. The index seeks to promote better corporate governance among listed companies in China.,Equities,Equities,SHH,XSHG
000048.SS,SSE Social Responsibility Index,CNY,"The SSE Social Responsibility Index measures the performance of Shanghai Stock Exchange (SSE) listed companies that demonstrate strong social responsibility practices. It aims to provide a benchmark for investors interested in socially responsible investments within the Chinese market. The index considers various environmental, social, and governance (ESG) factors in its selection criteria.",Equities,Equities,SHH,XSHG
000052.SS,SSE50 Fundamental Weighted Inde,CNY,"The SSE50 Fundamental Weighted Index is designed to measure the performance of the 50 largest and most liquid stocks listed on the Shanghai Stock Exchange (SSE), weighted by fundamental factors. These fundamental factors include metrics like book value, cash flow, sales, and dividends. This weighting scheme aims to provide an alternative to market capitalization weighting, potentially capturing value opportunities.",Equities,Equities,SHH,XSHG
000053.SS,SSE180 Fundamental Weighted  In,CNY,"The SSE180 Fundamental Weighted Index measures the performance of 180 stocks listed on the Shanghai Stock Exchange (SSE), weighted by fundamental factors instead of market capitalization. The weighting uses fundamental factors such as book value, cash flow, sales, and dividends. It provides a different perspective compared to market-cap weighted indices.",Equities,Equities,SHH,XSHG
000096.SS,SSE Downstream Industry Index I,CNY,"The SSE Downstream Industry Index I is designed to track the performance of companies listed on the Shanghai Stock Exchange (SSE) that are involved in downstream industries. This includes sectors like manufacturing, processing, and distribution. It provides a benchmark for investors interested in tracking the performance of downstream sectors within the Chinese economy.",Equities,Equities,SHH,XSHG
000098.SS,SSEF 200 Index,CNY,"The SSEF 200 Index represents the largest 200 stocks traded on the Shanghai Stock Exchange, aiming to reflect the overall performance of the large-cap segment of the Chinese stock market. The index is weighted by free-float market capitalization. It is a benchmark for investors seeking exposure to the performance of major Chinese companies.",Equities,Equities,SHH,XSHG
000099.SS,SSEF 300 Index,CNY,The SSEF 300 Index is designed to reflect the performance of 300 stocks listed on the Shanghai Stock Exchange (SSE). It represents a broad range of companies and sectors within the Chinese market. The index serves as a benchmark for investors interested in tracking the overall performance of the Shanghai stock market.,Equities,Equities,SHH,XSHG
000100.SS,SSEF 500 Index,CNY,The SSEF 500 Index tracks the performance of 500 stocks listed on the Shanghai Stock Exchange (SSE). It aims to provide a comprehensive representation of the overall Chinese stock market. The index serves as a benchmark for investors looking to track the broader market performance of Chinese equities.,Equities,Equities,SHH,XSHG
000121.SS,SSE Health Care theme Index Ind,CNY,"The SSE Health Care theme Index Ind aims to reflect the performance of companies listed on the Shanghai Stock Exchange (SSE) that are related to the healthcare industry. This includes pharmaceuticals, medical equipment, and healthcare service providers. The index provides a benchmark for investors interested in the Chinese healthcare sector.",Equities,Health Care,SHH,XSHG
000125.SS,SSE 180 Stability Index,CNY,The SSE 180 Stability Index measures the performance of 180 companies on the Shanghai Stock Exchange (SSE) that exhibit relatively stable performance characteristics. It uses metrics like volatility and financial stability in its stock selection. The index serves as a benchmark for investors seeking exposure to lower-volatility stocks in the Chinese market.,Equities,Equities,SHH,XSHG
000128.SS,SSE380 Fundamental Weighted Ind,CNY,"The SSE380 Fundamental Weighted Index is designed to measure the performance of 380 stocks listed on the Shanghai Stock Exchange (SSE), weighted by fundamental factors. These fundamental factors include metrics like book value, cash flow, sales, and dividends. This weighting scheme provides an alternative to market capitalization weighting, potentially capturing value opportunities.",Equities,Equities,SHH,XSHG
000129.SS,SSE180 Volatility Weighted Inde,CNY,"The SSE180 Volatility Weighted Index measures the performance of 180 stocks on the Shanghai Stock Exchange (SSE), weighted based on their historical volatility. Stocks with lower volatility receive a higher weighting in the index. The index aims to provide a benchmark for investors seeking exposure to lower-volatility stocks in the Chinese market.",Equities,Equities,SHH,XSHG
000130.SS,SSE380 Volatility Weighted Inde,CNY,"The SSE380 Volatility Weighted Index measures the performance of 380 stocks on the Shanghai Stock Exchange (SSE), weighted based on their historical volatility. Stocks with lower volatility are assigned a higher weighting in the index. It aims to provide a benchmark for investors seeking exposure to lower-volatility stocks in the Chinese market.",Equities,Equities,SHH,XSHG
000142.SS,SSE 380 Stability Index,CNY,The SSE 380 Stability Index measures the performance of 380 companies on the Shanghai Stock Exchange (SSE) that exhibit relatively stable performance characteristics. It uses metrics like volatility and financial stability in its stock selection. The index serves as a benchmark for investors seeking exposure to lower-volatility stocks in the Chinese market.,Equities,Equities,SHH,XSHG
000147.SS,SSE Select Consumption Industri,CNY,The SSE Select Consumption Industri aims to reflect the performance of companies listed on the Shanghai Stock Exchange (SSE) that are related to the consumption industry. This includes companies involved in the production and sale of consumer goods and services. The index provides a benchmark for investors interested in the Chinese consumption sector.,Equities,Consumer Discretionary,SHH,XSHG
000941.SS,CSI CN Mainland New Energy Inde,CNY,"The CSI CN Mainland New Energy Index is designed to track the performance of companies listed on mainland Chinese stock exchanges that are involved in the new energy sector. This includes companies related to renewable energy sources such as solar, wind, and electric vehicles. The index provides a benchmark for investors interested in the new energy industry in China.",Equities,Energy,SHH,XSHG
000942.SS,CSI China Mainland Consumer Ind,CNY,The CSI China Mainland Consumer Ind is designed to track the performance of companies listed on mainland Chinese stock exchanges that are involved in the consumer sector. It offers a benchmark for measuring the performance of Chinese consumer-related businesses. The index offers exposure to companies that provide goods and services to consumers in mainland China.,Equities,Consumer Discretionary,SHH,XSHG
000944.SS,CSI China Mainland Natural Reso,CNY,"The CSI China Mainland Natural Reso is designed to track the performance of companies listed on mainland Chinese stock exchanges that are involved in the natural resources sector. It provides a benchmark for investors interested in tracking the performance of companies engaged in the extraction, production, and processing of natural resources in China. The index includes companies in sectors like mining, oil and gas, and forestry.",Equities,Materials,SHH,XSHG
0020.Z,ESTX LRB50 NR EUR,EUR,"The ESTX LRB50 NR EUR index represents the performance of the 50 largest blue-chip companies in the Eurozone, with a focus on liquidity. It is a net return index, meaning it accounts for reinvested dividends after the deduction of withholding taxes. The index is denominated in EUR.",Equities,Large Cap,ZRH,XSWX
0021.Z,ESTX LRB50 NR USD,USD,"The ESTX LRB50 NR USD index represents the performance of the 50 largest blue-chip companies in the Eurozone, with a focus on liquidity. It is a net return index, meaning it accounts for reinvested dividends after the deduction of withholding taxes. The index is denominated in USD.",Equities,Large Cap,ZRH,XSWX
0022.Z,ESTX LRB50 PR EUR,EUR,"The ESTX LRB50 PR EUR index represents the performance of the 50 largest blue-chip companies in the Eurozone, with a focus on liquidity. It is a price return index, meaning it reflects price movements only and does not account for dividends. The index is denominated in EUR.",Equities,Large Cap,ZRH,XSWX
0023.Z,ESTX LRB50 PR USD,USD,"The ESTX LRB50 PR USD index represents the performance of the 50 largest blue-chip companies in the Eurozone, with a focus on liquidity. It is a price return index, meaning it reflects price movements only and does not account for dividends. The index is denominated in USD.",Equities,Large Cap,ZRH,XSWX
0027.Z,STXE LR100 GR EUR,EUR,"The STXE LR100 GR EUR index tracks the performance of 100 liquid stocks in the Eurozone. It is a gross return index, meaning it reflects reinvested dividends before the deduction of any taxes. The index is denominated in EUR.",Equities,Equities,ZRH,XSWX
0028.Z,STXE LR100 GR USD,USD,"The STXE LR100 GR USD index tracks the performance of 100 liquid stocks in the Eurozone. It is a gross return index, meaning it reflects reinvested dividends before the deduction of any taxes. The index is denominated in USD.",Equities,Equities,ZRH,XSWX
0029.Z,STXE LR100 NR EUR,EUR,"The STXE LR100 NR EUR index tracks the performance of 100 liquid stocks in the Eurozone. It is a net return index, meaning it accounts for reinvested dividends after the deduction of withholding taxes. The index is denominated in EUR.",Equities,Equities,ZRH,XSWX
002A.Z,ESTX LR50 NR EUR,EUR,"The ESTX LR50 NR EUR index represents the performance of 50 of the most liquid Eurozone stocks. It is a net return index, meaning it accounts for reinvested dividends after the deduction of withholding taxes. The index is denominated in EUR.",Equities,Large Cap,ZRH,XSWX
002B.Z,ESTX LR50 NR USD,USD,"The ESTX LR50 NR USD index represents the performance of 50 of the most liquid Eurozone stocks. It is a net return index, meaning it accounts for reinvested dividends after the deduction of withholding taxes. The index is denominated in USD.",Equities,Large Cap,ZRH,XSWX
002C.Z,ESTX LR50 PR EUR,EUR,"The ESTX LR50 PR EUR index represents the performance of 50 of the most liquid Eurozone stocks. It is a price return index, meaning it reflects price movements only and does not account for dividends. The index is denominated in EUR.",Equities,Large Cap,ZRH,XSWX
002D.Z,ESTX LR50 PR USD,USD,"The ESTX LR50 PR USD index represents the performance of 50 of the most liquid Eurozone stocks. It is a price return index, meaning it reflects price movements only and does not account for dividends. The index is denominated in USD.",Equities,Large Cap,ZRH,XSWX
