symbol,name,currency,summary,family,exchange
AABXX,SEI Daily Income Trust Government Fund,USD,"SEI Daily Income Trust Government Fund is a money market fund that invests primarily in U.S. government securities. The fund seeks to provide current income consistent with the preservation of capital and liquidity, focusing on securities issued or guaranteed by the U.S. government or its agencies. The fund is managed by SEI Investments Management Corporation and aims to maintain a stable net asset value.",,NAS
AAFXX,American Funds U.S. Government ,USD,"American Funds U.S. Government is a money market fund offered by American Funds, part of Capital Group. The fund invests primarily in short-term U.S. government securities, seeking to provide current income while maintaining liquidity and a stable share price. Its objective is to provide investors with a safe and liquid investment option.",,NAS
AALXX,Thrivent Money Market Fund,USD,"Thrivent Money Market Fund is a money market fund offered by Thrivent Financial. The fund seeks to provide a high level of current income consistent with the preservation of capital and liquidity. It invests primarily in high-quality, short-term money market instruments.",Thrivent Mutual Funds,NAS
AAOXX,American Beacon U.S. Government Money Market Select Fund,USD,American Beacon U.S. Government Money Market Select Fund is a money market fund that invests primarily in securities issued or guaranteed by the U.S. government or its agencies. The fund aims to provide current income consistent with the preservation of capital and liquidity. American Beacon Advisors serves as the investment advisor for the fund.,,NAS
AARXX,AARP Money Market Fund,USD,"AARP Money Market Fund is a money market fund managed by BlackRock and offered to AARP members. The fund seeks to provide current income consistent with preservation of capital and liquidity by investing primarily in high-quality, short-term money market instruments. BlackRock manages the fund's investments according to specific AARP guidelines.",,NAS
AASXX,Dryden Money Market Fund,USD,"Dryden Money Market Fund is a money market fund that aims to provide current income consistent with capital preservation and liquidity. The fund invests primarily in high-quality, short-term money market instruments, including U.S. government securities, commercial paper, and certificates of deposit. Dryden Investment Management is the fund's investment advisor.",,NAS
AAUXX,PNC Advantage Institutional Government Money Market Fund,USD,"PNC Advantage Institutional Government Money Market Fund is a money market fund that invests primarily in securities issued or guaranteed by the U.S. government or its agencies. The fund seeks to provide current income consistent with the preservation of capital and liquidity. PNC Capital Advisors, LLC, serves as the investment advisor.",,NAS
AAZXX,American Funds U.S. Government Money Market Fund,USD,"American Funds U.S. Government Money Market Fund is a money market fund offered by American Funds, part of Capital Group. The fund focuses on investing in short-term U.S. government securities to provide current income while maintaining liquidity and stability of principal. The goal is to offer a secure and readily accessible investment for investors.",,NAS
ABCXX,Rydex MFQS MM Test,USD,"Rydex MFQS MM Test is a money market fund, used for testing purposes by Rydex. The fund's specific investment strategy and objectives are not publicly available due to its testing nature. It may not be available for public investment.",,NAS
ABHXX,American Beacon Money Market Fund,USD,"American Beacon Money Market Fund is a money market fund that seeks to provide current income consistent with the preservation of capital and liquidity. The fund invests in a diversified portfolio of high-quality, short-term money market instruments. American Beacon Advisors serves as the investment advisor.",,NAS
ABNXX,Fortis Government Money Market Fund,USD,"Fortis Government Money Market Fund seeks to provide current income consistent with preservation of capital and liquidity by investing in U.S. government securities. The fund invests primarily in securities issued or guaranteed by the U.S. government, its agencies, or instrumentalities. The fund is managed with the goal of maintaining a stable net asset value.",,NAS
ABSXX,Dryden Money Market Fund,USD,"Dryden Money Market Fund is a money market fund that seeks to provide current income consistent with capital preservation and liquidity. The fund invests primarily in high-quality, short-term money market instruments, including U.S. government securities, commercial paper, and certificates of deposit. Dryden Investment Management provides the fund's investment advisory services.",,NAS
